state_id,n,age_median,advanced_stage_fraction,m1_fraction,high_grade_fraction,os_events,top_rna_pathways,top_wxs_features,top_ct_features,clearcode_ccA_fraction,clearcode_ccB_fraction,ct_mean__original_shape_SurfaceVolumeRatio,ct_mean__original_glrlm_LowGrayLevelRunEmphasis,ct_mean__log-sigma-2-0-mm-3D_glrlm_RunEntropy,ct_mean__log-sigma-3-0-mm-3D_glrlm_RunEntropy,PBRM1_frequency,BAP1_frequency,VHL_frequency,SETD2_frequency,KDM5C_frequency,wsi_within_state_affinity_mean
STATE_A,26,55.5,0.3076923076923077,0.11538461538461539,0.5769230769230769,3.0,HALLMARK_PANCREAS_BETA_CELLS,PBRM1,none detected,0.95,0.05,-0.12331399747722832,-0.08151953457736014,0.17727711058203527,0.1260929589112893,0.8461538461538461,0.038461538461538464,0.7307692307692307,0.07692307692307693,0.07692307692307693,0.538793893285516
STATE_B,28,60.0,0.5714285714285714,0.2857142857142857,0.7857142857142857,13.0,HALLMARK_ALLOGRAFT_REJECTION;HALLMARK_IL6_JAK_STAT3_SIGNALING;HALLMARK_DNA_REPAIR,BAP1,none detected,0.0625,0.9375,-0.37589886779263487,-0.20590594257724018,0.3924268034270279,0.47835334691977394,0.35714285714285715,0.39285714285714285,0.5,0.14285714285714285,0.03571428571428571,0.2243206139379432
STATE_C,17,54.0,0.29411764705882354,0.058823529411764705,0.47058823529411764,1.0,none detected,none detected,original_shape_SurfaceVolumeRatio;original_glrlm_LowGrayLevelRunEmphasis,0.4285714285714285,0.5714285714285714,0.8621990954830223,0.6971509812175797,-0.9462339594222333,-0.8602482685381517,0.0,0.0,0.0,0.0,0.0,0.18366609524134597
STATE_D,15,59.0,0.2,0.0,0.5333333333333333,1.0,none detected,VHL,none detected,0.6153846153846154,0.3846153846153846,-0.12471617804182815,-0.2509602176494078,0.1681254893378578,0.0160192023779859,0.06666666666666667,0.0,1.0,0.0,0.06666666666666667,0.24437150285562872
