canonical_core,canonical_size,matched_variant_core,matched_variant_size,retained_n,retention,jaccard,variant_core_count_with_members,any_variant_stable_n,any_variant_stable_fraction,no_variant_stable_n,no_variant_stable_fraction,variant_membership_distribution
CORE01,21,CORE04,12,10,0.47619047619047616,0.43478260869565216,4,15,0.7142857142857143,6,0.2857142857142857,"{""CORE01"": 1, ""CORE04"": 10, ""CORE05"": 2, ""CORE07"": 2}"
CORE02,14,CORE01,14,11,0.7857142857142857,0.6470588235294118,2,12,0.8571428571428571,2,0.14285714285714285,"{""CORE01"": 11, ""CORE03"": 1}"
CORE03,12,CORE03,13,9,0.75,0.5625,4,12,1.0,0,0.0,"{""CORE03"": 9, ""CORE05"": 1, ""CORE06"": 1, ""CORE08"": 1}"
CORE04,9,CORE02,13,8,0.8888888888888888,0.5714285714285714,1,8,0.8888888888888888,1,0.1111111111111111,"{""CORE02"": 8}"
