canonical_core,variant_core,canonical_size,variant_size,intersection,canonical_retention,variant_purity,jaccard
CORE01,CORE04,21,12,10,0.47619047619047616,0.8333333333333334,0.43478260869565216
CORE02,CORE01,14,14,11,0.7857142857142857,0.7857142857142857,0.6470588235294118
CORE03,CORE03,12,13,9,0.75,0.6923076923076923,0.5625
CORE04,CORE02,9,13,8,0.8888888888888888,0.6153846153846154,0.5714285714285714
