clinical_variable,scope,available_n,total_n,missing_n,availability_fraction
age,ALL,103,103,0,1.0
age,STABLE_CORES,59,59,0,1.0
age,CORE01,18,18,0,1.0
age,CORE02,14,14,0,1.0
age,CORE03,11,11,0,1.0
age,CORE04,11,11,0,1.0
age,CORE05,5,5,0,1.0
gender,ALL,103,103,0,1.0
gender,STABLE_CORES,59,59,0,1.0
gender,CORE01,18,18,0,1.0
gender,CORE02,14,14,0,1.0
gender,CORE03,11,11,0,1.0
gender,CORE04,11,11,0,1.0
gender,CORE05,5,5,0,1.0
race,ALL,103,103,0,1.0
race,STABLE_CORES,59,59,0,1.0
race,CORE01,18,18,0,1.0
race,CORE02,14,14,0,1.0
race,CORE03,11,11,0,1.0
race,CORE04,11,11,0,1.0
race,CORE05,5,5,0,1.0
stage_group,ALL,103,103,0,1.0
stage_group,STABLE_CORES,59,59,0,1.0
stage_group,CORE01,18,18,0,1.0
stage_group,CORE02,14,14,0,1.0
stage_group,CORE03,11,11,0,1.0
stage_group,CORE04,11,11,0,1.0
stage_group,CORE05,5,5,0,1.0
t_stage,ALL,103,103,0,1.0
t_stage,STABLE_CORES,59,59,0,1.0
t_stage,CORE01,18,18,0,1.0
t_stage,CORE02,14,14,0,1.0
t_stage,CORE03,11,11,0,1.0
t_stage,CORE04,11,11,0,1.0
t_stage,CORE05,5,5,0,1.0
n_stage,ALL,53,103,50,0.5145631067961165
n_stage,STABLE_CORES,29,59,30,0.4915254237288136
n_stage,CORE01,6,18,12,0.3333333333333333
n_stage,CORE02,11,14,3,0.7857142857142857
n_stage,CORE03,5,11,6,0.45454545454545453
n_stage,CORE04,4,11,7,0.36363636363636365
n_stage,CORE05,3,5,2,0.6
m_stage,ALL,98,103,5,0.9514563106796117
m_stage,STABLE_CORES,57,59,2,0.9661016949152542
m_stage,CORE01,18,18,0,1.0
m_stage,CORE02,14,14,0,1.0
m_stage,CORE03,11,11,0,1.0
m_stage,CORE04,9,11,2,0.8181818181818182
m_stage,CORE05,5,5,0,1.0
grade,ALL,103,103,0,1.0
grade,STABLE_CORES,59,59,0,1.0
grade,CORE01,18,18,0,1.0
grade,CORE02,14,14,0,1.0
grade,CORE03,11,11,0,1.0
grade,CORE04,11,11,0,1.0
grade,CORE05,5,5,0,1.0
overall_survival,ALL,103,103,0,1.0
overall_survival,STABLE_CORES,59,59,0,1.0
overall_survival,CORE01,18,18,0,1.0
overall_survival,CORE02,14,14,0,1.0
overall_survival,CORE03,11,11,0,1.0
overall_survival,CORE04,11,11,0,1.0
overall_survival,CORE05,5,5,0,1.0
