core_id,CORE01,CORE02,CORE03,CORE04,CORE05
CORE01,,0.97342743,0.97671098,0.97492101,0.98552583
CORE02,0.97342743,,0.96305346,0.97000966,0.97374266
CORE03,0.97671098,0.96305346,,0.9720556,0.98694587
CORE04,0.97492101,0.97000966,0.9720556,,0.9883188
CORE05,0.98552583,0.97374266,0.98694587,0.9883188,
