core_id,clinical_variable,n_core,n_rest,median_core,median_rest,mean_core,mean_rest,smd,effect_size,direction,p_value,q_value,available_n,missing_n,level,set_count,set_total,rest_count,rest_total,set_fraction,rest_fraction,frequency_difference,odds_ratio,ci_low,ci_high
CORE01,age,18,85,57.0,58.0,58.33333333,59.17647059,-0.07328035,-0.07328035,lower_in_core,0.7676638,1.0,103,0,,,,,,,,,,,
CORE01,gender,,,,,,,,,,0.17250972,0.60378402,103,0,FEMALE,3,18,29,85,0.16666666666666666,0.3411764705882353,-0.17450980392156865,0.43247676,0.12484672,1.4981263
CORE01,gender,,,,,,,,,,0.17250972,0.60378402,103,0,MALE,15,18,56,85,0.8333333333333334,0.6588235294117647,0.17450980392156867,2.31226296,0.66750046,8.00982213
CORE01,stage_group,,,,,,,,,,0.00841764,0.08838522,103,0,I,15,18,41,85,0.8333333333333334,0.4823529411764706,0.3509803921568628,4.74870912,1.38158362,16.32202211
CORE01,stage_group,,,,,,,,,,1.0,1.0,103,0,II,1,18,8,85,0.05555555555555555,0.09411764705882353,-0.038562091503267976,0.78151261,0.12768575,4.78332105
CORE01,stage_group,,,,,,,,,,0.06782845,0.35609936,103,0,III,1,18,22,85,0.05555555555555555,0.25882352941176473,-0.20326797385620918,0.24190476,0.04265242,1.37197186
CORE01,stage_group,,,,,,,,,,0.46018823,0.87854117,103,0,IV,1,18,14,85,0.05555555555555555,0.16470588235294117,-0.10915032679738562,0.4226601,0.07268236,2.45783933
CORE01,t_stage,,,,,,,,,,1.0,1.0,103,0,T1,0,18,1,85,0.0,0.011764705882352941,-0.011764705882352941,1.52252252,0.05962991,38.87436726
CORE01,t_stage,,,,,,,,,,0.00437139,0.08838522,103,0,T1A,11,18,21,85,0.6111111111111112,0.24705882352941178,0.3640522875816994,4.6,1.62362444,13.03257053
CORE01,t_stage,,,,,,,,,,1.0,1.0,103,0,T1B,4,18,22,85,0.2222222222222222,0.25882352941176473,-0.03660130718954252,0.87586207,0.27406708,2.79907516
CORE01,t_stage,,,,,,,,,,1.0,1.0,103,0,T2,1,18,9,85,0.05555555555555555,0.10588235294117647,-0.05032679738562092,0.69022556,0.11424635,4.17003533
CORE01,t_stage,,,,,,,,,,1.0,1.0,103,0,T2A,0,18,1,85,0.0,0.011764705882352941,-0.011764705882352941,1.52252252,0.05962991,38.87436726
CORE01,t_stage,,,,,,,,,,1.0,1.0,103,0,T2B,0,18,1,85,0.0,0.011764705882352941,-0.011764705882352941,1.52252252,0.05962991,38.87436726
CORE01,t_stage,,,,,,,,,,0.22999081,0.68997243,103,0,T3A,2,18,24,85,0.1111111111111111,0.2823529411764706,-0.17124183006535948,0.38033395,0.09283526,1.55817855
CORE01,t_stage,,,,,,,,,,1.0,1.0,103,0,T3B,0,18,4,85,0.0,0.047058823529411764,-0.047058823529411764,0.48948949,0.02523638,9.49423045
CORE01,t_stage,,,,,,,,,,1.0,1.0,103,0,T4,0,18,2,85,0.0,0.023529411764705882,-0.023529411764705882,0.9027027,0.04157454,19.60026958
CORE01,m_stage,,,,,,,,,,0.45543378,0.87854117,98,5,M0,17,18,67,80,0.9444444444444444,0.8375,0.1069444444444444,2.33333333,0.39866334,13.65674705
CORE01,m_stage,,,,,,,,,,0.45543378,0.87854117,98,5,M1,1,18,13,80,0.05555555555555555,0.1625,-0.10694444444444445,0.42857143,0.07322388,2.50838211
CORE01,grade,,,,,,,,,,0.28905203,0.75876158,103,0,G2,9,18,30,85,0.5,0.35294117647058826,0.14705882352941174,1.81967213,0.66810713,4.95610136
CORE01,grade,,,,,,,,,,0.79607078,1.0,103,0,G3,9,18,38,85,0.5,0.4470588235294118,0.052941176470588214,1.23376623,0.45629206,3.33597551
CORE01,grade,,,,,,,,,,0.03824656,0.26772592,103,0,G4,0,18,17,85,0.0,0.2,-0.2,0.10579151,0.00607249,1.84303946
CORE02,age,14,89,66.0,58.0,65.07142857,58.07865169,0.6214206,0.6214206,higher_in_core,0.03754491,0.41121479,103,0,,,,,,,,,,,
CORE02,gender,,,,,,,,,,0.05874497,0.41121479,103,0,FEMALE,1,14,31,89,0.07142857142857142,0.34831460674157305,-0.2768860353130016,0.20634921,0.03615973,1.17755289
CORE02,gender,,,,,,,,,,0.05874497,0.41121479,103,0,MALE,13,14,58,89,0.9285714285714286,0.651685393258427,0.2768860353130016,4.84615385,0.84921876,27.65507341
CORE02,stage_group,,,,,,,,,,0.39749334,1.0,103,0,I,6,14,50,89,0.42857142857142855,0.5617977528089888,-0.13322632423756026,0.59813628,0.19853409,1.80204322
CORE02,stage_group,,,,,,,,,,0.35276161,1.0,103,0,II,2,14,7,89,0.14285714285714285,0.07865168539325842,0.06420545746388442,2.2,0.46690846,10.36605755
CORE02,stage_group,,,,,,,,,,0.50882651,1.0,103,0,III,4,14,19,89,0.2857142857142857,0.21348314606741572,0.07223113964686997,1.54945055,0.46071819,5.21098808
