core_id,feature,n_core,n_rest,median_core,median_rest,mean_core,mean_rest,smd,p_value,q_value,effect_size,feature_family,medical_imaging_domain,interpretation,significant_fdr
CORE01,log-sigma-1-0-mm-3D_firstorder_10Percentile,18,85,-22.47247,-18.79304008,-22.04181057,-18.51240694,-0.6240852,0.03025773,0.39249238,-0.6240852,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; lower in core than the rest of the cohort,0
CORE01,log-sigma-1-0-mm-3D_firstorder_90Percentile,18,85,14.14448862,13.96954231,13.9752302,13.1148307,0.18515497,0.39233495,0.55977083,0.18515497,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; higher in core than the rest of the cohort,0
CORE01,log-sigma-1-0-mm-3D_firstorder_Energy,18,85,10606407.41306543,16074951.1413684,30802963.88963478,38115192.6515919,-0.11693337,0.57539154,0.72163423,-0.11693337,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; lower in core than the rest of the cohort,0
CORE01,log-sigma-1-0-mm-3D_firstorder_Entropy,18,85,1.47034531,1.32710905,1.43995244,1.33525325,0.44622071,0.08165277,0.40939318,0.44622071,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; higher in core than the rest of the cohort,0
CORE01,log-sigma-1-0-mm-3D_firstorder_InterquartileRange,18,85,18.37324274,16.37657058,18.10518935,16.03594768,0.41615947,0.10719863,0.40939318,0.41615947,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; higher in core than the rest of the cohort,0
CORE01,log-sigma-1-0-mm-3D_firstorder_Kurtosis,18,85,3.52920098,3.80435925,3.8600223,3.99597281,-0.15358629,0.20952874,0.42204541,-0.15358629,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; lower in core than the rest of the cohort,0
CORE01,log-sigma-1-0-mm-3D_firstorder_Maximum,18,85,60.89014244,61.52968216,64.3144722,61.06280606,0.16945219,0.6927472,0.80535426,0.16945219,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; higher in core than the rest of the cohort,0
CORE01,log-sigma-1-0-mm-3D_firstorder_Mean,18,85,-3.23524076,-2.26838552,-3.29531306,-2.34814696,-0.59561681,0.00906501,0.39249238,-0.59561681,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; lower in core than the rest of the cohort,0
CORE01,log-sigma-1-0-mm-3D_firstorder_MeanAbsoluteDeviation,18,85,11.708592,10.1924609,11.23976282,9.92617207,0.43858208,0.07865497,0.40939318,0.43858208,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; higher in core than the rest of the cohort,0
CORE01,log-sigma-1-0-mm-3D_firstorder_Median,18,85,-2.33671302,-1.71246308,-2.37122052,-1.79643663,-0.40652759,0.02709678,0.39249238,-0.40652759,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; lower in core than the rest of the cohort,0
CORE01,log-sigma-1-0-mm-3D_firstorder_Minimum,18,85,-71.9080658,-77.8494339,-79.84395737,-80.7290114,0.02939177,0.94115725,0.96419555,0.02939177,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; higher in core than the rest of the cohort,0
