core_a,core_b,feature,cliffs_delta,p_value,q_value,direction
CORE01,CORE02,chr1p,0.25396825,0.23146794,0.391101,higher_in_core_a
CORE01,CORE02,chr1q,0.16666667,0.43613842,0.54796878,lower_in_core_a
CORE01,CORE02,chr2p,0.01587302,0.9545609,0.9545609,lower_in_core_a
CORE01,CORE02,chr2q,0.03174603,0.89422976,0.91285955,higher_in_core_a
CORE01,CORE02,chr3p,-0.43650794,0.03842578,0.10460351,lower_in_core_a
CORE01,CORE02,chr3q,-0.12698413,0.55599792,0.6191795,lower_in_core_a
CORE01,CORE02,chr4p,0.23809524,0.26245291,0.40188102,higher_in_core_a
CORE01,CORE02,chr4q,0.19047619,0.37202257,0.5208316,higher_in_core_a
CORE01,CORE02,chr5p,-0.3015873,0.1542997,0.29079559,lower_in_core_a
CORE01,CORE02,chr5q,0.08730159,0.68999488,0.73499455,lower_in_core_a
CORE01,CORE02,chr6p,0.38095238,0.07117242,0.16606898,higher_in_core_a
CORE01,CORE02,chr6q,0.35714286,0.09094855,0.19315833,higher_in_core_a
CORE01,CORE02,chr7p,-0.35714286,0.09094855,0.19315833,lower_in_core_a
CORE01,CORE02,chr7q,-0.23809524,0.26245291,0.40188102,lower_in_core_a
CORE01,CORE02,chr8p,0.17857143,0.40327446,0.53395804,higher_in_core_a
CORE01,CORE02,chr8q,-0.24603175,0.2466196,0.40188102,lower_in_core_a
CORE01,CORE02,chr9p,0.61111111,0.00366088,0.0427752,higher_in_core_a
CORE01,CORE02,chr9q,0.41269841,0.05042709,0.12354637,higher_in_core_a
CORE01,CORE02,chr10p,0.14285714,0.50619759,0.59056385,higher_in_core_a
CORE01,CORE02,chr10q,0.53174603,0.01153281,0.07063846,higher_in_core_a
CORE01,CORE02,chr11p,-0.17460317,0.41408991,0.53395804,lower_in_core_a
CORE01,CORE02,chr11q,0.08730159,0.68999488,0.73499455,higher_in_core_a
CORE01,CORE02,chr12p,-0.48809524,0.02048137,0.07542546,lower_in_core_a
CORE01,CORE02,chr12q,-0.44047619,0.03666555,0.10460351,lower_in_core_a
CORE01,CORE02,chr13p,0.0,,,
CORE01,CORE02,chr13q,0.15079365,0.48220727,0.57629649,higher_in_core_a
CORE01,CORE02,chr14p,0.0,,,
CORE01,CORE02,chr14q,0.1984127,0.35202013,0.50732313,higher_in_core_a
CORE01,CORE02,chr15p,0.0,,,
CORE01,CORE02,chr15q,0.30952381,0.14360587,0.28146751,higher_in_core_a
CORE01,CORE02,chr16p,-0.49206349,0.01948125,0.07542546,lower_in_core_a
CORE01,CORE02,chr16q,-0.44444444,0.03500758,0.10460351,lower_in_core_a
CORE01,CORE02,chr17p,0.17460317,0.41408991,0.53395804,higher_in_core_a
CORE01,CORE02,chr17q,0.07936508,0.71819277,0.74875416,higher_in_core_a
CORE01,CORE02,chr18p,0.28571429,0.17748686,0.310602,higher_in_core_a
CORE01,CORE02,chr18q,0.29365079,0.16558807,0.30051168,higher_in_core_a
CORE01,CORE02,chr19p,0.21428571,0.31410215,0.4663941,higher_in_core_a
CORE01,CORE02,chr19q,-0.12698413,0.55599792,0.6191795,lower_in_core_a
CORE01,CORE02,chr20p,-0.58730159,0.00523364,0.0427752,lower_in_core_a
CORE01,CORE02,chr20q,-0.6984127,0.00088687,0.0427752,lower_in_core_a
CORE01,CORE02,chr21p,0.0,,,
CORE01,CORE02,chr21q,-0.15873016,0.45884883,0.56208982,lower_in_core_a
CORE01,CORE02,chr22p,0.0,,,
CORE01,CORE02,chr22q,0.3531746,0.09460816,0.19315833,higher_in_core_a
CORE01,CORE02,locus::VHL,-0.58730159,0.00523778,0.0427752,lower_in_core_a
CORE01,CORE02,locus::SETD2,-0.47619048,0.02380772,0.07777189,lower_in_core_a
CORE01,CORE02,locus::PBRM1,-0.48412698,0.02155013,0.07542546,lower_in_core_a
CORE01,CORE02,locus::BAP1,-0.48412698,0.02155013,0.07542546,lower_in_core_a
CORE01,CORE02,locus::JAK2,0.50793651,0.01585808,0.07542546,higher_in_core_a
