core_id,clinical_variable,set_n,rest_n,set_events,rest_events,set_median_time,rest_median_time,p_value,q_value
CORE01,overall_survival,18,85,1,23,1129.5,1177.0,0.04157035,0.10392588
CORE02,overall_survival,14,89,7,17,1098.5,1133.0,0.00892944,0.0446472
CORE03,overall_survival,11,92,0,24,1308.0,1129.5,0.118304,0.14788
CORE04,overall_survival,11,92,6,18,1661.0,1109.0,0.06871271,0.11452118
CORE05,overall_survival,5,98,2,22,1018.0,1136.5,0.26219856,0.26219856
