core_id,core_n,main_candidate,top_ct_radiomics_feature,top_ct_radiomics_effect_size,top_ct_radiomics_q_value,top_clinical_signal,top_clinical_q_value,overall_survival_q_value
CORE01,18,C0002,log-sigma-3-0-mm-3D_gldm_SmallDependenceHighGrayLevelEmphasis,0.80479389,0.39249238,stage_group=I,0.0841764,0.10392588
CORE02,14,C0001,wavelet-HLH_glcm_Id,-1.05524293,0.47098071,grade=G2,0.99373335,0.0446472
CORE03,11,C0002,log-sigma-2-0-mm-3D_glcm_Idn,-1.6991282,0.00131992,grade=G2,0.4877487,0.14788
CORE04,11,C0001,wavelet-HHL_firstorder_Maximum,1.20742023,0.56933648,m_stage=M0,0.0052521,0.11452118
CORE05,5,C0001,log-sigma-1-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,1.92869113,0.80470449,grade=G2,0.74593928,0.26219856
