core_a,core_b,clinical_variable,level,core_a_count,core_a_total,core_b_count,core_b_total,core_a_fraction,core_b_fraction,frequency_difference,odds_ratio,ci_low,ci_high,p_value,q_value,core_a_n,core_b_n,core_a_events,core_b_events,core_a_median_time,core_b_median_time
CORE01,CORE02,stage_group,I,15,18,6,14,0.8333333333333334,0.42857142857142855,0.4047619047619048,5.79120879,1.23477869,27.16122284,0.02650328,0.23852952,,,,,,
CORE01,CORE02,stage_group,II,1,18,2,14,0.05555555555555555,0.14285714285714285,-0.0873015873015873,0.42857143,0.04989794,3.68098329,0.56814516,0.63916331,,,,,,
CORE01,CORE02,stage_group,III,1,18,4,14,0.05555555555555555,0.2857142857142857,-0.23015873015873015,0.2,0.02706609,1.47786376,0.14196329,0.33010047,,,,,,
CORE01,CORE02,stage_group,IV,1,18,2,14,0.05555555555555555,0.14285714285714285,-0.0873015873015873,0.42857143,0.04989794,3.68098329,0.56814516,0.63916331,,,,,,
CORE01,CORE02,grade,G2,9,18,3,14,0.5,0.21428571428571427,0.2857142857142857,3.28571429,0.73549181,14.67850252,0.14671132,0.33010047,,,,,,
CORE01,CORE02,grade,G3,9,18,8,14,0.5,0.5714285714285714,-0.0714285714285714,0.76470588,0.19611669,2.9817712,0.73453876,0.73453876,,,,,,
CORE01,CORE02,grade,G4,0,18,3,14,0.0,0.21428571428571427,-0.21428571428571427,0.08880309,0.00419186,1.8812644,0.0733871,0.33010047,,,,,,
CORE01,CORE02,m_stage,M0,17,18,12,14,0.9444444444444444,0.8571428571428571,0.08730158730158732,2.33333333,0.27166654,20.04090905,0.56814516,0.63916331,,,,,,
CORE01,CORE02,m_stage,M1,1,18,2,14,0.05555555555555555,0.14285714285714285,-0.0873015873015873,0.42857143,0.04989794,3.68098329,0.56814516,0.63916331,,,,,,
CORE01,CORE02,overall_survival,,,,,,,,,,,,0.01658419,0.0731503,18,14,1,7,1129.5,1098.5
CORE01,CORE03,stage_group,I,15,18,9,11,0.8333333333333334,0.8181818181818182,0.015151515151515138,1.16541353,0.19017991,7.14159929,1.0,1.0,,,,,,
CORE01,CORE03,stage_group,II,1,18,0,11,0.05555555555555555,0.0,0.05555555555555555,1.97142857,0.07373718,52.70787957,1.0,1.0,,,,,,
CORE01,CORE03,stage_group,III,1,18,2,11,0.05555555555555555,0.18181818181818182,-0.12626262626262627,0.32571429,0.03708064,2.86105627,0.53940887,1.0,,,,,,
