threshold,core_count,core_patient_count,core_sizes
0.5,7,82,"[26, 22, 11, 7, 6, 5, 5]"
0.6666666666666666,2,42,"[22, 20]"
0.75,2,40,"[22, 18]"
0.8,2,40,"[22, 18]"
