initial_k,expected_repeat_count,valid_run_count,valid_run_ids,status,primary_eligible,strict_eligible
2,3,3,"['run1_K2', 'run2_K2', 'run3_K2']",complete,True,True
3,3,3,"['run1_K3', 'run2_K3', 'run3_K3']",complete,True,True
4,3,3,"['run1_K4', 'run2_K4', 'run3_K4']",complete,True,True
5,3,3,"['run1_K5', 'run2_K5', 'run3_K5']",complete,True,True
6,3,3,"['run1_K6', 'run2_K6', 'run3_K6']",complete,True,True
7,3,3,"['run1_K7', 'run2_K7', 'run3_K7']",complete,True,True
8,3,3,"['run1_K8', 'run2_K8', 'run3_K8']",complete,True,True
