run,target_id,source_set,source_status,target_coverage,source_coverage,jaccard,transferable
K6/repeat_02,CONSENSUS_K6_C0003_CORE_T0.9,C0002,provisionally_dropped,1.0,1.0,1.0,True
K8/repeat_01,CONSENSUS_K6_C0003_CORE_T0.9,C0003,provisionally_dropped,1.0,0.9375,0.9375,True
K8/repeat_02,CONSENSUS_K6_C0003_CORE_T0.9,C0003,provisionally_dropped,1.0,0.9375,0.9375,True
K2/repeat_01,CONSENSUS_K6_C0004_CORE_T0.9,C0001_S1_S2,active,1.0,0.928571,0.928571,True
K2/repeat_02,CONSENSUS_K6_C0004_CORE_T0.9,C0001,provisionally_accepted,1.0,0.2,0.2,True
K4/repeat_01,CONSENSUS_K6_C0004_CORE_T0.9,C0004,active,1.0,0.590909,0.590909,True
K4/repeat_02,CONSENSUS_K6_C0004_CORE_T0.9,C0004,active,1.0,0.590909,0.590909,True
K6/repeat_01,CONSENSUS_K6_C0004_CORE_T0.9,C0005,provisionally_accepted,1.0,0.722222,0.722222,True
K6/repeat_02,CONSENSUS_K6_C0004_CORE_T0.9,C0005,provisionally_accepted,1.0,0.722222,0.722222,True
K8/repeat_01,CONSENSUS_K6_C0004_CORE_T0.9,C0006,provisionally_dropped,1.0,0.764706,0.764706,True
K8/repeat_02,CONSENSUS_K6_C0004_CORE_T0.9,C0006,provisionally_dropped,1.0,0.764706,0.764706,True
K2/repeat_01,CONSENSUS_K6_C0006_CORE_T0.9,C0001_S2,active,1.0,0.4,0.4,True
K2/repeat_02,CONSENSUS_K6_C0006_CORE_T0.9,C0001,provisionally_accepted,1.0,0.153846,0.153846,True
K4/repeat_01,CONSENSUS_K6_C0006_CORE_T0.9,C0001_S2,active,1.0,0.625,0.625,True
K4/repeat_02,CONSENSUS_K6_C0006_CORE_T0.9,C0001_S2,active,1.0,0.625,0.625,True
K6/repeat_01,CONSENSUS_K6_C0006_CORE_T0.9,C0004,provisionally_dropped,1.0,0.714286,0.714286,True
K6/repeat_02,CONSENSUS_K6_C0006_CORE_T0.9,C0004,provisionally_dropped,1.0,0.714286,0.714286,True
K8/repeat_01,CONSENSUS_K6_C0006_CORE_T0.9,C0004,provisionally_dropped,1.0,0.714286,0.714286,True
K8/repeat_02,CONSENSUS_K6_C0006_CORE_T0.9,C0004,provisionally_dropped,1.0,0.714286,0.714286,True
