,TCGA-B0-4712,TCGA-B0-5081,TCGA-B0-5085,TCGA-B0-5115,TCGA-B0-5696,TCGA-B0-5703,TCGA-B0-5812,TCGA-B8-4148,TCGA-B8-4622,TCGA-BP-4164,TCGA-BP-4960,TCGA-BP-4965,TCGA-BP-4976,TCGA-BP-4982,TCGA-BP-4988,TCGA-BP-4989,TCGA-BP-4995,TCGA-BP-4999,TCGA-BP-5001,TCGA-BP-5004,TCGA-BP-5006,TCGA-BP-5007,TCGA-BP-5009,TCGA-BP-5180,TCGA-BP-5181,TCGA-BP-5183,TCGA-BP-5184,TCGA-BP-5186,TCGA-BP-5187,TCGA-BP-5189,TCGA-BP-5194,TCGA-BP-5195,TCGA-BP-5200,TCGA-CJ-4903,TCGA-CJ-4904,TCGA-CJ-6033,TCGA-CZ-4859,TCGA-CZ-5451,TCGA-G6-A8L7,TCGA-B0-4821,TCGA-B0-5106,TCGA-B0-5117,TCGA-B0-5697,TCGA-B0-5698,TCGA-B0-5706,TCGA-B0-5712,TCGA-B8-4151,TCGA-B8-4153,TCGA-B8-4619,TCGA-B8-5158,TCGA-B8-5164,TCGA-B8-5546,TCGA-B8-5550,TCGA-B8-5553,TCGA-B8-A54D,TCGA-B8-A54E,TCGA-B8-A54F,TCGA-B8-A54G,TCGA-BP-4770,TCGA-BP-4782,TCGA-BP-4972,TCGA-BP-4994,TCGA-BP-5000,TCGA-BP-5190,TCGA-BP-5191,TCGA-CZ-4863,TCGA-CZ-4865,TCGA-CZ-5462,TCGA-CZ-5468,TCGA-CZ-5988,TCGA-B0-5088,TCGA-B0-5702,TCGA-B0-5709,TCGA-B8-5551,TCGA-BP-4167,TCGA-BP-4962,TCGA-BP-4971,TCGA-BP-4992,TCGA-BP-5010,TCGA-BP-5175,TCGA-CJ-4637,TCGA-CJ-4641,TCGA-CJ-4900,TCGA-CJ-4902,TCGA-CJ-4923,TCGA-CJ-6027,TCGA-CJ-6028,TCGA-CJ-6030,TCGA-CZ-5985,TCGA-G6-A5PC,TCGA-B8-5159,TCGA-B8-5162,TCGA-B8-5165,TCGA-B8-5549,TCGA-BP-4967,TCGA-BP-4970,TCGA-BP-4977,TCGA-BP-4986,TCGA-BP-5174,TCGA-BP-5192,TCGA-BP-5196,TCGA-BP-5199,TCGA-CZ-5984
SST,-0.5742443302022563,-0.5643050273341942,0.11576147669609711,0.6083304577118879,-0.024083916765002378,-0.4717752883452179,1.1239386701985083,-0.17467833821992243,-0.6317122268000507,3.0546993892000907,-0.8366506418946655,-0.5166703075868707,-0.6457308587491795,0.7977234049535691,-0.7415814037861322,2.2663279661678835,0.06278581982789977,-0.6929739547279484,0.6830966864059161,-0.8433055331670404,0.21499983925427277,-0.633674463978786,-0.09142301529999927,0.12424630817598886,0.8312062989594409,3.460780498112902,0.027725254964104374,0.9713404411507844,-0.48881681884118733,-0.8222221356229541,2.1745245027139624,-0.9115674403159426,3.303144856856348,2.8149344301295236,0.4467557671862431,-0.7272052984832004,0.9211638094179536,-0.7107875597597179,-0.7473527697540248,-0.8723071890974133,-0.03508978982020367,-0.5805329445785562,1.8224744835390492,-0.8029319881969642,-0.08516851123312925,-0.46829383811139724,-0.36884687566728996,-0.761516789772776,-0.7251521027047448,-0.9115674403159426,-0.5603389104786299,-0.1647021788827546,-0.62902612186645,0.004038108833619232,-0.6920801205516016,-0.39411921922205867,1.2680186493450964,0.8637754088592614,-0.7973146845434421,1.561017352510385,1.013905493007692,0.07720618226748292,-0.18350964269034414,-0.9115674403159426,-0.6834613058155091,-0.8229716829293472,-0.584655898390008,-0.8690684211368835,-0.8703711832746739,-0.3607661459760857,0.7305932873925914,-0.392509443321587,-0.8214736615790217,0.7281864914127794,-0.31098362215958913,-0.13115991773928928,1.7904875851755884,-0.9115674403159426,-0.9115674403159426,-0.7655334992623721,-0.6624675356258527,0.14577444240847326,-0.5190824536722507,-0.8189718644902783,-0.6237251074930531,-0.9115674403159426,-0.6565292943644692,-0.8023802589475217,-0.865514442716363,-0.7598717801030247,0.8002859183844502,1.6752798441291816,0.724835252044718,0.923274316988306,0.017299464019669253,-0.29016296712846495,-0.8499533151038495,-0.8331747005017409,0.16901692539748708,0.23259952933977537,0.40638305134134084,-0.796307433859189,0.6626877097418548
GRIK3,-1.7066222280505905,-0.3501716054060196,0.07054900734891065,1.578110132733744,0.24557610720244988,1.10541175414677,1.481209537179536,1.0781701529989405,0.9544232862263883,0.021348384158866175,-0.886892557528977,1.6988678807284288,0.6734886648937225,1.9368038880113505,0.7863679713402286,-1.2915713572067113,0.5220856340045298,2.6738465202763853,-0.3366893347247194,0.7794227010430759,1.4466771420280002,1.0890742478387898,0.0718365589549026,-1.4256267459735423,0.9928277631306635,-0.27749112998283265,0.7595980095753593,1.4926222379234286,0.946457740940074,1.359659788158889,1.39122508297282,1.70785043065219,0.7508868410291131,0.06688052281993731,1.8012138418220605,0.9482128633738998,0.3590067915335499,-0.0009326239978904498,-1.2141077157642954,-0.5381625413068534,1.2689159720919454,-1.5794682189436102,-0.26781923303485006,0.531790903594599,-0.6015932659813835,-0.0027740528912816595,-0.9005144841650874,-0.11630258811844944,-1.0320382541685127,0.25855661064077756,-0.35727663008674077,-1.572077023763736,-0.23767444349103328,1.0138104254123392,-1.2224626113057366,-1.3606090092559582,0.3388354858617638,-0.6773220333561752,-0.6661624436890892,0.9762045675720075,0.32344274189508737,0.023073753861159615,-0.3468490966117058,-0.7646251507964483,-1.3007518742061241,-0.6386302295397045,0.4432474152497201,-1.1830158330181013,0.08148063429743184,-0.1659642827089588,0.4599673793818449,-1.6729045653909007,-0.11035214411582978,-1.4220697107146585,-1.8138995156344941,-1.0942019420124194,-0.8247642511550545,-1.2718928575689632,-1.0165158289050649,-1.1706334656914028,-1.0002799552534123,-0.8320225748983463,-1.0773125953209162,1.0006455932016882,-0.0753519351668194,-1.1148914217987451,-0.19880318345605713,-0.27990763852119926,-0.5680708631059157,-1.918018953487355,-0.5554464517837653,0.025656675740681666,1.0169194918920965,-0.39101104417529337,0.034641312276363884,0.5467061419897074,0.3314851384010485,1.0042028852701066,-0.6273087068047861,1.480807042221055,-0.2527201613193387,0.8220155871734287,-0.46153887771600455
AGTR1,-1.1880628316147208,-0.707498861830287,0.5798912714864001,1.3779900935409393,0.647772292460866,0.4643957869243181,1.3305313214278054,1.96007554682378,0.32055507204260014,-0.533239599936556,-1.2579289764145072,1.1389192483577435,1.0449266880479333,1.4447388392807399,0.43982847175675815,-1.241569102120004,1.1263920285766629,2.3546807667797727,0.6466266360564955,-0.6347848797581364,1.9269762046259398,0.8242047245660387,-0.9105890260289592,-0.6422965660656593,1.5903867644761096,-0.7815476386386727,2.0519225781858736,2.464078935057751,0.7790373653499625,0.37675665717857965,1.6155364657486277,1.0211804226177479,0.10967783655776644,0.010610463450828472,1.5381617525783675,0.5146743109006011,1.296528453772541,1.1028735417014244,-1.1801421723848051,-0.520019342939649,-0.30665562448894135,-1.4170762548378777,0.30726918927336444,-0.15358206196695995,-1.183468569160232,0.268869273873783,1.1663881292373939,0.8011458033688924,-0.11423658320299032,-0.9978767037075698,-0.7662061025931413,-0.5154307913119299,-1.2509591013587957,1.0572300300988213,-0.8596438656443377,-0.711431783472653,0.26014072337725674,0.12310333182113715,-0.04364461518181252,0.06260060759809259,-0.48227780610881393,0.7492810181928715,-0.40986312390768626,-0.21829114735507507,-1.0688665411687601,-0.735318973016241,0.46230676104991814,-1.6265928219869699,-1.366844407752527,-0.39229601052947854,0.9229773128017933,-1.3471434755271696,0.036390031533652084,-1.1462587848124999,-1.4599597966751054,-0.8707328805966256,-1.1037099474510625,-1.2934672216073364,-0.3867366794220115,-1.1953040118533709,-1.257023309403797,-0.8406363326296635,-0.9960762727222527,0.024934006091941324,-0.42280424762295843,-1.1210546164688533,-0.07467793020229178,-0.25271749333224974,-0.8523487169649414,-1.1723830435329476,0.12015987285813119,-0.2533173358148171,1.312132713575165,0.002747613246900196,-0.7163110855187211,1.353675280492032,-0.03955710142690313,-0.6600752791529721,0.7128680585550234,1.4884552133824915,-1.0164682792094004,0.008005303596764081,-0.6436050859236895
SCGN,-1.603851057755109,0.09802108710288751,-0.03935840015138035,1.0687720045729336,0.7327047174987463,1.3566439968311905,0.9385843504816199,1.9599466825353047,0.2448372543956598,1.1553953452800918,-0.9459211420664887,0.23103349195756948,0.6939716531345266,1.0896610034165617,-0.9322216754854404,-1.2794297352613315,0.9131337175580961,1.1373943283889643,-0.05719149841308111,-0.08029705085082475,1.0585608947553993,0.5780731414850004,-0.27359295917349713,0.7476177491146484,2.0720876885636996,1.75261537628798,1.8459768594950208,1.0556248451057366,0.29167488711247797,-0.22836549820096755,1.644134386195684,-0.04213767583811959,1.5191644769593193,1.0609741975880156,1.7046066684353487,0.10214111566014451,1.1520994643049631,1.668320703140524,-0.35587915148450466,-0.5804068089362638,-1.1721053107540476,-1.668483514215774,-0.11759961875764713,1.0849183928218338,-1.027277759527163,1.1342038874346059,1.5704465188872878,0.8674683909503661,-1.6648190363769007,-0.16740030605507503,-0.03546012620222365,-1.3622024017245375,-0.3371721490100548,1.2684334841810914,-0.8742354443024284,-1.6662726502993461,0.9325417076165167,0.5358004071733437,-1.6808690280709873,-0.05915820606548554,-0.0691555830696412,0.631885805817482,-0.5272098704325926,-0.42211138252684394,-1.3520009825964514,0.25834417849984426,0.006607028375053131,-0.7822420756967196,-1.7487438637752337,-0.7302941092396124,-0.7883657516644258,-0.47845157688961165,-0.4162031860904474,-0.6918385896145988,-1.70175411828627,-0.3313637741682894,-1.2892485988101219,-0.03439694643761312,-0.5615832672940672,-1.7146777598240204,0.08448856826954984,-0.692526027992228,-0.41382231275969183,-1.0180592014266823,0.0760964038502728,-0.33455115360308213,-1.57991098500268,0.3823709480727992,-0.3011460436149676,-0.5626949975672277,1.135048386530857,-0.2795105465847056,0.9797370089521414,0.005278447765501641,-1.347115643684173,0.35713434702999336,-0.5814404231027425,-1.681543531703567,-0.020756153115314476,0.8094688375778807,-1.2523795191977414,0.15056695030758382,-0.18780560672206742
ALPL,-1.398238943902671,-2.110247320575732,1.1536042611631105,0.5844546151481035,1.840971247661217,0.7076932573444106,0.34267691584406396,0.7590075639820287,0.8740877479701837,0.9231537623645133,0.38706728415549346,-0.3873691840660395,0.5718070839625097,0.9842774277946458,0.6160445165453149,-0.9995826474093618,0.08515209106411736,0.8378854472500479,0.5733525082923571,0.19278665249834184,0.7034025035529882,-1.0168047836310243,-0.41975851658722146,1.3536791157439043,2.291646690372048,1.6821361971843498,1.2319532522346877,1.189412035432041,0.3111387324967646,1.2606123290932232,0.5011036114983977,1.3843344594037186,0.2860904897685455,0.34780828262901464,1.3295058743519508,0.6265709594594538,1.6262567541748076,1.5473895074686725,2.168018333391971,-0.24646797628019748,-1.3411113352924169,-1.3217453380573556,-1.1145022249597027,-0.23110207575665845,-0.5780459724225003,-1.0938259520705056,0.51863479137179,0.6037404321055907,-1.7771549263463744,1.6674129031750626,-0.4190667334507421,1.065253199571098,0.1790343411155816,-0.08806569854926076,-1.7076640897609487,-0.39958011237130964,-0.7071781538575341,-1.5087838576481385,0.042676815421061345,-0.03328019980355261,0.024189207020751884,-0.26283083455470807,-0.3107730276227524,0.6135477869481448,-0.3756918236503944,-0.11380212344940353,0.8070781687488819,-0.44065279232346477,-0.6815381841783495,-0.919700204071131,-0.07301576684884771,1.2807958943361337,-1.0282458144962443,-1.9116989091989975,-1.3035177036846475,-1.4869631378766472,-2.0963052633615264,-0.07602417452722547,0.45952545600767153,-0.5950542201715714,-0.6735675509633978,-0.8528208298533428,-0.720510085367878,-0.6593258917697229,-0.6801370952236157,-0.2971620763240701,0.14824713923757057,-0.5883107080916904,-0.969128503921581,-1.090679286769265,1.6894361981409964,-1.1546028030155586,0.4549485356926071,1.1710597152681717,-0.3946345001445435,-0.6791679437392552,-0.2425846199525148,-1.5785139495790195,-0.21243272086754283,0.8744924396977144,-0.7697248377607423,-0.5656540599269888,-0.17080704906981653
COL25A1,-1.2147936126342367,-0.563434250976061,0.31911783706031316,1.1938059649454626,-0.29584063431081237,0.894346534654744,0.9328874409373369,1.7531179577669895,0.3127153233954763,-0.6554952666914098,-0.6622386975250313,2.6363711985280127,0.8568645583616822,2.56689664616287,0.20426231748995158,-0.5356524823081336,1.0790464266877735,3.021413807280082,0.6646278489833004,-0.11644124835237694,1.8545492119525406,0.7364223551633866,-0.7003094895555799,-1.0674336450956465,1.4101169193360037,-0.915053193577458,1.3661703446439217,2.474320425007144,1.2872355083824794,0.00627325433552017,2.1000826772879138,0.5906548006556767,-0.24286741623981745,-0.5443658690280886,1.1444905579052589,-0.6501901500224916,0.8616437825749382,0.7597934591891452,-1.3608929683432252,-0.6856346926404592,-0.6827520994886087,-1.2502552475618924,-0.6859742143552932,-0.32946152760758995,-0.8869142085797495,-0.029004877198859764,0.28596254672201626,-0.13066176471133442,0.42341205559722617,-0.6790305313044281,-0.37290099439435204,-0.7218319538656087,-1.0416528494826827,1.7523681690432895,-0.6543330420940724,-0.9869424768805192,0.6452049569174662,-0.5710728808237004,0.8396524785656357,-0.4976228557403922,-0.6835145576335562,0.5354657742960031,-0.17733471161746528,-0.6892889018124216,-1.3347979557277947,0.35965063411915793,0.5201786235528449,-1.0922226319212613,-1.3107790022599992,0.23690853256461275,0.17600259050320663,-0.31749081631269827,-0.04749476513954002,-1.1321254052503722,-1.3653131947603416,-1.1103022291763291,-0.758280937867389,-0.8897615972583537,-0.3075609938324285,-1.2871678064821876,-0.9161546196223487,-0.8225150184090725,-1.0716839360205066,0.12615297483517393,-0.009191180330425744,-0.774199159763103,-0.11514541587851705,-0.3538502526107728,-0.3119654983961539,-1.1205907448704822,1.4862920714222188,-0.8063150881985062,1.3873615876744927,-0.4109674561197663,-0.7574763836603482,1.3065778445150265,0.0942583612461425,-0.5016321436117807,-0.08947911785883564,0.3790483690296316,-0.8360660390331133,0.346903543109079,-0.7969055695753658
KIF26A,-1.0121824040280734,-0.2436720058419065,-0.48793478251579053,0.8682802653605595,0.0686635533435936,2.016407901953013,1.8549868964711071,0.8169463623506396,0.7458975452312113,2.239592828250853,-0.5373768088053653,0.7938542911197517,2.5796515163909275,1.0384949886615347,0.5586939147283186,-1.3295630509719853,-0.34372368457791136,1.060604614367806,0.39422548980434374,-0.7358699982060721,0.5203681155779741,0.14936620483700563,0.3512548958353977,-1.4058952815799,0.622273086088166,-0.6202553218137143,0.5304154880985409,2.500414861721982,1.6474484916817322,-0.03276809584222321,1.2829609033373297,0.859428974619316,1.3076862570724948,1.393589601906375,0.8481658258131608,0.1045456183537252,0.8306143901603181,1.765761669236012,-0.45537859244890483,-0.8776746491988422,1.2129889544291952,-1.282181905554984,-0.8702438603367327,0.552805578576133,0.02273247170637727,-1.0035273837176217,-1.1458813085871622,0.2013424709155833,-0.8875906225534831,-0.6275764897668286,-1.2459345099340253,-0.000886685634615613,0.47218946950909996,0.19065427967962406,-1.621074343985894,-1.4994480081803292,0.8424595834064713,-1.5456868366246568,-0.3489828267313597,0.37963256152658403,-0.02072268662863027,-0.48785059980508666,-0.2334853193026143,-1.4025382933506363,-1.02315985264983,0.08322602900767549,-0.0952856902099117,-1.291092177577122,-0.5626499042888807,-0.5823886675620279,0.38125221859800973,-0.5196269538999081,0.7980000178555181,-0.4625446337139894,-0.8955770640435137,-1.4246824172968762,-1.028334963331577,-0.27750862865118253,-0.027549877350769084,-1.3279772670767658,-0.5989885047809959,-0.5590035341289938,-1.229866912143344,0.8146598775878002,0.6310191206467989,-1.2661261463039406,0.1588138517917772,-0.7518453960142081,-1.177552526541908,-1.8889532112421494,1.2146832372263894,-0.16927668580932434,1.5753243456843815,-0.1173271341772636,-1.2191648407376015,0.22303105636884776,0.2705429603391745,0.4592583041132651,-0.9423367729420926,0.9483369229543279,0.07178769412936796,1.242931518471009,-0.753540957897075
CHRDL1,-0.6997964491011348,-0.4579941039701078,-0.7579582624535972,-0.7596080857175229,-0.6404851729207022,-0.7608299241980061,-0.09531487325713933,-0.6140735740431705,-0.7482076544993833,-0.6431736042640753,-0.7257223350799801,-0.341386829973202,-0.6771298928071225,-0.6224740064690609,-0.7083140771104899,-0.7586751182525558,-0.5951465493457042,-0.2562023176512854,-0.6769375229081868,-0.747430385082529,-0.725928018651156,-0.7533158009312843,-0.7650863776349637,-0.7479955897421405,-0.7706790509719947,-0.41754151907941606,-0.5452556405649721,-0.4971066910676742,-0.6275491354909672,0.18960157231815045,-0.5729641060473871,-0.7197826125664112,-0.22346482433188103,-0.4903246504769006,-0.5215087026343823,-0.7425735959472869,-0.7620538136549311,-0.7576000986823889,-0.5057246237544241,0.7003953960929725,-0.5099955964864095,-0.6771298928071225,0.8055397027075886,-0.7620538136549311,-0.7041093713859004,-0.7706790509719947,-0.20739554637415794,-0.7340646123574824,-0.7015185577627395,0.46658058193819574,-0.7231220196981255,0.016917650724594547,1.3565270481010696,-0.5417850611048164,1.6261948998728462,3.0494811741973162,0.5912683822556387,-0.7706790509719947,0.7303128377470333,-0.5085691572889219,0.3747806349731417,-0.5572895455532175,0.7676063370671867,-0.5824768561553092,-0.6191495924239682,-0.7106605449628903,2.3651677023534177,2.6213771416876206,-0.3069664647100949,2.538806232033898,-0.5915448499068662,-0.44682640498647397,1.211260033145938,1.520357007635682,1.0914250320548269,0.3316137442857601,-0.052042291317316185,-0.7645800735800259,1.618069587233969,1.1194322807698285,0.7746366039337512,1.2159790166383078,-0.2510361093365944,0.8128220506689581,0.13514754489623226,-0.754241931464427,1.4612755785798535,1.146356042603694,1.2648053717334418,-0.7246263349121053,-0.6502473600951449,-0.5108630123530608,0.7567751550527567,-0.44477177221442593,-0.2225016162992359,0.2162237678227784,-0.42340477080905825,2.944825374640008,-0.7244894506585563,-0.7706790509719947,2.3628352769530334,-0.008062554797436868,2.9764811469888093
EEF1A2,-0.48819640809683107,-0.5242802102845759,-0.6480536742495072,-0.686306578998308,-0.2569063940723795,-0.304465799503359,-0.28020040981724,-0.4688140639250317,-0.5757841125858446,-0.5549263923033539,-0.638075571709717,-0.6792010923319173,-0.5885758424916895,-0.6006483416946601,-0.529650796575755,-0.20423248566738,-0.36220645326028794,-0.608127288021928,-0.6165228026909072,-0.6924561348818671,-0.5904510390945797,-0.589400425478659,-0.6151307273760634,-0.5591880054050429,-0.5190120462819899,-0.6519968845097749,-0.6463692441282415,-0.4844707095986447,-0.4112038270911774,-0.6242197437642684,-0.6445281683655617,-0.5822305752926726,-0.5089812551102499,-0.6800339923455282,-0.5658756450668664,-0.6122762937657306,3.6269702855297585,-0.4565164239066216,-0.45542462874932693,0.5326129518754239,-0.33215633340509776,-0.32722081790168756,1.4145546657730628,0.7835140615759464,-0.583272464087496,-0.5070026850364308,-0.6712460148196467,-0.35167434343321063,0.5663209615984877,-0.6048377013945437,-0.44198760387517644,4.661549818004733,-0.018930494568812843,-0.06570016155738184,-0.49213923078685357,2.528889574778103,-0.3092721212705296,0.38137677267881087,0.28278234578549694,-0.09327033524754336,0.46681992582682513,-0.29078871808887224,0.104612187858328,-0.6312772267956251,-0.21654238348518323,-0.2524845425482422,-0.6365689816403304,-0.6541774220428056,0.5917559792243088,-0.6368859393143076,-0.4003594088701526,3.101739201489902,0.6989008070137364,1.228501410505407,-0.4946210996637154,2.3149209567034643,1.0955406974732114,-0.5666787448769989,-0.5497542182664593,-0.5438301814497668,1.413151605394992,1.7906972749276777,1.9764504098652445,-0.640221064313431,-0.5040093794940079,1.9742817614850545,1.1404229546366622,-0.4489027959251833,1.0120372862370155,-0.4564521622926338,-0.5595501312498733,-0.4454699732760523,-0.12179693785682683,-0.33221194980986624,-0.5961012784831202,-0.5138446358184942,-0.3388561065623924,-0.3891150300070894,-0.2288829977461764,-0.036616183878888986,0.5485038508472798,0.612908251807143,1.939834290738365
CCNO,0.6708612417131766,0.12790443096703832,-0.9228194677011748,-0.8126631256209532,-0.6506398902393772,-0.920064924648526,-0.9617615442606224,-0.7909354604432877,-0.9067964935052227,-0.7813764083242192,-0.7579962823600201,-0.5526861541467485,-0.7910686443861981,-0.9273243433652952,-0.22205375284875925,-0.27226405009167237,0.13317049196174854,-0.8156376186885754,-0.9129837937179097,-0.7377941424556955,-0.8389558507994714,-0.8527579365512067,-0.7189973947257193,-0.9756652229025264,-0.7126559602313003,-0.9020649294669074,-1.0118300488266232,-0.7687227548497558,-0.5776387729963832,-0.6825759263071588,-0.9073710071141371,-0.6417912262925637,-0.6714459185231595,-0.7572143487808851,-0.901349294346719,-0.9669793677565341,-0.550862260661261,-1.0118300488266232,-0.8849809533936367,2.678943482418908,0.8953388676578787,1.7771363072938762,2.24174238078758,-0.9312587278042148,-0.4033456142210539,-0.19614770953016342,-1.0118300488266232,-1.0118300488266232,0.6627595264568726,-0.841293481663879,-0.4336584375060479,-0.5808881648604085,2.476610110745379,0.17601175973034722,1.591493460211617,1.327275305393119,0.8525407976677012,0.34343761564543884,2.0603889195663405,1.169054427210667,-0.6556321118610752,0.3447743597147062,0.40363333690217423,-0.6338346636217741,1.0044337992457868,0.19632733280726514,0.25517201168062037,1.8175309397263621,-0.46199808260984954,-0.7598223419902985,-0.5054010870719599,1.3469628393766446,1.0645189755106526,1.4819396404387057,-0.2714088834749536,0.6299717500329226,1.501614073866231,2.5582149568659753,-0.6951629668020641,1.0622463035741658,0.5979273384685907,1.880553289397091,-0.24037676966599159,-0.6431213323334128,1.6187117692615363,-0.19949816611287513,-0.4517098979428998,-0.7805824967602969,1.0788350757937986,1.1533782579415028,-0.6914134721102985,-0.6370846460237669,-0.5375903927029152,-0.9067964935052227,0.04913908937163543,-0.26193889771139967,0.7158483637616782,1.340983151070568,0.28819996062302344,-0.9219490787574853,1.742921677229754,-0.12889496233827716,0.5485168787036014
