pathway,WO_AGENT_SUBTYPE01,WO_AGENT_SUBTYPE02,WO_AGENT_SUBTYPE03,WO_AGENT_SUBTYPE04
KEGG_MEDICUS_REFERENCE_TCR_PLCG_ITPR_SIGNALING_PATHWAY,-1.544398207497405,0.7506173227406097,2.1417965710570934,-0.5322860861502722
KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION,-0.6137365666532654,-2.4277314791172238,2.0920213178421028,-1.2196395464596617
KEGG_MEDICUS_REFERENCE_TYPE_I_IFN_SIGNALING_PATHWAY,-1.1610280658561913,-1.5387957710501703,1.8596648689726387,-0.7769919684717868
KEGG_MEDICUS_REFERENCE_WNT_SIGNALING_MODULATION_WNT_INHIBITOR,-1.80159007330238,0.8959288560323615,1.7426557119416248,-0.6162902486233001
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,-1.39420034921283,1.2401367752866481,1.6693604367641242,-1.890619667898837
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_ELECTRON_TRANSFER_IN_COMPLEX_I,-1.5548981821683752,1.7592633316695538,1.453314855702926,-1.9604331464713667
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV,-1.5452584356220387,1.2135386844764993,1.7304321951716126,-1.9093967678978523
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,-1.4016604656526492,1.2326085108914668,1.7657484063872952,-1.8970458636554217
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SNCA_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,-1.3856481111563315,1.2883372984119243,1.7140590892706924,-1.938501965970704
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SNCA_TO_ELECTRON_TRANSFER_IN_COMPLEX_I,-1.6710985760304349,1.8643331923265005,1.6211262796364623,-2.0253676474685602
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SOD1_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,-1.462343422926619,1.2159827922626423,1.7792876629494034,-1.964809138505234
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_TDP43_TO_ELECTRON_TRANSFER_IN_COMPLEX_I,-1.6753836785871465,1.7803612003662985,1.7055002037245737,-2.055037637341456
KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_PINK1_TO_ELECTRON_TRANSFER_IN_COMPLEX_I,-1.6492358159694906,1.7844749868420107,1.5490839090796216,-2.002697611296687
KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_UBQLN2_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,-1.3630990251344564,1.1583241887459892,1.6919581825827144,-1.871226659250956
KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_VCP_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,-1.453062954540892,1.171086355509661,1.7490375801094629,-1.900169696288325
KEGG_MEDICUS_VARIANT_NOTCH_OVEREXPRESSION_TO_NOTCH_SIGNALING_PATHWAY,2.392920741348728,-1.9165638288921372,-1.2691377347666055,-0.6920531430538945
KEGG_MEDICUS_VARIANT_SCRAPIE_CONFORMATION_PRPSC_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,-1.4502121072290364,1.2896840283929507,1.7713120933433384,-1.9560449735000627
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE,1.1262597480244108,-0.82219879196931,-0.7813866239538694,-1.7021702916971615
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3,-0.5834895193255163,1.0723955287060956,0.7919359097234584,-1.7287668994028336
REACTOME_ACTIVATION_OF_APC_C_AND_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS,-1.5411832228294122,1.295873786381224,1.666455165364723,-1.8173657419072342
REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT,-1.772668214999506,2.5934732258836752,0.9926611747727372,-2.0875124987947804
REACTOME_AMINO_ACIDS_REGULATE_MTORC1,-1.5059418545592946,1.9367668268109444,-0.9295293616338397,-1.6749896793091474
REACTOME_AMYLOID_FIBER_FORMATION,-1.2048189661029358,1.4260883637317958,0.6075031674976402,-1.6592603810531263
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS,-1.6122858562541367,1.091187034400575,1.9465222710301102,-0.6626231613485718
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,-2.002935812568765,1.0477612409257686,2.25424820127709,-1.3826432054581732
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,-1.2454465024931323,1.8072887222419005,-1.1414172969011485,-1.17925482005388
REACTOME_ANTIGEN_PROCESSING_UB_ATP_INDEPENDENT_PROTEASOMAL_DEGRADATION,-1.6207269792946872,0.6616879062330628,1.9375146507873675,-1.7326799119185308
REACTOME_ANTIMICROBIAL_PEPTIDES,-1.8609750917034664,0.9211917727053036,1.6072207344702163,-1.1476339940545808
REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,-1.4801245019990388,1.370633513795687,1.6648269776937126,-1.8487356039615737
REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS,-1.5498296991124743,1.412816350092941,1.5614704893783236,-1.7791299650674035
REACTOME_ARACHIDONATE_METABOLISM,-1.682818695347129,0.8737381469646726,1.8200447145207335,-1.077603093965329
REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION,-1.4229223420814845,1.7481403623263214,-1.1648121571716177,-0.8466256078308747
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES,-1.8977340657520052,1.0728396709557606,1.03791048766219,1.3305675360321143
REACTOME_ASYMMETRIC_LOCALIZATION_OF_PCP_PROTEINS,-1.3765331855062797,1.2770988936946206,1.3920166043123596,-1.6999921759017949
REACTOME_AUF1_HNRNP_D0_BINDS_AND_DESTABILIZES_MRNA,-1.4995530294032544,1.3093201166484718,1.6376121942971273,-1.7793813959969573
REACTOME_AZATHIOPRINE_ADME,-1.7480438892961185,1.4654123348530537,1.3526892157225905,-0.8545425744891718
REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION,-0.5684847425521786,1.0024714512727715,0.895450188420227,-1.8107644024898162
REACTOME_BBSOME_MEDIATED_CARGO_TARGETING_TO_CILIUM,1.208497145103716,1.4219456206208698,-1.966847652460318,1.2871175559028902
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS,-1.7957875525673241,-1.1479092525877521,1.280222459134683,-0.8794117541258488
REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM,-0.9019421352528972,2.2156513414029346,-2.0904841340046554,-0.9601466506178215
REACTOME_CDK_MEDIATED_PHOSPHORYLATION_AND_REMOVAL_OF_CDC6,-1.5143802165656772,1.3312126772853379,1.6587847037346644,-1.8369360049557992
REACTOME_CHAPERONE_MEDIATED_AUTOPHAGY,-0.5486857785668625,-0.5825391864665629,-1.0059791843114054,1.9830614363560652
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES,-1.7018632596725818,-1.5031915407807075,2.5224909311768546,-1.610216899687328
REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE,-1.5494078987552558,2.5340612211135203,-1.8763559735043758,-1.4089008335329338
REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS,-1.4104777211672703,-1.7191847079611642,1.952085053112128,-1.0891998546206267
REACTOME_CLASS_I_PEROXISOMAL_MEMBRANE_PROTEIN_IMPORT,-0.8924602440983463,1.8699132378418604,-1.3317088593300141,-0.8680614120456427
REACTOME_COLLAGEN_DEGRADATION,-1.7393513790029305,0.7653445122783342,1.082257888001483,1.0675133224784992
REACTOME_COMPLEMENT_CASCADE,-1.7612435716111918,-0.9264409576033867,1.82105126071728,-1.118037429389408
REACTOME_COMPLEX_III_ASSEMBLY,-1.609671196906121,1.8461832362813422,0.8014490405931884,-1.961354923289146
REACTOME_COMPLEX_IV_ASSEMBLY,-1.898579113207008,1.974819342235566,1.902636432242698,-2.294901974667562
REACTOME_COMPLEX_I_BIOGENESIS,-1.6869333147267833,2.189481056097974,1.3227065871270804,-1.9952834837587528
REACTOME_COPII_MEDIATED_VESICLE_TRANSPORT,-1.2423211340521565,1.7549854932473945,-1.1505999844360149,-0.8855243206341008
REACTOME_CRISTAE_FORMATION,-1.8841761853774879,2.167943145794655,1.4182072001558808,-1.7112084738138253
REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES,-1.7187646970833388,1.1024910017952143,2.0053668917977667,-1.799492725231643
REACTOME_DAP12_INTERACTIONS,-1.625616082634453,1.0568453525510095,1.81758006610415,-0.6467720748654208
REACTOME_DAP12_SIGNALING,-1.270408658552503,-0.6448381534187534,1.782120444916965,0.9286407841530052
REACTOME_DEADENYLATION_OF_MRNA,-0.5782563618092588,0.6408186180227216,-1.2599885029342215,2.010208729970706
REACTOME_DECTIN_1_MEDIATED_NONCANONICAL_NF_KB_SIGNALING,-1.5736353256852442,1.4378013869341233,1.6514059015627132,-1.862226130672117
REACTOME_DEFECTS_IN_VITAMIN_AND_COFACTOR_METABOLISM,-0.9211165914724511,1.8679819442248664,-2.0563515114561732,0.97189635830568
REACTOME_DEGRADATION_OF_CRY_AND_PER_PROTEINS,-1.1400766257033643,1.39659399863346,1.0713156508749686,-1.7707363731002717
REACTOME_DEGRADATION_OF_CYSTEINE_AND_HOMOCYSTEINE,-1.1053133770565962,1.2518874511564366,1.0900452750263612,-1.679346990345756
REACTOME_DEGRADATION_OF_DVL,-1.4665663914520575,1.3904813024613087,1.5652432847239888,-1.6743010064157104
REACTOME_DEGRADATION_OF_GLI1_BY_THE_PROTEASOME,-1.3228902563971816,1.3481489735095322,1.3500437563953478,-1.7657262620201355
REACTOME_DENGUE_VIRUS_GENOME_TRANSLATION_AND_REPLICATION,-1.416951355994457,1.7608179025948432,-0.714366434778479,-0.66527090182369
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,-1.8602137130341105,1.4763049042690857,1.629978744974466,-1.4548365129352068
REACTOME_DEVELOPMENTAL_CELL_LINEAGES,-1.7966072965193776,1.1425968164052955,0.8640522547272322,-0.9397325125908167
REACTOME_DEVELOPMENTAL_CELL_LINEAGES_OF_THE_INTEGUMENTARY_SYSTEM,-1.7089348632014474,1.0667849117591857,0.8849216262709683,-1.1116613977708028
REACTOME_DEVELOPMENTAL_LINEAGES_OF_THE_MAMMARY_GLAND,-1.7384974479857733,1.1758863320528554,0.8481496186651796,-0.9957240312943345
REACTOME_DEVELOPMENTAL_LINEAGE_OF_MAMMARY_GLAND_LUMINAL_EPITHELIAL_CELLS,-1.6219874912587873,1.8160624173491369,-1.1996955308078339,-1.0300004944257182
REACTOME_DIGESTION,-0.9684090207494741,1.2028248308531024,0.9115899033710688,-1.7799591634640495
REACTOME_DNA_METHYLATION,-0.5533559884944365,0.9092465481852399,1.223976880296,-1.715031325427833
REACTOME_ELASTIC_FIBRE_FORMATION,-1.7265106933833338,-1.1977123310235027,1.696364292603755,1.2470537229354615
REACTOME_ESTROGEN_DEPENDENT_NUCLEAR_EVENTS_DOWNSTREAM_OF_ESR_MEMBRANE_SIGNALING,1.9317138135457963,1.1859366304157213,-2.045925383913719,1.2853567955913454
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,-0.6058081149301532,-2.359472208422786,1.8754176737251924,-1.1473265219686217
REACTOME_EXPRESSION_OF_BMAL_ARNTL_CLOCK_AND_NPAS2,1.4451239934891618,-0.9249438382704963,-1.857996096664075,2.7838357645047194
REACTOME_FATTY_ACID_METABOLISM,-1.4557798019090191,1.7903224796284822,-1.0637623094343176,-1.2857456324930134
REACTOME_FBXL7_DOWN_REGULATES_AURKA_DURING_MITOTIC_ENTRY_AND_IN_EARLY_MITOSIS,-1.5397375337863517,1.4820798027282156,1.6298050715607573,-1.907423114012313
REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING,-1.743243628847117,1.9147083782220937,1.7034270130166131,-2.0218161506538004
REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE,-1.902218747692881,1.2942676748493658,0.8934212609722553,-1.1960098518526394
REACTOME_G1_S_DNA_DAMAGE_CHECKPOINTS,-1.3891193474888626,1.1482656087214473,1.6161813348652576,-1.7117154040785951
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES,-1.874080039945745,-0.9814618104080352,2.51127285190425,-0.9966237486289087
REACTOME_GPCR_LIGAND_BINDING,-1.2939396166893833,-1.6984713317603106,1.7375545649549127,-1.0968405658207687
REACTOME_GSK3B_MEDIATED_PROTEASOMAL_DEGRADATION_OF_PD_L1_CD274,-1.5447891632972146,1.547683235440616,1.506584943313253,-1.7461082794504375
REACTOME_HEME_SIGNALING,1.23942266591966,-1.0474434664416943,-1.4577525579392772,2.517675331245652
