pathway,WO_AGENT_SUBTYPE01,WO_AGENT_SUBTYPE02,WO_AGENT_SUBTYPE03,WO_AGENT_SUBTYPE04
HALLMARK_ADIPOGENESIS,-1.3334533405358284,1.990477780316875,-1.2890335989443462,-1.2529568766914854
HALLMARK_ALLOGRAFT_REJECTION,-1.9384012689120662,-1.2964477602095634,2.7973397598903165,-1.1904592810952963
HALLMARK_ANDROGEN_RESPONSE,-0.5707688237944886,1.7083731451271513,-1.8583060133320144,-0.728642579341375
HALLMARK_APOPTOSIS,-1.4210262845750374,1.1597897700740405,1.3199358303351643,-0.849606191021769
HALLMARK_BILE_ACID_METABOLISM,-1.3564324979052775,1.684322404716598,-1.611270241790628,-1.0609965687563785
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-1.1486228500337117,1.5353962942372614,-1.0380222754766997,-1.124955695247631
HALLMARK_COAGULATION,-1.5848657649151876,1.1185339297076486,1.4575528713834343,-1.0077624633177347
HALLMARK_COMPLEMENT,-1.9467603084928564,1.2549752016734632,1.8493017182258844,-1.1340952714259387
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,-1.5842786046119919,-0.9131831537023826,1.414528333490616,1.48616640451092
HALLMARK_ESTROGEN_RESPONSE_EARLY,-1.275111051652302,1.4991803810160165,-1.4254134969646803,0.8920609647658274
HALLMARK_ESTROGEN_RESPONSE_LATE,-1.720751673182052,1.8716155435826465,-1.1626130968268755,-0.9900606803588748
HALLMARK_FATTY_ACID_METABOLISM,-1.3914892025011287,2.1926347795279395,-1.6715318909364087,-1.359365374986716
HALLMARK_GLYCOLYSIS,-1.4525065334071279,1.483296085619025,0.9280573158148538,-0.9059481188507674
HALLMARK_HEDGEHOG_SIGNALING,-0.8983514881450413,-1.1461660668025104,-1.0301836029913203,1.9070015502704265
HALLMARK_HEME_METABOLISM,-0.7035017476429571,1.2741857692710936,-1.5971389486614262,1.0995204976929984
HALLMARK_IL6_JAK_STAT3_SIGNALING,-1.808521862757222,-1.1497194347780073,2.3480657124056847,-1.0061581812885585
HALLMARK_INFLAMMATORY_RESPONSE,-1.6927537541394078,0.8171022782155015,1.9685327956224699,-0.8986125236721926
HALLMARK_INTERFERON_ALPHA_RESPONSE,-1.9277677630042824,0.6460873232852077,2.381509674957589,-1.1954293909805782
HALLMARK_INTERFERON_GAMMA_RESPONSE,-1.8733075707066102,-0.6370081296881024,2.4015065537065694,-1.003139443441501
HALLMARK_KRAS_SIGNALING_UP,-1.4073947975118395,1.421220828981969,1.0142026400676447,-0.7781322414951659
HALLMARK_MITOTIC_SPINDLE,0.9668391809859767,-0.9142658449090426,-1.1705084737469271,1.7685671915705214
HALLMARK_MTORC1_SIGNALING,-1.2712617919691862,1.961591959868622,-1.2095322427810464,-1.0589671638574258
HALLMARK_OXIDATIVE_PHOSPHORYLATION,-2.0393699046869496,2.775323417056762,-0.9817461723025632,-1.8373541976119747
HALLMARK_PEROXISOME,-1.3514698121043867,1.9494842539333554,-1.3039790899056345,-1.014839166894393
HALLMARK_PROTEIN_SECRETION,-1.4999376686086912,2.233333306311413,-1.9857233369542848,1.1672394840806801
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,-1.6304237597305526,1.624395080121178,1.3138004125830396,-1.4780591971375514
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,-1.2232626379863218,1.4241219526709512,-0.8675881256978709,-0.7893905083147219
HALLMARK_UV_RESPONSE_DN,1.304982682271049,0.8920378213376825,-2.0579706552801427,2.216049751007743
HALLMARK_UV_RESPONSE_UP,-1.3876432254412576,1.3591060309360163,1.2170577765916355,-1.111022292669013
HALLMARK_XENOBIOTIC_METABOLISM,-1.6883371855806917,1.6696061718305613,-1.2455105817622845,-1.3035473902124144
KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV,-1.626426360869924,1.2257807565860859,1.9805569723861234,-1.9730675871173635
KEGG_MEDICUS_REFERENCE_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,-1.4149248111177533,1.1057818354430795,1.7345338361575393,-1.912374099376609
KEGG_MEDICUS_REFERENCE_CGAS_STING_SIGNALING_PATHWAY,-0.7191364541393107,-1.352425526764948,1.8585976214856998,-0.5731367586056408
KEGG_MEDICUS_REFERENCE_COPI_VESICLE_FORMATION,-1.4181035320622695,1.7548035962821182,-0.5535711439853862,0.7463155172706256
KEGG_MEDICUS_REFERENCE_CYTOKINE_JAK_STAT_SIGNALING_PATHWAY,-1.5241232130076032,-1.5128738822417191,2.240097036623255,-1.08105967169565
KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_I,-1.6868944701511144,1.819686077141814,1.703612899999228,-2.0520353359629717
KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_IV,-1.5693804372974185,1.2166806024476768,1.954910481155918,-1.983387415250197
KEGG_MEDICUS_REFERENCE_GPCR_PI3K_SIGNALING_PATHWAY,-1.0076281660913158,-1.3594101707004553,1.7005453258319991,0.6723908425282931
KEGG_MEDICUS_REFERENCE_IFN_RIPK1_3_SIGNALING_PATHWAY,-1.0837298653799803,-1.6188520470971461,2.181417539705208,-0.8153916991364198
KEGG_MEDICUS_REFERENCE_IL2_FAMILY_TO_JAK_STAT_SIGNALING_PATHWAY,-0.9241120853802154,-1.973777575009269,1.9970656425989326,-0.6763453494962886
KEGG_MEDICUS_REFERENCE_ITGA_B_RHOGAP_RHOA_SIGNALING_PATHWAY,1.0002344977547457,-1.2329454644697566,-0.8665847794142639,2.1410027526904964
KEGG_MEDICUS_REFERENCE_ITGA_B_RHOGEF_RHOA_SIGNALING_PATHWAY,1.1109565816357678,-1.217816992279231,-1.1442495019607857,2.5067549630620105
KEGG_MEDICUS_REFERENCE_ITGA_B_TALIN_VINCULIN_SIGNALING_PATHWAY,1.1874606639317908,-1.4775738783685923,-0.8227333032712787,2.2271647548885563
KEGG_MEDICUS_REFERENCE_KINETOCHORE_FIBER_ORGANIZATION,-1.289919225877668,-0.8330180476899929,1.4302557872815982,-1.6986328798973844
KEGG_MEDICUS_REFERENCE_MGLUR5_CA2_APOPTOTIC_PATHWAY,-1.303745615343205,1.7670644166335288,-1.0241213984384174,0.8343700451678386
KEGG_MEDICUS_REFERENCE_MICROTUBULE_DEPOLYMERIZATION,-1.2029902885090118,0.7845436592023567,1.3686916569828815,-1.6894509307317764
KEGG_MEDICUS_REFERENCE_MITOCHONDRIAL_COMPLEX_UCP1_IN_THERMOGENESIS,-1.8106992600601428,2.1636181493472173,1.5491848349370645,-2.135678306782688
KEGG_MEDICUS_REFERENCE_TCR_PLCG_ITPR_SIGNALING_PATHWAY,-1.5444308972249512,0.7513513159556832,2.160875172574105,-0.530273385298878
KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION,-0.6145960499801597,-2.361811680230756,2.0910846910683536,-1.2278010692013224
KEGG_MEDICUS_REFERENCE_TYPE_I_IFN_SIGNALING_PATHWAY,-1.148184921357909,-1.494529439899401,1.8502756064277608,-0.7729572906063151
KEGG_MEDICUS_REFERENCE_WNT_SIGNALING_MODULATION_WNT_INHIBITOR,-1.8056268232598065,0.9013844788257868,1.7716578428257066,-0.6174821366014874
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,-1.41228739487463,1.2378892485295026,1.6766896233398236,-1.8894154927955369
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_ELECTRON_TRANSFER_IN_COMPLEX_I,-1.5517183629812454,1.7762784571815862,1.4636112522770386,-1.9740689732390844
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV,-1.5438331351553802,1.2130369943965276,1.7391553109924127,-1.911624589699766
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,-1.4115175588238347,1.2464618333298503,1.7542832642284338,-1.8977226022449314
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_MGLUR5_CA2_APOPTOTIC_PATHWAY,-1.2785482167070559,1.7587974677312381,-1.0783579484851644,0.8238647554784556
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SNCA_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,-1.4003091382491675,1.2980025258684964,1.707725084530485,-1.9299085886088982
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SNCA_TO_ELECTRON_TRANSFER_IN_COMPLEX_I,-1.6681741518599944,1.8658125107278039,1.6234101700657857,-2.0414097740559467
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SOD1_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,-1.4817777260626832,1.2151573088722167,1.755189034078994,-1.9515630749680422
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_TDP43_TO_ELECTRON_TRANSFER_IN_COMPLEX_I,-1.674882397274023,1.7798596722700704,1.7061112707653883,-2.078567225022799
KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_PINK1_TO_ELECTRON_TRANSFER_IN_COMPLEX_I,-1.6459361412375124,1.7892085817708103,1.5360308917701948,-2.0312547447227063
KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_UBQLN2_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,-1.380430478774224,1.1656051099353075,1.6852287787311175,-1.8822815542942037
KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_VCP_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,-1.4727588475240994,1.1784958141268027,1.7265144422426213,-1.8991512551895617
KEGG_MEDICUS_VARIANT_NOTCH_OVEREXPRESSION_TO_NOTCH_SIGNALING_PATHWAY,2.3929160177288065,-1.9408527044486175,-1.271791680480765,-0.6974517006089561
KEGG_MEDICUS_VARIANT_SCRAPIE_CONFORMATION_PRPSC_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,-1.4704022569808524,1.2847867120332266,1.756949809827599,-1.9397750314655933
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE,1.0958575921761835,-0.8180413488896757,-0.7775125326728862,-1.6879107816438281
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3,-0.5862709670405317,1.0819171375064396,0.7907794550877021,-1.7248670774157422
