variable,test,available_n,missing_n,p_value,effect_size,q_value
age_at_diagnosis_years,kruskal_wallis,103,0,0.6344770622842637,0.0,0.6344770622842637
sex,permutation_chi_square,103,0,0.4479,0.0,0.5484
stage,permutation_chi_square,103,0,0.2144,0.09947774780208352,0.4288
grade,permutation_chi_square,103,0,0.0147,0.21484226935161024,0.0882
t_stage,permutation_chi_square,103,0,0.457,0.0,0.5484
m_stage,permutation_chi_square,98,5,0.0808,0.18807578907623165,0.2424
