subtype_id,gene,reference_population,wald_stat,log2_fold_change,p_value,padj,target_n,rest_n
WO_AGENT_SUBTYPE01,TSPAN6,core_rest,-0.685184497047299,-0.08971688675863795,0.49322750538843196,0.7369992126843588,39,64
WO_AGENT_SUBTYPE01,TNMD,core_rest,-3.977715123224025,-1.6597840391340166,6.958066318351919e-05,0.0018691634230058906,39,64
WO_AGENT_SUBTYPE01,DPM1,core_rest,-2.0389650099300134,-0.16911305694178408,0.041453519808912355,0.16926926448951005,39,64
WO_AGENT_SUBTYPE01,SCYL3,core_rest,-2.2035661436045055,-0.13695637447447404,0.027554870501358172,0.13087049484271432,39,64
WO_AGENT_SUBTYPE01,C1orf112,core_rest,-0.16318935337159146,-0.01890598984379911,0.8703693486189616,0.9658135140805719,39,64
WO_AGENT_SUBTYPE01,FGR,core_rest,0.13412130306526152,0.024252024815245736,0.8933066544262104,0.974468205482334,39,64
WO_AGENT_SUBTYPE01,CFH,core_rest,-2.387673591881225,-0.652452516695535,0.016955393241133196,0.09538896391023263,39,64
WO_AGENT_SUBTYPE01,FUCA2,core_rest,-2.0295316303404043,-0.21627359986326775,0.042404170670631215,0.1719324954321741,39,64
WO_AGENT_SUBTYPE01,GCLC,core_rest,1.2909528677289115,0.14806190595676372,0.19672002144266665,0.44022640628678217,39,64
WO_AGENT_SUBTYPE01,NFYA,core_rest,-0.391132937411105,-0.026669489265360034,0.6956989755089755,0.8790702556311113,39,64
WO_AGENT_SUBTYPE01,STPG1,core_rest,-1.004880789584427,-0.0973569780431605,0.31495425570859437,0.5751462456878206,39,64
WO_AGENT_SUBTYPE01,NIPAL3,core_rest,-0.551281984782258,-0.07604313781284369,0.5814403861306564,0.8045844233265839,39,64
WO_AGENT_SUBTYPE01,LAS1L,core_rest,-1.529499516957108,-0.1496959914999974,0.12614065872066285,0.33772577128690445,39,64
WO_AGENT_SUBTYPE01,ENPP4,core_rest,1.0417722027841685,0.1622956488784776,0.2975173045881585,0.5567145520835824,39,64
WO_AGENT_SUBTYPE01,SEMA3F,core_rest,0.92742348203014,0.12877581241794803,0.35370670331535947,0.6179270474069615,39,64
WO_AGENT_SUBTYPE01,CFTR,core_rest,0.4713298017083366,0.14685508571759137,0.6374052369901686,0.8434982958577798,39,64
WO_AGENT_SUBTYPE01,ANKIB1,core_rest,0.4370046492471618,0.052757142993995094,0.6621079763002211,0.8576315705003664,39,64
WO_AGENT_SUBTYPE01,CYP51A1,core_rest,1.5868168326231957,0.37038562825027177,0.11255413534763953,0.3167050605289701,39,64
WO_AGENT_SUBTYPE01,KRIT1,core_rest,0.1813571166903536,0.020058169321032188,0.8560872765913067,0.960210002446616,39,64
WO_AGENT_SUBTYPE01,RAD52,core_rest,0.6329132187409107,0.09482918173684998,0.5267903151008771,0.7643647298117695,39,64
WO_AGENT_SUBTYPE01,BAD,core_rest,-1.4672984289834021,-0.2418658615618759,0.14229489090623476,0.3641917796072325,39,64
WO_AGENT_SUBTYPE01,LAP3,core_rest,-2.2137335304918087,-0.323230431224821,0.026847114917873192,0.12897637901107462,39,64
WO_AGENT_SUBTYPE01,CD99,core_rest,-1.3326281492255005,-0.18701264428028075,0.182653862809265,0.4208049014187864,39,64
WO_AGENT_SUBTYPE01,HS3ST1,core_rest,-1.4266114133415613,-0.2686086743662342,0.15369193257203223,0.3805900683210408,39,64
WO_AGENT_SUBTYPE01,AOC1,core_rest,-1.642694426605015,-0.5825275211586299,0.1004461725116178,0.29705598411811673,39,64
WO_AGENT_SUBTYPE01,WNT16,core_rest,-1.0940316790764542,-0.33497735002186835,0.27394108459101085,0.5334051246939292,39,64
WO_AGENT_SUBTYPE01,HECW1,core_rest,-2.709824516365246,-0.903614724068155,0.006731881460165118,0.05094488813959198,39,64
WO_AGENT_SUBTYPE01,MAD1L1,core_rest,-0.5287155106001511,-0.09226993002752394,0.597002815785126,0.815623773264575,39,64
WO_AGENT_SUBTYPE01,LASP1,core_rest,-0.5700784905994231,-0.05514212999209191,0.5686244631423235,0.7945952855047457,39,64
WO_AGENT_SUBTYPE01,SNX11,core_rest,0.008022001678939766,0.0006307406487735963,0.9935994373624257,0.9988379418630343,39,64
WO_AGENT_SUBTYPE01,TMEM176A,core_rest,-0.08938621912932841,-0.01570186816315266,0.9287749751708556,0.9853490845842939,39,64
WO_AGENT_SUBTYPE01,M6PR,core_rest,0.042962702380128476,0.005710056396732435,0.9657312655742469,0.9919779768275919,39,64
WO_AGENT_SUBTYPE01,KLHL13,core_rest,-1.7961568953349736,-0.34357448085424597,0.07246956790705064,0.24098472500212018,39,64
WO_AGENT_SUBTYPE01,CYP26B1,core_rest,1.287721987993866,0.2938498957092534,0.1978427566954083,0.4418238345354227,39,64
WO_AGENT_SUBTYPE01,ICA1,core_rest,-2.2643391496092535,-0.3412044888772581,0.023553263440911004,0.11843004670689714,39,64
WO_AGENT_SUBTYPE01,DBNDD1,core_rest,-1.6053510120886725,-0.3428296435697912,0.10841657875456939,0.31064595958372054,39,64
WO_AGENT_SUBTYPE01,ALS2,core_rest,0.45880258470377444,0.038419425498020215,0.6463759384929232,0.848744513929453,39,64
WO_AGENT_SUBTYPE01,CASP10,core_rest,-0.3591991631352721,-0.03450021538686242,0.7194461026314125,0.8930762724608736,39,64
WO_AGENT_SUBTYPE01,CFLAR,core_rest,0.6320384440906655,0.07413104419576858,0.5273617565919528,0.7646253189673657,39,64
WO_AGENT_SUBTYPE01,TFPI,core_rest,2.707750988877478,0.5439245819672824,0.006774082749545996,0.0511647127751146,39,64
WO_AGENT_SUBTYPE01,NDUFAF7,core_rest,-3.5320759509536557,-0.2917720642279965,0.0004123109155767902,0.007179082360835266,39,64
