case_id,subtype_id,is_core,HALLMARK_ADIPOGENESIS,HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ANDROGEN_RESPONSE,HALLMARK_ANGIOGENESIS,HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_SURFACE,HALLMARK_APOPTOSIS,HALLMARK_BILE_ACID_METABOLISM,HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_COAGULATION,HALLMARK_COMPLEMENT,HALLMARK_DNA_REPAIR,HALLMARK_E2F_TARGETS,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_G2M_CHECKPOINT,HALLMARK_GLYCOLYSIS,HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_HEME_METABOLISM,HALLMARK_HYPOXIA,HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_KRAS_SIGNALING_DN,HALLMARK_KRAS_SIGNALING_UP,HALLMARK_MITOTIC_SPINDLE,HALLMARK_MTORC1_SIGNALING,HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V2,HALLMARK_MYOGENESIS,HALLMARK_NOTCH_SIGNALING,HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_P53_PATHWAY,HALLMARK_PANCREAS_BETA_CELLS,HALLMARK_PEROXISOME,HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_PROTEIN_SECRETION,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HALLMARK_SPERMATOGENESIS,HALLMARK_TGF_BETA_SIGNALING,HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_UV_RESPONSE_DN,HALLMARK_UV_RESPONSE_UP,HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_XENOBIOTIC_METABOLISM
TCGA-B0-4712,WO_AGENT_SUBTYPE01,True,3305.2712886982836,2546.7479980887874,3041.9316775198795,3342.3381045825836,2189.398350376314,636.533029359689,3580.058607063096,1125.364490971985,2734.5892461969834,3200.5441306515504,2676.502733137905,2734.946711556563,2022.4460612247985,3845.493858917468,1713.7118845131845,2028.2341574081038,2919.132395612215,1769.6557057323325,3394.986461644595,1099.9622794799343,2156.117474768189,3708.901106260745,2336.125739524753,2847.503282680068,2274.616945431997,3548.2194722620443,3095.8279431623705,-1345.2149028494678,1795.1725983664019,1203.0826987815426,3868.4960030247057,4732.049019260292,2417.78444743376,1984.496039672762,2415.5295367466124,4475.542149250349,3005.1893787201134,1853.8600868656567,2602.8252641280787,2563.1128335193634,3454.4527623919766,4085.8517706834973,-779.0711693514249,3263.569182078527,3459.009000967242,3731.7679391415204,1617.5414004136655,3223.8107500793258,536.5094557487755,2546.820307254413
TCGA-B0-4821,WO_AGENT_SUBTYPE02,True,3156.8449784921268,1532.7757148894798,2138.7298692047743,2596.498429245632,1942.1428449955301,958.4997126026674,3262.6746382246483,542.6259306723114,2409.887531366273,2824.6373818091943,1924.9494264127334,2673.2487010189725,1232.0670997728594,3139.1811854666803,1565.9979975146916,1972.196068864314,2387.5949120083114,1167.330584405462,3077.383036221653,508.19545649323936,1898.547016528977,3677.6849470847674,1845.6947255256382,2197.468407968886,984.7871945267989,3119.1633743896728,2368.066224147854,-997.0984625991805,1037.2085242181975,1237.9945670588595,2937.6854705746846,4103.6458451943045,2448.983112029211,1932.3089495543245,2262.760552621302,4016.5349476602705,3236.9402846086978,329.4113423524632,2390.4111173561423,2299.4938472331833,2422.8618935870745,3874.922316039845,-929.585800133018,2990.025970837509,3193.8587084122555,3277.038168888407,1441.438869629018,3087.038377451164,1397.0392022490732,2511.862171088289
TCGA-B0-5081,WO_AGENT_SUBTYPE01,True,3269.6497325966347,3246.7821750381427,2917.2890707211673,4028.3054564226923,2422.991964425478,924.2865672580265,3695.399934648861,639.5518494956323,2458.5594958540078,2991.605029089499,2692.5830445632637,2422.4797594013025,1284.9935737667765,3508.4262022317707,1525.6019460110083,1921.5465500595465,2724.1731163067752,1285.9295377363978,2677.424766468933,1031.4551455742394,2165.7658428828327,3270.78084405529,2441.0644682404036,3202.9929904136816,2357.3366101103693,3788.349233672494,3494.9203500863605,-1056.2069954066728,1998.6798858230622,1488.0501692698463,3260.498869622951,4334.249185952348,1760.034734178682,2092.2101894816724,2647.446086324223,4131.5258888347325,2989.9947100506697,1603.5944518009055,2344.4879577239844,2738.0048933516427,3176.255441358646,3988.971287359799,-1358.557620420821,3778.1889364959916,3580.431423495377,3271.2814283005146,1845.916969616359,3148.5215408027625,1464.0782925053527,2308.55997885516
TCGA-B0-5085,WO_AGENT_SUBTYPE01,True,3545.3858894149744,1245.6865671866935,1998.9926254092034,2757.7983635298415,1789.911677880622,180.20743408970066,3074.222001168221,1008.5885646040106,2292.04786887271,2494.8080280957292,1860.8405527296536,2348.7171228921015,156.80820663517898,2007.3654814286092,1299.4317468673962,1599.2432308315047,3306.6348801803706,152.99370624448602,2796.3926027973384,458.16624808093,2271.8103692981576,3360.3029006303304,1780.5073719638876,1790.014172085096,730.260463568563,2759.334464473034,2130.6139281626756,-1032.4114183556194,1063.3118204656512,885.3353429899626,2624.2179802564633,3712.9195117862,1431.7877207608517,1968.2016725251833,2371.0377413643046,4431.212091834791,2970.233799896647,1955.0244240121483,2537.9921915388104,2080.9760858246964,2487.2347243061795,3960.151175134113,-1357.336251568121,3446.4644450559326,3034.5846612873656,2686.4434051912194,1240.7818872320877,3169.419314044496,1478.3211463550533,2800.38022927543
TCGA-B0-5088,WO_AGENT_SUBTYPE03,True,3604.8075450887236,2042.8980569177857,2525.067613606323,4059.36051160034,2315.04859578195,472.71642970947596,3391.0806562970574,1041.4654318263783,2332.4962445652145,3024.0201055925036,2412.9385205064127,2329.0410713750953,436.06588554443533,3101.023996541683,1546.0359347821868,1805.5173113596993,3164.15574590536,448.4159349603151,2921.7532828864432,817.2023523374055,2434.6311879228188,3567.8115680355986,2138.1354682529845,2248.747559460214,1557.8495986188973,3012.891199238018,2614.914478473728,-1067.901334189447,1670.8998443355104,1143.3754044870084,2968.7427570601667,3957.7566815438104,1545.3274500997368,2084.4153453531535,2649.930551098484,4451.050614017707,3112.8891802520466,1311.4090115923718,2535.825942771935,2312.6660952724824,2860.8209724877934,4071.068836016675,-1606.318125413738,3592.2753798028634,3507.9714244199586,2935.8130339439485,1651.9845055032374,3197.486799973033,1653.7580035001838,2890.7923454120764
TCGA-B0-5106,WO_AGENT_SUBTYPE02,True,3254.6924629531813,2088.372313300154,2827.5675922811442,4000.315523369387,2430.969944516288,329.0404954702026,3408.19462217849,998.9062451363006,2266.2864077792137,3141.23640863893,2493.7264121984163,2247.551551105421,254.3032423554232,3065.259562975162,1612.0041492241617,1661.5605117677642,2742.184595913004,373.3178204381593,2797.0017827896745,928.8081321823283,2247.221307460807,3493.77201760384,2175.0896413521796,2445.2029467031734,1678.0015064146874,3236.222345621659,2767.586034192508,-1372.6890990538295,1740.0181207406777,1434.8307067648166,2909.2280846764397,4089.065452094058,1407.4855857467783,2016.0235229962964,2402.460904802543,4012.7890434068904,3023.9810446006277,916.3023118882893,2398.964641713561,2295.139768349841,3404.2250791757588,3794.632211685639,-1375.306361859295,3917.1235499927616,3114.070668039816,3148.76440961789,1968.2452811439925,2873.8172646857747,1695.7780600811939,2237.302354499646
TCGA-B0-5115,WO_AGENT_SUBTYPE01,True,3411.4023978720206,1535.8330090730833,2929.463831570971,4253.423616601285,2049.5377430332865,764.978239469262,3298.8558468956853,1178.135270127862,2385.065304710989,2784.373420418676,2295.2378022780185,2196.7706827162156,576.9473392033615,3243.9199585677416,1521.2504305634866,1356.5746934455437,2993.1546115594892,562.7076301826883,2841.32643440177,1139.5605643305653,2393.3066536696397,3566.9002441483563,2131.3167285960235,2139.4222323723307,1290.8363363347544,3238.661597685197,2705.432708073403,-1295.3355602133024,1517.0984662653736,1437.2528489386887,2997.543127880316,4230.406941221837,1465.5200595589076,2091.287173521935,2632.9665980944856,4143.082363521664,2783.811500865383,2076.453828564986,2533.3189258203356,2384.166550821891,3417.0067902572455,3629.959401309252,-1439.2165350827827,3823.5905353203634,3280.399853156673,3127.489422365198,2136.7543129712312,3007.95246371915,1954.5984703607646,2419.0781693574672
TCGA-B0-5117,WO_AGENT_SUBTYPE02,True,3801.563700144985,-20.093255657685404,3130.161399221306,2829.62571227025,1560.8075958441805,643.5969410088119,2746.1655438629405,1135.0740420757948,2949.7467417137914,1655.0381707456372,1219.288146810315,2484.282164328173,455.7576936377136,1733.7361294761704,1439.4848826883608,1673.5108504645605,3596.9403001085784,615.8267794164558,1898.4246796616126,540.3212790849857,2392.751319051704,2350.3338308199645,1421.850991673843,613.887043185312,-167.03516116088122,1721.7348201942914,1050.428423232539,-1011.3928193939282,461.23525243869153,959.3662717271482,3187.7673929771126,4222.472345814585,1827.849456386598,1687.992250812972,1863.4253957681376,5440.914641391264,2292.8116540187048,1789.429683708663,2745.7464504912314,2394.776286551828,3558.4866097710956,3645.0446669551293,-635.570471048266,3340.4164711437916,1587.2833351570634,3027.920917933782,1627.4755451439878,2859.1504357066615,1273.5398163494901,1915.4624674807746
TCGA-B0-5696,WO_AGENT_SUBTYPE01,True,3793.8328652890123,1134.7499913364127,3028.1138563169143,3545.2866703127756,2066.274144011256,501.35521536876786,3078.4607545614117,1681.8172568445707,2676.3453357418257,2754.2125008409803,2044.4244509982836,2432.6712857411976,783.644849310971,3060.9152307181603,1677.6057074760083,1929.6487453774344,3626.798721733895,655.9955950501908,3306.940776530908,904.3256469510216,2477.983234674769,3457.940993371404,1782.6414053863045,1780.667661001893,879.2448752184446,2754.0019540319718,2290.047061108403,-1036.4107335858089,1150.6232222375365,931.1047426833193,3596.0181182761107,4392.396579555102,2029.8599441723718,2046.1967067584292,2285.0508049421223,4870.070625071775,2864.925866135258,3163.642247678031,3011.7070912745276,2442.4186178332548,3424.249412802663,4291.399610145978,-1189.0048671521463,3475.6074084216625,2521.7972332250865,3445.0050633003902,1597.8845047648629,3069.6551673424674,1249.3755310084453,2932.8199367434545
TCGA-B0-5697,WO_AGENT_SUBTYPE02,True,3476.656867659929,2324.3955294437537,2747.509111052893,3791.107463450654,2431.3028759934605,1156.9241851315574,3460.8486398911527,1425.132731002279,2675.242759184176,2943.014783913597,2500.3814314269703,2365.17699955631,724.9774631046512,2985.7306412393145,1987.4940939524586,2176.59484742292,3106.986709325439,642.8806789231303,3028.2075096075077,805.9922722669035,2413.0908037479403,3129.8945812279235,2251.4535666153415,2540.126280309768,1837.2397266628523,3384.0349710901464,3046.0986753880925,-1485.7356014271836,1859.3908269933045,1258.3785205997492,3379.770981840732,4343.8259597152455,2032.0430380762864,1753.950689333159,2303.943522373652,4554.541107662905,3090.123242381448,2299.2469816969206,2742.6768425511646,2513.8428214857404,3494.3719422270406,3968.693309059013,-1377.1740514700577,3432.2905143885637,3302.3606208218007,3229.5178651894366,1724.5753318202424,3111.122798300051,917.5442342502893,2643.8411031986625
TCGA-B0-5698,WO_AGENT_SUBTYPE02,True,3668.7750179709055,2225.862965862685,3342.3677672052736,3283.5211187870646,1928.4695577819202,599.3802066268227,3396.7628938917005,1323.2230654519053,2587.9249751826,2786.6343198682307,2689.0487128835603,2224.05479858787,827.5675464932965,2602.444109431929,1992.5180093335148,2052.9417367036895,3241.0373522520113,873.7543405190954,2958.0496237416455,756.8118442099485,2486.029726601044,3613.200468436238,2554.4185425454616,2759.2259877722026,2283.1657467346695,3130.187591423185,3008.8692777160086,-1310.4430166499387,1659.3169595728914,1197.3338305768293,3488.755688328003,4466.354961664323,2315.0622196696468,1552.3533579013229,2162.051033402111,4512.832348997881,2983.0328954338192,2741.98320299207,2671.5058315086962,2569.609395836951,3592.026013986264,4006.51979324651,-1231.033653614184,3774.861649024251,3932.894160317732,3361.410552466532,1900.1706138175614,3370.641411520789,954.5080298675139,2617.243681268151
