subtype_id,gene,mutated_n,total_n,frequency
WO_AGENT_SUBTYPE01,ARID1A,0,39,0.0
WO_AGENT_SUBTYPE01,BAP1,0,39,0.0
WO_AGENT_SUBTYPE01,CDKN2A,0,39,0.0
WO_AGENT_SUBTYPE01,ELOC,0,39,0.0
WO_AGENT_SUBTYPE01,KDM5C,2,39,0.05128205128205128
WO_AGENT_SUBTYPE01,KMT2C,1,39,0.02564102564102564
WO_AGENT_SUBTYPE01,MTOR,2,39,0.05128205128205128
WO_AGENT_SUBTYPE01,PBRM1,30,39,0.7692307692307693
WO_AGENT_SUBTYPE01,PIK3CA,2,39,0.05128205128205128
WO_AGENT_SUBTYPE01,PTEN,1,39,0.02564102564102564
WO_AGENT_SUBTYPE01,SETD2,3,39,0.07692307692307693
WO_AGENT_SUBTYPE01,TP53,0,39,0.0
WO_AGENT_SUBTYPE01,TSC1,2,39,0.05128205128205128
WO_AGENT_SUBTYPE01,TSC2,2,39,0.05128205128205128
WO_AGENT_SUBTYPE01,VHL,29,39,0.7435897435897436
WO_AGENT_SUBTYPE02,ARID1A,0,31,0.0
WO_AGENT_SUBTYPE02,BAP1,3,31,0.0967741935483871
WO_AGENT_SUBTYPE02,CDKN2A,0,31,0.0
WO_AGENT_SUBTYPE02,ELOC,1,31,0.03225806451612903
WO_AGENT_SUBTYPE02,KDM5C,4,31,0.12903225806451613
WO_AGENT_SUBTYPE02,KMT2C,0,31,0.0
WO_AGENT_SUBTYPE02,MTOR,2,31,0.06451612903225806
WO_AGENT_SUBTYPE02,PBRM1,5,31,0.16129032258064516
WO_AGENT_SUBTYPE02,PIK3CA,1,31,0.03225806451612903
WO_AGENT_SUBTYPE02,PTEN,2,31,0.06451612903225806
WO_AGENT_SUBTYPE02,SETD2,1,31,0.03225806451612903
WO_AGENT_SUBTYPE02,TP53,3,31,0.0967741935483871
WO_AGENT_SUBTYPE02,TSC1,0,31,0.0
WO_AGENT_SUBTYPE02,TSC2,0,31,0.0
WO_AGENT_SUBTYPE02,VHL,2,31,0.06451612903225806
WO_AGENT_SUBTYPE03,ARID1A,1,20,0.05
WO_AGENT_SUBTYPE03,BAP1,10,20,0.5
WO_AGENT_SUBTYPE03,CDKN2A,0,20,0.0
WO_AGENT_SUBTYPE03,ELOC,0,20,0.0
WO_AGENT_SUBTYPE03,KDM5C,0,20,0.0
WO_AGENT_SUBTYPE03,KMT2C,0,20,0.0
WO_AGENT_SUBTYPE03,MTOR,2,20,0.1
WO_AGENT_SUBTYPE03,PBRM1,4,20,0.2
WO_AGENT_SUBTYPE03,PIK3CA,0,20,0.0
WO_AGENT_SUBTYPE03,PTEN,1,20,0.05
WO_AGENT_SUBTYPE03,SETD2,2,20,0.1
WO_AGENT_SUBTYPE03,TP53,0,20,0.0
WO_AGENT_SUBTYPE03,TSC1,0,20,0.0
WO_AGENT_SUBTYPE03,TSC2,0,20,0.0
WO_AGENT_SUBTYPE03,VHL,13,20,0.65
WO_AGENT_SUBTYPE04,ARID1A,2,13,0.15384615384615385
WO_AGENT_SUBTYPE04,BAP1,0,13,0.0
WO_AGENT_SUBTYPE04,CDKN2A,0,13,0.0
WO_AGENT_SUBTYPE04,ELOC,0,13,0.0
WO_AGENT_SUBTYPE04,KDM5C,0,13,0.0
WO_AGENT_SUBTYPE04,KMT2C,0,13,0.0
WO_AGENT_SUBTYPE04,MTOR,0,13,0.0
WO_AGENT_SUBTYPE04,PBRM1,0,13,0.0
WO_AGENT_SUBTYPE04,PIK3CA,1,13,0.07692307692307693
WO_AGENT_SUBTYPE04,PTEN,1,13,0.07692307692307693
WO_AGENT_SUBTYPE04,SETD2,0,13,0.0
WO_AGENT_SUBTYPE04,TP53,0,13,0.0
WO_AGENT_SUBTYPE04,TSC1,0,13,0.0
WO_AGENT_SUBTYPE04,TSC2,0,13,0.0
WO_AGENT_SUBTYPE04,VHL,12,13,0.9230769230769231
