endpoint,reference_population,subtype_id,timeline_days,survival_probability
OS,core,WO_AGENT_SUBTYPE01,0.0,1.0
OS,core,WO_AGENT_SUBTYPE01,118.0,1.0
OS,core,WO_AGENT_SUBTYPE01,224.0,0.9736842105263158
OS,core,WO_AGENT_SUBTYPE01,362.0,0.9473684210526316
OS,core,WO_AGENT_SUBTYPE01,406.0,0.9473684210526316
OS,core,WO_AGENT_SUBTYPE01,408.0,0.9473684210526316
OS,core,WO_AGENT_SUBTYPE01,693.0,0.9473684210526316
OS,core,WO_AGENT_SUBTYPE01,749.0,0.9473684210526316
OS,core,WO_AGENT_SUBTYPE01,770.0,0.9177631578947368
OS,core,WO_AGENT_SUBTYPE01,822.0,0.8881578947368423
OS,core,WO_AGENT_SUBTYPE01,828.0,0.8585526315789475
OS,core,WO_AGENT_SUBTYPE01,840.0,0.8585526315789475
OS,core,WO_AGENT_SUBTYPE01,992.0,0.8278900375939853
OS,core,WO_AGENT_SUBTYPE01,1014.0,0.8278900375939853
OS,core,WO_AGENT_SUBTYPE01,1063.0,0.8278900375939853
OS,core,WO_AGENT_SUBTYPE01,1092.0,0.794774436090226
OS,core,WO_AGENT_SUBTYPE01,1126.0,0.794774436090226
OS,core,WO_AGENT_SUBTYPE01,1133.0,0.794774436090226
OS,core,WO_AGENT_SUBTYPE01,1140.0,0.794774436090226
OS,core,WO_AGENT_SUBTYPE01,1177.0,0.794774436090226
OS,core,WO_AGENT_SUBTYPE01,1266.0,0.794774436090226
OS,core,WO_AGENT_SUBTYPE01,1291.0,0.794774436090226
OS,core,WO_AGENT_SUBTYPE01,1337.0,0.7506203007518804
OS,core,WO_AGENT_SUBTYPE01,1371.0,0.7506203007518804
OS,core,WO_AGENT_SUBTYPE01,1495.0,0.7506203007518804
OS,core,WO_AGENT_SUBTYPE01,1520.0,0.7506203007518804
OS,core,WO_AGENT_SUBTYPE01,1525.0,0.7506203007518804
OS,core,WO_AGENT_SUBTYPE01,1560.0,0.7506203007518804
OS,core,WO_AGENT_SUBTYPE01,1604.0,0.7506203007518804
OS,core,WO_AGENT_SUBTYPE01,1632.0,0.7506203007518804
OS,core,WO_AGENT_SUBTYPE01,1787.0,0.7506203007518804
OS,core,WO_AGENT_SUBTYPE01,1871.0,0.7506203007518804
OS,core,WO_AGENT_SUBTYPE01,1929.0,0.7506203007518804
OS,core,WO_AGENT_SUBTYPE01,2133.0,0.7506203007518804
OS,core,WO_AGENT_SUBTYPE01,2172.0,0.7506203007518804
OS,core,WO_AGENT_SUBTYPE01,2246.0,0.7506203007518804
OS,core,WO_AGENT_SUBTYPE01,2263.0,0.7506203007518804
OS,core,WO_AGENT_SUBTYPE01,2609.0,0.7506203007518804
OS,core,WO_AGENT_SUBTYPE01,3302.0,0.7506203007518804
OS,core,WO_AGENT_SUBTYPE01,3834.0,0.7506203007518804
OS,core,WO_AGENT_SUBTYPE02,0.0,1.0
OS,core,WO_AGENT_SUBTYPE02,26.0,1.0
OS,core,WO_AGENT_SUBTYPE02,53.0,1.0
OS,core,WO_AGENT_SUBTYPE02,59.0,0.9655172413793102
OS,core,WO_AGENT_SUBTYPE02,166.0,0.9310344827586207
OS,core,WO_AGENT_SUBTYPE02,311.0,0.896551724137931
OS,core,WO_AGENT_SUBTYPE02,329.0,0.8620689655172411
OS,core,WO_AGENT_SUBTYPE02,354.0,0.8620689655172411
OS,core,WO_AGENT_SUBTYPE02,435.0,0.8620689655172411
OS,core,WO_AGENT_SUBTYPE02,505.0,0.8620689655172411
OS,core,WO_AGENT_SUBTYPE02,519.0,0.8620689655172411
OS,core,WO_AGENT_SUBTYPE02,523.0,0.8620689655172411
OS,core,WO_AGENT_SUBTYPE02,563.0,0.8620689655172411
OS,core,WO_AGENT_SUBTYPE02,693.0,0.8620689655172411
OS,core,WO_AGENT_SUBTYPE02,762.0,0.8620689655172411
OS,core,WO_AGENT_SUBTYPE02,830.0,0.8620689655172411
OS,core,WO_AGENT_SUBTYPE02,909.0,0.8620689655172411
OS,core,WO_AGENT_SUBTYPE02,967.0,0.8620689655172411
