modality,patient_n,subtype_count,permanova_r_squared,permanova_pseudo_f,permanova_p_value,permdisp_f,permdisp_p_value,analysis_role,permanova_q_value,permdisp_q_value
ct,103,4,0.11057352692516179,4.10256103117285,0.001,0.513151112784126,0.705,in_sample_discovery_space_diagnostic,0.001,0.705
wsi,103,4,0.08165544713576041,2.9342252285112047,0.001,1.267544742831936,0.304,in_sample_discovery_space_diagnostic,0.001,0.608
rna,103,4,0.13216838068093265,5.025809690931767,0.001,0.6075846934629687,0.569,in_sample_discovery_space_diagnostic,0.001,0.705
wxs,103,4,0.21272333590900858,8.91664951494859,0.001,8.112323158632524,0.001,in_sample_discovery_space_diagnostic,0.001,0.004
