subtype_id,taxonomy,reference_label,subtype_positive_n,subtype_available_n,rest_positive_n,rest_available_n,odds_ratio,ci_low,ci_high,p_value,q_value
WO_AGENT_SUBTYPE01,clearcode34,ccA,23,29,15,47,8.177777777777777,2.755381293373487,24.271068960055942,0.00011639812177031889,0.00023279624354063778
WO_AGENT_SUBTYPE01,clearcode34,ccB,6,29,32,47,0.12228260869565218,0.041201316746524344,0.36292617736969285,0.00011639812177031889,0.00023279624354063778
WO_AGENT_SUBTYPE02,clearcode34,ccA,9,23,29,53,0.5320197044334976,0.19632969036208744,1.4416819248453514,0.3180040709680384,0.42400542795738455
WO_AGENT_SUBTYPE02,clearcode34,ccB,14,23,24,53,1.8796296296296295,0.693634277274628,5.093473117365576,0.3180040709680384,0.42400542795738455
WO_AGENT_SUBTYPE03,clearcode34,ccA,0,13,38,63,0.0,0.0013954250357124177,0.43124578471856084,7.091145452180248e-05,0.00023279624354063778
WO_AGENT_SUBTYPE03,clearcode34,ccB,13,13,25,63,inf,2.3188632455911864,716.6275324058965,7.091145452180248e-05,0.00023279624354063778
WO_AGENT_SUBTYPE04,clearcode34,ccA,6,11,32,65,1.2375,0.3431796054780896,4.4624045996747705,1.0,1.0
WO_AGENT_SUBTYPE04,clearcode34,ccB,5,11,33,65,0.8080808080808081,0.22409442659522225,2.9139260726373357,1.0,1.0
WO_AGENT_SUBTYPE01,tcga_m1_m4,m1,18,33,12,51,3.9,1.5197587469759728,10.0081674346438,0.005220133367594486,0.03296359630122949
WO_AGENT_SUBTYPE01,tcga_m1_m4,m2,10,33,12,51,1.4130434782608696,0.5277938385087116,3.7830905284860004,0.6124048888445199,0.8165398517926933
WO_AGENT_SUBTYPE01,tcga_m1_m4,m3,2,33,16,51,0.14112903225806453,0.03003101581814287,0.6632277731366303,0.00618067430648053,0.03296359630122949
WO_AGENT_SUBTYPE01,tcga_m1_m4,m4,3,33,11,51,0.36363636363636365,0.09318511315156898,1.4190185587219117,0.22968684899815753,0.45937369799631506
WO_AGENT_SUBTYPE02,tcga_m1_m4,m1,5,22,25,62,0.43529411764705883,0.1421935046457553,1.3325571328323529,0.19634200864379603,0.44878173404296234
WO_AGENT_SUBTYPE02,tcga_m1_m4,m2,7,22,15,62,1.4622222222222223,0.5020591817908984,4.258648989415324,0.5744494180661274,0.8165398517926933
WO_AGENT_SUBTYPE02,tcga_m1_m4,m3,6,22,12,62,1.5625,0.5046429993660958,4.837887879286462,0.5462516005312127,0.8165398517926933
WO_AGENT_SUBTYPE02,tcga_m1_m4,m4,4,22,10,62,1.1555555555555554,0.32211031637722615,4.145501010316965,1.0,1.0
WO_AGENT_SUBTYPE03,tcga_m1_m4,m1,1,17,29,67,0.08189655172413793,0.010258797252266678,0.6537847487747629,0.0038955144743004835,0.03296359630122949
WO_AGENT_SUBTYPE03,tcga_m1_m4,m2,4,17,18,67,0.8376068376068376,0.2414037602469212,2.9062729333134945,1.0,1.0
WO_AGENT_SUBTYPE03,tcga_m1_m4,m3,7,17,11,67,3.5636363636363635,1.1146537519478001,11.393227816296921,0.04370596970007365,0.1748238788002946
WO_AGENT_SUBTYPE03,tcga_m1_m4,m4,5,17,9,67,2.685185185185185,0.7635015181190499,9.44362166626856,0.14580841084977256,0.44878173404296234
WO_AGENT_SUBTYPE04,tcga_m1_m4,m1,6,12,24,72,2.0,0.5827526557135705,6.863975583435255,0.33320869348045923,0.5923710106319275
WO_AGENT_SUBTYPE04,tcga_m1_m4,m2,1,12,21,72,0.22077922077922077,0.02678589283904473,1.8197438711779104,0.17019630459001805,0.44878173404296234
WO_AGENT_SUBTYPE04,tcga_m1_m4,m3,3,12,15,72,1.2666666666666666,0.30461669784512985,5.267092893443944,0.7143181023245231,0.87916074132249
WO_AGENT_SUBTYPE04,tcga_m1_m4,m4,2,12,12,72,1.0,0.19400843295821224,5.154415118725233,1.0,1.0
