feature,reference_population,group_a,group_b,n_a,n_b,median_a,median_b,cliffs_delta,ci_low,ci_high,p_value,p_adjusted_holm
original_shape_Elongation,core,WO_AGENT_SUBTYPE01,WO_AGENT_SUBTYPE02,39,31,0.1253309946361874,0.03172132406827939,0.06368899917287014,-0.20268817204301076,0.33999172870140587,0.6532186333992283,0.6532186333992283
original_shape_Elongation,core,WO_AGENT_SUBTYPE01,WO_AGENT_SUBTYPE03,39,20,0.1253309946361874,0.38646962393922224,-0.16666666666666666,-0.45647435897435895,0.1282051282051282,0.30168505688447145,0.6033701137689429
original_shape_Elongation,core,WO_AGENT_SUBTYPE01,WO_AGENT_SUBTYPE04,39,13,0.1253309946361874,0.8705959854118663,-0.4319526627218935,-0.7476331360946746,-0.0768244575936889,0.021254605487906177,0.10627302743953088
original_shape_Elongation,core,WO_AGENT_SUBTYPE02,WO_AGENT_SUBTYPE03,31,20,0.03172132406827939,0.38646962393922224,-0.32903225806451614,-0.6096774193548387,-0.02903225806451613,0.0502054372075482,0.2008217488301928
original_shape_Elongation,core,WO_AGENT_SUBTYPE02,WO_AGENT_SUBTYPE04,31,13,0.03172132406827939,0.8705959854118663,-0.4987593052109181,-0.826302729528536,-0.10669975186104218,0.010100763425742957,0.06060458055445774
original_shape_Elongation,core,WO_AGENT_SUBTYPE03,WO_AGENT_SUBTYPE04,20,13,0.38646962393922224,0.8705959854118663,-0.3923076923076923,-0.7848076923076923,0.038461538461538464,0.06279895809361855,0.2008217488301928
original_shape_Sphericity,core,WO_AGENT_SUBTYPE01,WO_AGENT_SUBTYPE02,39,31,0.4002303060769486,-0.433879328025211,0.3333333333333333,0.06695616211745244,0.5947063688999172,0.017476066806146346,0.06990426722458538
original_shape_Sphericity,core,WO_AGENT_SUBTYPE01,WO_AGENT_SUBTYPE03,39,20,0.4002303060769486,0.6388280167318469,-0.09230769230769231,-0.38974358974358975,0.19749999999999965,0.5697260900049221,0.8810874720999985
original_shape_Sphericity,core,WO_AGENT_SUBTYPE01,WO_AGENT_SUBTYPE04,39,13,0.4002303060769486,0.7359112713789638,-0.1913214990138067,-0.5346153846153846,0.16765285996055226,0.31041342018883633,0.8810874720999985
original_shape_Sphericity,core,WO_AGENT_SUBTYPE02,WO_AGENT_SUBTYPE03,31,20,-0.433879328025211,0.6388280167318469,-0.5225806451612903,-0.7677419354838709,-0.24516129032258063,0.0018346422855040796,0.009173211427520398
original_shape_Sphericity,core,WO_AGENT_SUBTYPE02,WO_AGENT_SUBTYPE04,31,13,-0.433879328025211,0.7359112713789638,-0.6277915632754343,-0.9157568238213399,-0.28027295285359866,0.0011903837047285459,0.007142302228371275
original_shape_Sphericity,core,WO_AGENT_SUBTYPE03,WO_AGENT_SUBTYPE04,20,13,0.6388280167318469,0.7359112713789638,-0.2230769230769231,-0.6230769230769231,0.2076923076923077,0.29369582403333283,0.8810874720999985
original_firstorder_Minimum,core,WO_AGENT_SUBTYPE01,WO_AGENT_SUBTYPE02,39,31,0.015658000945725965,0.28103978957707965,-0.293631100082713,-0.5500827129859388,-0.022291149710504773,0.036369663714038894,0.07273932742807779
original_firstorder_Minimum,core,WO_AGENT_SUBTYPE01,WO_AGENT_SUBTYPE03,39,20,0.015658000945725965,-0.5956372365315551,0.4564102564102564,0.18205128205128204,0.6974999999999996,0.004479287389799118,0.01791714955919647
original_firstorder_Minimum,core,WO_AGENT_SUBTYPE01,WO_AGENT_SUBTYPE04,39,13,0.015658000945725965,0.33762254625916177,-0.4358974358974359,-0.7002958579881657,-0.1399408284023674,0.02009531831161583,0.060285954934847494
original_firstorder_Minimum,core,WO_AGENT_SUBTYPE02,WO_AGENT_SUBTYPE03,31,20,0.28103978957707965,-0.5956372365315551,0.7516129032258064,0.535483870967742,0.9193548387096774,7.272481479396425e-06,4.3634888876378544e-05
original_firstorder_Minimum,core,WO_AGENT_SUBTYPE02,WO_AGENT_SUBTYPE04,31,13,0.28103978957707965,0.33762254625916177,-0.141439205955335,-0.47890818858560796,0.20099255583126552,0.47136433807450107,0.47136433807450107
original_firstorder_Minimum,core,WO_AGENT_SUBTYPE03,WO_AGENT_SUBTYPE04,20,13,-0.5956372365315551,0.33762254625916177,-0.8384615384615385,-0.9769230769230769,-0.6228846153846165,6.40006681928668e-05,0.000320003340964334
original_firstorder_Range,core,WO_AGENT_SUBTYPE01,WO_AGENT_SUBTYPE02,39,31,0.29210398696042283,-0.541884807407148,0.4706368899917287,0.24400330851943755,0.695616211745244,0.000785394809601648,0.00392697404800824
original_firstorder_Range,core,WO_AGENT_SUBTYPE01,WO_AGENT_SUBTYPE03,39,20,0.29210398696042283,0.7560788323409942,-0.4076923076923077,-0.6641025641025641,-0.12307692307692308,0.011147803355891838,0.03344341006767551
original_firstorder_Range,core,WO_AGENT_SUBTYPE01,WO_AGENT_SUBTYPE04,39,13,0.29210398696042283,0.17880306090237463,0.1794871794871795,-0.13619329388560159,0.49516765285996,0.3416258236836941,0.3416258236836941
original_firstorder_Range,core,WO_AGENT_SUBTYPE02,WO_AGENT_SUBTYPE03,31,20,-0.541884807407148,0.7560788323409942,-0.7838709677419354,-0.9323387096774194,-0.5935483870967742,2.8900825882804433e-06,1.734049552968266e-05
original_firstorder_Range,core,WO_AGENT_SUBTYPE02,WO_AGENT_SUBTYPE04,31,13,-0.541884807407148,0.17880306090237463,-0.37965260545905705,-0.707196029776675,-0.03722084367245657,0.050583775015403114,0.10116755003080623
original_firstorder_Range,core,WO_AGENT_SUBTYPE03,WO_AGENT_SUBTYPE04,20,13,0.7560788323409942,0.17880306090237463,0.6692307692307692,0.3384615384615385,0.9076923076923077,0.0014376212014238715,0.005750484805695486
original_glcm_Autocorrelation,core,WO_AGENT_SUBTYPE01,WO_AGENT_SUBTYPE02,39,31,0.2774307801303671,-0.7572561193019354,0.5500413564929694,0.32336641852770887,0.7535153019023987,8.657772495730294e-05,0.0004328886247865147
original_glcm_Autocorrelation,core,WO_AGENT_SUBTYPE01,WO_AGENT_SUBTYPE03,39,20,0.2774307801303671,0.5942827598406077,-0.26153846153846155,-0.5436538461538462,0.04871794871794872,0.10409848935119739,0.20819697870239479
original_glcm_Autocorrelation,core,WO_AGENT_SUBTYPE01,WO_AGENT_SUBTYPE04,39,13,0.2774307801303671,-0.12904859491121243,0.26232741617357,-0.08096646942800788,0.5858974358974354,0.16309485109471744,0.20819697870239479
original_glcm_Autocorrelation,core,WO_AGENT_SUBTYPE02,WO_AGENT_SUBTYPE03,31,20,-0.7572561193019354,0.5942827598406077,-0.7580645161290323,-0.9225806451612903,-0.5516129032258065,6.064182109986368e-06,3.638509265991821e-05
original_glcm_Autocorrelation,core,WO_AGENT_SUBTYPE02,WO_AGENT_SUBTYPE04,31,13,-0.7572561193019354,-0.12904859491121243,-0.38957816377171217,-0.7320099255583127,-0.012282878411911348,0.04480919200690335,0.13442757602071004
original_glcm_Autocorrelation,core,WO_AGENT_SUBTYPE03,WO_AGENT_SUBTYPE04,20,13,0.5942827598406077,-0.12904859491121243,0.4846153846153846,0.1151923076923077,0.8153846153846154,0.021293594726057574,0.0851743789042303
