feature,reference_population,group_count,available_n,kruskal_p,epsilon_squared,q_value
original_shape_Elongation,core,4,103,0.026097973718153637,0.06317145289898175,0.04333787606481718
original_shape_Flatness,core,4,103,0.08569803478106158,0.0363911891080691,0.11302204587067542
original_shape_LeastAxisLength,core,4,103,0.035917402775108014,0.056057653161895135,0.055967185831075836
original_shape_MajorAxisLength,core,4,103,0.0364850787212306,0.05570706780564812,0.05665771610293489
original_shape_Maximum2DDiameterColumn,core,4,103,0.15766739202240793,0.022230753462595135,0.19336566946144368
original_shape_Maximum2DDiameterRow,core,4,103,0.08919136231279114,0.03547451341423732,0.11695120994904891
original_shape_Maximum2DDiameterSlice,core,4,103,0.08400896250264027,0.036847395552460215,0.11111650563575966
original_shape_MinorAxisLength,core,4,103,0.11468773567649035,0.029672356654457117,0.14576234562235504
original_shape_Sphericity,core,4,103,0.002577174083771942,0.11369228573509571,0.006420440958649555
original_shape_SurfaceVolumeRatio,core,4,103,0.035066959507171674,0.05659313396671508,0.05501885026125211
original_firstorder_Kurtosis,core,4,103,0.17720917961626245,0.019466266880682623,0.21330734583438998
original_firstorder_Minimum,core,4,103,9.237157757743909e-06,0.23299340461883528,7.505190678166925e-05
original_firstorder_Range,core,4,103,4.224976472716082e-06,0.24936415760875508,4.271920655746261e-05
original_firstorder_Skewness,core,4,103,0.18063088550567316,0.019011883157008237,0.21685238233530682
original_glcm_Autocorrelation,core,4,103,6.483357960075129e-06,0.24040614440286787,6.0202609629269054e-05
original_glcm_Idmn,core,4,103,0.06795653828949139,0.04168740668535807,0.09313320759553789
original_glcm_Idn,core,4,103,0.008759223346335525,0.08718440883332866,0.016959347330138992
original_glcm_Imc1,core,4,103,0.005022302521748812,0.099278852529954,0.010881655463789091
original_glcm_Imc2,core,4,103,0.04478851321021667,0.05111076630988014,0.06573797906660835
original_glcm_InverseVariance,core,4,103,0.049798585092031354,0.048724583146636316,0.07170365891415907
original_glcm_JointEntropy,core,4,103,1.517244847585394e-06,0.27075062947283407,2.301154685504514e-05
original_glcm_MaximumProbability,core,4,103,1.1464344483427773e-06,0.27659445111865033,2.1195103863410595e-05
original_glcm_SumSquares,core,4,103,0.00018865642332371676,0.1694803514119801,0.0007464232401068793
original_glrlm_LongRunHighGrayLevelEmphasis,core,4,103,0.03926652441228343,0.0540628324994368,0.05954549285719302
original_glrlm_LongRunLowGrayLevelEmphasis,core,4,103,4.932440377801499e-08,0.34199370136877744,5.6106509297492046e-06
original_glrlm_RunEntropy,core,4,103,0.136592975394845,0.025600438024851388,0.16980820711654226
original_glszm_GrayLevelNonUniformityNormalized,core,4,103,0.0008927307967818629,0.13642729215556793,0.002690016639309587
original_glszm_GrayLevelVariance,core,4,103,4.009803462765608e-05,0.20216925133750388,0.00022805757194479392
original_glszm_HighGrayLevelZoneEmphasis,core,4,103,8.845464159304213e-08,0.3298771483695237,5.749551703547738e-06
original_glszm_LowGrayLevelZoneEmphasis,core,4,103,5.517638077606598e-07,0.2918286132721554,1.321329118584738e-05
original_glszm_SmallAreaEmphasis,core,4,103,2.4000511864552483e-06,0.2611800353235946,3.3091614843549634e-05
original_glszm_SmallAreaHighGrayLevelEmphasis,core,4,103,1.0519303024913345e-08,0.37400280516954015,2.393141438167786e-06
original_glszm_SmallAreaLowGrayLevelEmphasis,core,4,103,2.8702256221917707e-05,0.2092019118760309,0.0001696042413113319
original_glszm_ZoneEntropy,core,4,103,0.3465611315316423,0.0031088997409553505,0.3864836148208266
original_glszm_ZonePercentage,core,4,103,3.9029280745329255e-05,0.20273778027337536,0.00022478889543195964
original_gldm_DependenceNonUniformityNormalized,core,4,103,1.1645661463412415e-06,0.2762673167386601,2.1195103863410595e-05
original_gldm_DependenceVariance,core,4,103,4.331716041455183e-07,0.2968649785707534,1.2264029588266788e-05
original_gldm_LargeDependenceHighGrayLevelEmphasis,core,4,103,0.13215731452142943,0.026372141367081863,0.16519664315178678
original_gldm_SmallDependenceHighGrayLevelEmphasis,core,4,103,8.613561119772934e-08,0.3304285046316891,5.749551703547738e-06
original_ngtdm_Complexity,core,4,103,3.3429480070315546e-07,0.30225531874150235,1.2264029588266788e-05
original_ngtdm_Contrast,core,4,103,0.007930160398402882,0.08935242238682478,0.015725110744743736
log-sigma-1-0-mm-3D_firstorder_10Percentile,core,4,103,0.0032592767853395744,0.10863014317506112,0.00760497916579234
log-sigma-1-0-mm-3D_firstorder_90Percentile,core,4,103,7.300176044209142e-06,0.2379221627318426,6.345367436675831e-05
log-sigma-1-0-mm-3D_firstorder_Energy,core,4,103,0.0011887872625342471,0.13030309207523785,0.003380613777831765
log-sigma-1-0-mm-3D_firstorder_InterquartileRange,core,4,103,0.00019738284721784982,0.1685226224705616,0.0007742172024493248
log-sigma-1-0-mm-3D_firstorder_Kurtosis,core,4,103,0.8993450945481585,0.0,0.9053141991579914
log-sigma-1-0-mm-3D_firstorder_Maximum,core,4,103,7.5307657490218654e-06,0.23727103452705134,6.345367436675831e-05
