canonical_core,variant_core,canonical_size,variant_size,intersection,canonical_retention,variant_purity,jaccard
CORE01,CORE01,21,17,13,0.6190476190476191,0.7647058823529411,0.52
CORE02,CORE04,14,11,8,0.5714285714285714,0.7272727272727273,0.47058823529411764
CORE03,CORE02,12,12,10,0.8333333333333334,0.8333333333333334,0.7142857142857143
CORE04,CORE03,9,12,7,0.7777777777777778,0.5833333333333334,0.5
