canonical_core,canonical_size,matched_variant_core,matched_variant_size,retained_n,retention,jaccard,variant_core_count_with_members,any_variant_stable_n,any_variant_stable_fraction,no_variant_stable_n,no_variant_stable_fraction,variant_membership_distribution
CORE01,21,CORE01,17,13,0.6190476190476191,0.52,4,19,0.9047619047619048,2,0.09523809523809523,"{""CORE01"": 13, ""CORE06"": 1, ""CORE07"": 4, ""CORE09"": 1}"
CORE02,14,CORE04,11,8,0.5714285714285714,0.47058823529411764,2,10,0.7142857142857143,4,0.2857142857142857,"{""CORE04"": 8, ""CORE10"": 2}"
CORE03,12,CORE02,12,10,0.8333333333333334,0.7142857142857143,3,12,1.0,0,0.0,"{""CORE02"": 10, ""CORE05"": 1, ""CORE10"": 1}"
CORE04,9,CORE03,12,7,0.7777777777777778,0.5,2,9,1.0,0,0.0,"{""CORE03"": 7, ""CORE08"": 2}"
