subtype_id,feature,reference_population,target_n,rest_n,n_subtype,n_rest,median_subtype,median_rest,cliffs_delta,ci_low,ci_high,p_value,q_value
SUBTYPE05,original_glszm_SmallAreaHighGrayLevelEmphasis,core_rest,27,52,27,52,-0.7667961859104985,0.2114396505119421,-0.7207977207977208,-0.8618233618233618,-0.5498219373219375,1.74189754414249e-07,7.556784948434718e-05
SUBTYPE05,wavelet-HLH_glszm_SmallAreaHighGrayLevelEmphasis,core_rest,27,52,27,52,-0.5078768609382925,-0.29954919096472415,-0.6894586894586895,-0.8361823361823362,-0.48717948717948717,5.805841603678646e-07,7.556784948434718e-05
SUBTYPE05,wavelet-LLL_ngtdm_Complexity,core_rest,27,52,27,52,-0.858348255097296,0.2680289830811957,-0.6837606837606838,-0.8618233618233618,-0.4956908831908834,7.187735655667069e-07,7.556784948434718e-05
SUBTYPE05,original_ngtdm_Complexity,core_rest,27,52,27,52,-0.733661271874588,0.013750888668492927,-0.6823361823361823,-0.8419159544159545,-0.4871438746438748,7.579868348232623e-07,7.556784948434718e-05
SUBTYPE05,original_glrlm_LongRunLowGrayLevelEmphasis,core_rest,27,52,27,52,0.4418079060795731,-0.49291726716537965,0.6709401709401709,0.46574074074074073,0.83764245014245,1.155058246360326e-06,7.556784948434718e-05
SUBTYPE05,log-sigma-1-0-mm-3D_glszm_GrayLevelVariance,core_rest,27,52,27,52,-0.769199659691007,0.4358859112856005,-0.6680911680911681,-0.8262464387464388,-0.47435897435897434,1.2820094364304534e-06,7.556784948434718e-05
SUBTYPE05,original_glcm_MaximumProbability,core_rest,27,52,27,52,1.0137392097579183,-0.4980854942068341,0.6666666666666666,0.4529202279202279,0.8376068376068376,1.3504163511652218e-06,7.556784948434718e-05
SUBTYPE05,original_gldm_SmallDependenceHighGrayLevelEmphasis,core_rest,27,52,27,52,-0.5957217468891479,-0.08366725364884467,-0.6638176638176638,-0.8490028490028491,-0.46438746438746437,1.497911803181144e-06,7.556784948434718e-05
SUBTYPE05,original_glcm_JointEntropy,core_rest,27,52,27,52,-0.9113193491197732,0.44675682816746876,-0.6609686609686609,-0.8376424501424502,-0.45003561253561314,1.6608318567988393e-06,7.556784948434718e-05
SUBTYPE05,original_glszm_GrayLevelVariance,core_rest,27,52,27,52,-0.9334991285741083,0.5603705995770109,-0.6609686609686609,-0.8304843304843305,-0.4672008547008549,1.6608318567988393e-06,7.556784948434718e-05
SUBTYPE05,original_firstorder_Range,core_rest,27,52,27,52,-0.6958562084625575,0.39797747205879613,-0.6566951566951567,-0.830519943019943,-0.4472934472934473,1.937532653845708e-06,8.01433961363452e-05
SUBTYPE05,wavelet-HLH_glszm_SizeZoneNonUniformityNormalized,core_rest,27,52,27,52,-0.6502166568405915,0.030176231889960464,-0.6524216524216524,-0.8262108262108262,-0.4586894586894587,2.254399696409571e-06,8.547932182219624e-05
SUBTYPE05,original_glszm_HighGrayLevelZoneEmphasis,core_rest,27,52,27,52,-0.7787455142597626,0.2548025393706549,-0.6438746438746439,-0.8176638176638177,-0.44298433048433067,3.0591659535036224e-06,0.00010707080837262679
SUBTYPE05,wavelet-LLH_firstorder_Uniformity,core_rest,27,52,27,52,0.42319843169481314,0.19624159135370123,0.6367521367521367,0.4372863247863248,0.8034188034188035,3.928573751602322e-06,0.00012767864692707546
SUBTYPE05,wavelet-HLH_firstorder_Uniformity,core_rest,27,52,27,52,0.1925511889381052,0.19078614249447864,0.6310541310541311,0.4429843304843305,0.7991452991452992,4.7900088832332144e-06,0.0001431006010829027
SUBTYPE05,wavelet-HLH_glszm_SmallAreaEmphasis,core_rest,27,52,27,52,-0.49399743557721004,0.3886404283852398,-0.6296296296296297,-0.7977564102564103,-0.42863247863247944,5.032109049069106e-06,0.0001431006010829027
