subtype_id,feature,reference_population,target_n,rest_n,n_subtype,n_rest,median_subtype,median_rest,cliffs_delta,ci_low,ci_high,p_value,q_value
SUBTYPE01,original_shape_Elongation,core_rest,10,69,10,69,0.14388262564007306,0.2194597917652234,-0.07536231884057971,-0.4608695652173913,0.3565942028985503,0.7069340037816537,0.9190142049161498
SUBTYPE01,original_shape_Flatness,core_rest,10,69,10,69,0.18780282385216485,0.22718637100069144,0.02318840579710145,-0.3826086956521739,0.4318840579710145,0.9119482444395097,0.9832617327487605
SUBTYPE01,original_shape_LeastAxisLength,core_rest,10,69,10,69,-0.24088682211197793,-0.2702196287717264,0.057971014492753624,-0.32463768115942027,0.41166666666666624,0.7737204569874792,0.9338005515366127
SUBTYPE01,original_shape_MajorAxisLength,core_rest,10,69,10,69,-0.5175404279596327,-0.4005127401445059,0.005797101449275362,-0.4144927536231884,0.4463768115942029,0.9823551893827882,0.9977044892168943
SUBTYPE01,original_shape_Maximum2DDiameterColumn,core_rest,10,69,10,69,-0.507969153839881,-0.3849124456666954,0.07246376811594203,-0.35666666666666663,0.4956521739130435,0.7179221433609291,0.9227572615968631
SUBTYPE01,original_shape_Maximum2DDiameterRow,core_rest,10,69,10,69,-0.38860698955154227,-0.3897323883441967,0.011594202898550725,-0.43775362318840577,0.44065217391304307,0.9588436865015352,0.9977044892168943
SUBTYPE01,original_shape_Maximum2DDiameterSlice,core_rest,10,69,10,69,-0.6591134801311037,-0.452229427857334,-0.11739130434782609,-0.5246739130434783,0.2724999999999998,0.5553415034234006,0.8422679468588242
SUBTYPE01,original_shape_MinorAxisLength,core_rest,10,69,10,69,-0.4989127753099314,-0.33936617073389086,-0.06376811594202898,-0.4318840579710145,0.32753623188405795,0.7512434461465822,0.9251143838182011
SUBTYPE01,original_shape_Sphericity,core_rest,10,69,10,69,0.5228646195416017,0.33461509451498184,0.23768115942028986,-0.12173913043478261,0.5710144927536231,0.22949840775803898,0.7898698417514385
SUBTYPE01,original_shape_SurfaceVolumeRatio,core_rest,10,69,10,69,-0.1753180963836648,-0.12286810685344408,-0.14492753623188406,-0.45217391304347826,0.17681159420289855,0.46548940754873536,0.8133475505064872
SUBTYPE01,original_firstorder_Kurtosis,core_rest,10,69,10,69,-0.1600345175493063,-0.09487764571283896,-0.08695652173913043,-0.46101449275362316,0.30434782608695654,0.6635959836140204,0.8986195611439859
SUBTYPE01,original_firstorder_Minimum,core_rest,10,69,10,69,0.15184691711945592,0.08230909546295016,0.17971014492753623,-0.14804347826086955,0.5072463768115942,0.3645294792580438,0.8133475505064872
SUBTYPE01,original_firstorder_Range,core_rest,10,69,10,69,0.12969938229737463,0.1882169363287772,-0.05217391304347826,-0.34782608695652173,0.23485507246376772,0.7963888299853986,0.938748491304032
SUBTYPE01,original_firstorder_Skewness,core_rest,10,69,10,69,-0.26558603309380496,-0.09771079943642165,0.020289855072463767,-0.3188405797101449,0.3768840579710141,0.9236498152101165,0.9842170162075011
SUBTYPE01,original_glcm_Autocorrelation,core_rest,10,69,10,69,0.10707139201274413,0.051743445433300624,0.002898550724637681,-0.3130434782608696,0.3449999999999996,0.9941179702577749,1.0
SUBTYPE01,original_glcm_Idmn,core_rest,10,69,10,69,0.358193306177387,0.1873780378918301,0.24057971014492754,-0.08115942028985507,0.542101449275362,0.2238340543371371,0.7898698417514385
SUBTYPE01,original_glcm_Idn,core_rest,10,69,10,69,0.4659635177727315,0.10778686663329658,0.2608695652173913,-0.06956521739130435,0.5652173913043478,0.18696676307541438,0.7898698417514385
SUBTYPE01,original_glcm_Imc1,core_rest,10,69,10,69,-0.42075647867856103,0.24822659472596506,-0.2579710144927536,-0.6289855072463768,0.13623188405797101,0.19194007704985716,0.7898698417514385
SUBTYPE01,original_glcm_Imc2,core_rest,10,69,10,69,0.6503845863045263,0.04392058244637824,0.2782608695652174,-0.0986231884057971,0.6202898550724638,0.15911014158151093,0.7898698417514385
SUBTYPE01,original_glcm_InverseVariance,core_rest,10,69,10,69,0.3460988566627637,0.20867408245380967,0.21739130434782608,-0.10152173913043479,0.5392028985507242,0.27201128078010395,0.7898698417514385
SUBTYPE01,original_glcm_JointEntropy,core_rest,10,69,10,69,0.3594674088375199,0.10955569437881374,0.028985507246376812,-0.32753623188405795,0.3565217391304348,0.8886047953348323,0.9752878811292934
SUBTYPE01,original_glcm_MaximumProbability,core_rest,10,69,10,69,-0.46696522108968347,-0.27646987416633756,-0.05217391304347826,-0.34202898550724636,0.23210144927536114,0.7963888299853986,0.938748491304032
SUBTYPE01,original_glcm_SumSquares,core_rest,10,69,10,69,0.04463773125402093,-0.16806631535959654,0.13333333333333333,-0.24934782608695652,0.5102173913043474,0.5023091465765339,0.8133475505064872
SUBTYPE01,original_glrlm_LongRunHighGrayLevelEmphasis,core_rest,10,69,10,69,0.33275632083438444,-0.16195772088479785,0.2,-0.14202898550724638,0.518840579710145,0.3125061180381009,0.7899460205963107
SUBTYPE01,original_glrlm_LongRunLowGrayLevelEmphasis,core_rest,10,69,10,69,-0.3685034346661032,-0.44193218535763473,0.12173913043478261,-0.17681159420289855,0.4144927536231884,0.5406144301444727,0.8310120463369429
SUBTYPE01,original_glrlm_RunEntropy,core_rest,10,69,10,69,0.42899825753887644,-0.0522264465376833,0.2753623188405797,-0.14797101449275363,0.663768115942029,0.16352108497251883,0.7898698417514385
SUBTYPE01,original_glszm_GrayLevelNonUniformityNormalized,core_rest,10,69,10,69,-0.5003232343300198,-0.33858476050312897,-0.17391304347826086,-0.5333333333333333,0.20876811594202857,0.3803347685981999,0.8133475505064872
SUBTYPE01,original_glszm_GrayLevelVariance,core_rest,10,69,10,69,0.44954415620572785,0.2383580659284751,0.16231884057971013,-0.22318840579710145,0.5420289855072464,0.4131842753451511,0.8133475505064872
SUBTYPE01,original_glszm_HighGrayLevelZoneEmphasis,core_rest,10,69,10,69,-0.1766144166934271,0.06747060410918308,-0.19130434782608696,-0.43768115942028984,0.057971014492753624,0.3341718896511605,0.7960639256087855
SUBTYPE01,original_glszm_LowGrayLevelZoneEmphasis,core_rest,10,69,10,69,-0.0004798961726926532,-0.2979499629939778,0.27246376811594203,0.008623188405797106,0.527536231884058,0.16802357999941198,0.7898698417514385
SUBTYPE01,original_glszm_SmallAreaEmphasis,core_rest,10,69,10,69,-0.533876420055734,-0.34627102853931885,-0.11304347826086956,-0.47543478260869565,0.263768115942029,0.5702716089564426,0.8424466950492902
SUBTYPE01,original_glszm_SmallAreaHighGrayLevelEmphasis,core_rest,10,69,10,69,-0.46663907509082436,-0.2730243479189012,-0.13623188405797101,-0.4319565217391304,0.1739855072463764,0.49296216706893803,0.8133475505064872
SUBTYPE01,original_glszm_SmallAreaLowGrayLevelEmphasis,core_rest,10,69,10,69,0.31104720360088234,-0.4066051369834504,0.27246376811594203,-0.00876811594202898,0.5218115942028981,0.16802357999941198,0.7898698417514385
SUBTYPE01,original_glszm_ZoneEntropy,core_rest,10,69,10,69,0.511346804482488,-0.05385439185953202,0.21159420289855072,-0.19710144927536233,0.6029710144927533,0.2850903155185526,0.7898698417514385
SUBTYPE01,original_glszm_ZonePercentage,core_rest,10,69,10,69,-0.5664634233971814,-0.18430095482636155,-0.22318840579710145,-0.5217391304347826,0.09572463768115903,0.2593490755632749,0.7898698417514385
SUBTYPE01,original_gldm_DependenceNonUniformityNormalized,core_rest,10,69,10,69,-0.4206205663576824,-0.1453384630378307,-0.17681159420289855,-0.45217391304347826,0.10144927536231885,0.37238015714010375,0.8133475505064872
SUBTYPE01,original_gldm_DependenceVariance,core_rest,10,69,10,69,0.2332270914472902,-0.1835700407327855,0.15942028985507245,-0.13340579710144926,0.4405797101449275,0.4216519055777843,0.8133475505064872
SUBTYPE01,original_gldm_LargeDependenceHighGrayLevelEmphasis,core_rest,10,69,10,69,0.13398387525329447,-0.15299568135088484,0.21159420289855072,-0.1536231884057971,0.5478260869565217,0.2850903155185526,0.7898698417514385
SUBTYPE01,original_gldm_SmallDependenceHighGrayLevelEmphasis,core_rest,10,69,10,69,-0.27959417095351846,-0.1441403501695764,-0.17971014492753623,-0.45514492753623187,0.09862318840579672,0.3645294792580438,0.8133475505064872
SUBTYPE01,original_ngtdm_Complexity,core_rest,10,69,10,69,-0.22213795491744004,-0.12422798076927777,-0.11304347826086956,-0.3884782608695652,0.1681159420289855,0.5702716089564426,0.8424466950492902
SUBTYPE01,original_ngtdm_Contrast,core_rest,10,69,10,69,0.08866240692604438,-0.2237930653958013,0.06956521739130435,-0.3333333333333333,0.4725362318840576,0.7289755524220708,0.9239105190864686
SUBTYPE01,log-sigma-1-0-mm-3D_firstorder_10Percentile,core_rest,10,69,10,69,-0.3872436347293671,-0.09411914858382595,0.005797101449275362,-0.345,0.3507246376811594,0.9823551893827882,0.9977044892168943
SUBTYPE01,log-sigma-1-0-mm-3D_firstorder_90Percentile,core_rest,10,69,10,69,0.26034462451874696,0.1737867204577522,0.06086956521739131,-0.2726086956521739,0.3942753623188402,0.7624569097402756,0.9251143838182011
SUBTYPE01,log-sigma-1-0-mm-3D_firstorder_Energy,core_rest,10,69,10,69,-0.39586023194379805,-0.3818169858612511,0.005797101449275362,-0.33050724637681156,0.35079710144927495,0.9823551893827882,0.9977044892168943
SUBTYPE01,log-sigma-1-0-mm-3D_firstorder_InterquartileRange,core_rest,10,69,10,69,0.1454575540437875,0.15789696205348744,-0.04057971014492753,-0.37681159420289856,0.2753623188405797,0.8422262603892642,0.967709465851301
SUBTYPE01,log-sigma-1-0-mm-3D_firstorder_Kurtosis,core_rest,10,69,10,69,-0.2723659717731718,-0.3602338936960054,0.16521739130434782,-0.14202898550724638,0.43195652173913,0.4048181932404551,0.8133475505064872
SUBTYPE01,log-sigma-1-0-mm-3D_firstorder_Maximum,core_rest,10,69,10,69,0.23516836099345842,-0.16297340937047633,0.2,-0.1565217391304348,0.553623188405797,0.3125061180381009,0.7899460205963107
SUBTYPE01,log-sigma-1-0-mm-3D_firstorder_Range,core_rest,10,69,10,69,-0.0032142952575809555,-0.01898754073155396,0.020289855072463767,-0.28695652173913044,0.33050724637681117,0.9236498152101165,0.9842170162075011
SUBTYPE01,log-sigma-1-0-mm-3D_firstorder_Skewness,core_rest,10,69,10,69,-0.059525065375768724,0.12140327306584228,-0.21159420289855072,-0.4696376811594203,0.043478260869565216,0.2850903155185526,0.7898698417514385
SUBTYPE01,log-sigma-1-0-mm-3D_glcm_ClusterProminence,core_rest,10,69,10,69,-0.07847116061370371,-0.2816051782595563,0.05507246376811594,-0.28695652173913044,0.3942753623188402,0.7850318523593676,0.9375052305079061
SUBTYPE01,log-sigma-1-0-mm-3D_glcm_ClusterShade,core_rest,10,69,10,69,-0.1004899365839486,0.3411178895043093,-0.2144927536231884,-0.5594202898550724,0.15369565217391265,0.27849855514998845,0.7898698417514385
SUBTYPE01,log-sigma-1-0-mm-3D_glcm_Contrast,core_rest,10,69,10,69,-0.24220106107715944,-0.09950108110487937,-0.11014492753623188,-0.3942753623188406,0.1739855072463764,0.5803268641112362,0.8490312642141881
SUBTYPE01,log-sigma-1-0-mm-3D_glcm_Idn,core_rest,10,69,10,69,0.14217683630451025,-0.07172247871133691,0.06376811594202898,-0.3276086956521739,0.45217391304347826,0.7512434461465822,0.9251143838182011
SUBTYPE01,log-sigma-1-0-mm-3D_glcm_Imc1,core_rest,10,69,10,69,-0.7050755480136413,0.1905852519542913,-0.3565217391304348,-0.6985507246376812,0.03195652173913004,0.07089273213174048,0.7898698417514385
SUBTYPE01,log-sigma-1-0-mm-3D_glcm_Imc2,core_rest,10,69,10,69,0.7533035264918142,-0.05814073293685374,0.2898550724637681,-0.14492753623188406,0.6521739130434783,0.14236314414417353,0.7898698417514385
SUBTYPE01,log-sigma-1-0-mm-3D_glcm_InverseVariance,core_rest,10,69,10,69,-0.14980859316467263,0.20958715497824873,-0.22318840579710145,-0.463768115942029,0.04057971014492753,0.2593490755632749,0.7898698417514385
SUBTYPE01,log-sigma-1-0-mm-3D_glcm_MCC,core_rest,10,69,10,69,0.7156745150720757,-0.0897311998199929,0.39420289855072466,0.05789855072463768,0.6928260869565214,0.04573417125077464,0.7898698417514385
SUBTYPE01,log-sigma-1-0-mm-3D_glcm_MaximumProbability,core_rest,10,69,10,69,-0.19388711001023423,-0.10373039836164527,-0.03188405797101449,-0.33050724637681156,0.27246376811594203,0.8769679113350323,0.973220486969365
SUBTYPE01,log-sigma-1-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,core_rest,10,69,10,69,-0.6211110790302692,-0.012877339801322567,-0.1826086956521739,-0.518840579710145,0.17101449275362318,0.3567830611303947,0.8133475505064872
