feature,group_a,group_b,n_a,n_b,missing_n_a,missing_n_b,frequency_a,frequency_b,frequency_difference,odds_ratio,ci_low,ci_high,fisher_p,p_adjusted_holm
mutation::ATM,SUBTYPE01,SUBTYPE02,10,15,0,0,0.1,0.06666666666666667,0.03333333333333334,1.5555555555555556,0.0859699239747816,28.146507226522186,1.0,1.0
mutation::ATM,SUBTYPE01,SUBTYPE03,10,11,0,0,0.1,0.0,0.1,3.6315789473684212,0.13207995345135942,99.85138021589601,0.47619047619047616,1.0
mutation::ATM,SUBTYPE01,SUBTYPE04,10,16,0,0,0.1,0.0,0.1,5.2105263157894735,0.19242930684942108,141.08861551312245,0.3846153846153846,1.0
mutation::ATM,SUBTYPE01,SUBTYPE05,10,27,0,0,0.1,0.0,0.1,8.68421052631579,0.3252847315930808,231.8446122448684,0.2702702702702703,1.0
mutation::ATM,SUBTYPE02,SUBTYPE03,15,11,0,0,0.06666666666666667,0.0,0.06666666666666667,2.3793103448275863,0.0883808994863744,64.05363319340664,1.0,1.0
mutation::ATM,SUBTYPE02,SUBTYPE04,15,16,0,0,0.06666666666666667,0.0,0.06666666666666667,3.413793103448276,0.12877617925435306,90.49797424205744,0.4838709677419356,1.0
mutation::ATM,SUBTYPE02,SUBTYPE05,15,27,0,0,0.06666666666666667,0.0,0.06666666666666667,5.689655172413793,0.21770475680057563,148.69760521874568,0.35714285714285715,1.0
mutation::ATM,SUBTYPE03,SUBTYPE04,11,16,0,0,0.0,0.0,0.0,1.434782608695652,0.026499285915377105,77.68515501849535,1.0,1.0
mutation::ATM,SUBTYPE03,SUBTYPE05,11,27,0,0,0.0,0.0,0.0,2.391304347826087,0.04468447239633726,127.9714446041143,1.0,1.0
mutation::ATM,SUBTYPE04,SUBTYPE05,16,27,0,0,0.0,0.0,0.0,1.6666666666666667,0.0315429554921685,88.06333250755291,1.0,1.0
mutation::BAP1,SUBTYPE01,SUBTYPE02,10,15,0,0,0.0,0.0,0.0,1.4761904761904763,0.02710469175163947,80.39708925535585,1.0,1.0
mutation::BAP1,SUBTYPE01,SUBTYPE03,10,11,0,0,0.0,0.0,0.0,1.0952380952380953,0.01989454899922396,60.295233900882245,1.0,1.0
mutation::BAP1,SUBTYPE01,SUBTYPE04,10,16,0,0,0.0,0.5625,-0.5625,0.03759398496240601,0.001882447971194773,0.75078181547647,0.003894960874365908,0.027264726120561356
mutation::BAP1,SUBTYPE01,SUBTYPE05,10,27,0,0,0.0,0.07407407407407407,-0.07407407407407407,0.4857142857142857,0.021441040200288156,11.00312135713305,1.0,1.0
mutation::BAP1,SUBTYPE02,SUBTYPE03,15,11,0,0,0.0,0.0,0.0,0.7419354838709677,0.013677201916484322,40.24714013788157,1.0,1.0
mutation::BAP1,SUBTYPE02,SUBTYPE04,15,16,0,0,0.0,0.5625,-0.5625,0.025466893039049237,0.0013006725143066891,0.49863638535337595,0.0008157211716722285,0.007364431149528673
mutation::BAP1,SUBTYPE02,SUBTYPE05,15,27,0,0,0.0,0.07407407407407407,-0.07407407407407407,0.32903225806451614,0.014802728875570438,7.313666808131844,0.5296167247386758,1.0
mutation::BAP1,SUBTYPE03,SUBTYPE04,11,16,0,0,0.0,0.5625,-0.5625,0.034324942791762014,0.0017279202986750155,0.6818611359338687,0.0030159009564043886,0.02412720765123511
mutation::BAP1,SUBTYPE03,SUBTYPE05,11,27,0,0,0.0,0.07407407407407407,-0.07407407407407407,0.4434782608695652,0.019676739631689213,9.995201011205841,1.0,1.0
mutation::BAP1,SUBTYPE04,SUBTYPE05,16,27,0,0,0.5625,0.07407407407407407,0.48842592592592593,16.071428571428573,2.8027108391354947,92.15749720588423,0.0007364431149528672,0.007364431149528673
mutation::DST,SUBTYPE01,SUBTYPE02,10,15,0,0,0.0,0.13333333333333333,-0.13333333333333333,0.2571428571428571,0.011110974000410162,5.951093844441619,0.5,1.0
mutation::DST,SUBTYPE01,SUBTYPE03,10,11,0,0,0.0,0.0,0.0,1.0952380952380953,0.01989454899922396,60.295233900882245,1.0,1.0
mutation::DST,SUBTYPE01,SUBTYPE04,10,16,0,0,0.0,0.0625,-0.0625,0.49206349206349204,0.018237192852021807,13.276521347685142,1.0,1.0
mutation::DST,SUBTYPE01,SUBTYPE05,10,27,0,0,0.0,0.037037037037037035,-0.037037037037037035,0.8412698412698413,0.031671450165852495,22.346149043508237,1.0,1.0
mutation::DST,SUBTYPE02,SUBTYPE03,15,11,0,0,0.13333333333333333,0.0,0.13333333333333333,4.2592592592592595,0.18497475659371454,98.07440632254455,0.4923076923076922,1.0
mutation::DST,SUBTYPE02,SUBTYPE04,15,16,0,0,0.13333333333333333,0.0625,0.07083333333333333,2.3076923076923075,0.18702326993634497,28.47476567378386,0.599555061179088,1.0
