subtype_id,gene,direction,padj,log2_fold_change
SUBTYPE01,PNLDC1,up,7.222792371373077e-08,3.670299256677733
SUBTYPE01,TXNDC2,up,0.0002400287585691034,1.9028949527329049
SUBTYPE01,NUDCD2,up,0.0149831600567063,0.3718665800596045
SUBTYPE01,CYB5RL,up,0.01967693660387687,0.6155154488824494
SUBTYPE01,EPHX3,up,0.0365300818365537,1.5164790261694499
SUBTYPE01,NR5A1,up,0.03750208091695836,3.5438144147228527
SUBTYPE01,KCNG4,up,0.03750208091695836,2.8314043363602983
SUBTYPE01,DMC1,up,0.04643956350972046,0.8714624421508035
SUBTYPE01,CHRND,up,0.047778388383234074,1.986319128347294
SUBTYPE01,ANO5,down,2.0235612670091135e-08,-4.868827647319587
SUBTYPE01,NKAIN4,down,2.4758156451178362e-08,-4.867532491481789
SUBTYPE01,PVALB,down,8.901856335510801e-07,-7.763892503226741
SUBTYPE01,SH3GL2,down,1.1118221278323016e-06,-5.820766574021832
SUBTYPE01,IGFBP1,down,3.62447529107077e-06,-5.453577070307509
SUBTYPE01,FGG,down,1.6795072335498723e-05,-6.103357357524346
SUBTYPE01,CHRDL1,down,1.6795072335498723e-05,-5.250286590107589
SUBTYPE01,ANGPTL3,down,1.6795072335498723e-05,-4.094604618394575
SUBTYPE01,FGB,down,1.9255881372871192e-05,-5.685673685983921
SUBTYPE01,SPTBN2,down,2.35874416140555e-05,-3.173738812042956
SUBTYPE02,GRIK3,up,1.4895430622291049e-05,1.7606400476153494
SUBTYPE02,SLC34A1,up,3.7133653102925485e-05,3.3396128611456186
SUBTYPE02,IQSEC3,up,4.1638465402452664e-05,2.290880490782588
SUBTYPE02,KCNAB1,up,5.331369333688104e-05,1.2231608641065164
SUBTYPE02,DGKK,up,0.00011646950895298114,1.8407503208549747
SUBTYPE02,PLCH2,up,0.00025485017284986874,1.8040378199426415
SUBTYPE02,ERF,up,0.0002798966964726143,0.7104520179873972
SUBTYPE02,LGALSL,up,0.0003428644231610125,0.7082595582610577
SUBTYPE02,COL25A1,up,0.00035442392948215024,1.8524634999365066
SUBTYPE02,SHANK3,up,0.00042693761878124305,0.8700346089646579
SUBTYPE02,SLPI,down,3.696700223397371e-12,-5.554943519018794
SUBTYPE02,HP,down,6.34355674553901e-12,-7.12503119307585
SUBTYPE02,KCNS1,down,2.4197336535172177e-11,-5.421375457712854
SUBTYPE02,SAA1,down,4.6819346100747616e-11,-6.048834722861939
SUBTYPE02,PPP1R1A,down,4.6819346100747616e-11,-5.116767343196505
SUBTYPE02,LBP,down,3.4819363360437485e-10,-5.154377671476736
SUBTYPE02,CHRDL1,down,7.223728066551566e-10,-5.430815430283556
SUBTYPE02,PPDPFL,down,8.224345489863028e-10,-6.575385375190002
SUBTYPE02,FGG,down,8.224345489863028e-10,-6.284988432258922
SUBTYPE02,MFSD2A,down,2.1331262000467896e-09,-3.0008638333111484
SUBTYPE03,AKR1D1,up,9.547556468174105e-05,4.241242178491426
SUBTYPE03,IFIT1B,up,0.0024542720791878195,2.3166651694886355
SUBTYPE03,RPTN,up,0.007703676179417011,4.702630902413083
SUBTYPE03,CA1,up,0.007813456679796382,3.0161744930217673
SUBTYPE03,FLG,up,0.007813456679796382,2.1329972788878515
SUBTYPE03,CRNN,up,0.010544952047933258,3.447048930153788
SUBTYPE03,FREM3,up,0.013052930456282799,1.9573421200332166
SUBTYPE03,HTR1D,up,0.017868754142722338,2.128876622772537
SUBTYPE03,MEGF10,up,0.020148271974972768,2.2973165773661557
SUBTYPE03,AFF2,up,0.020148271974972768,1.6025270061366734
SUBTYPE03,PVALB,down,5.137728885871495e-07,-7.751400975940011
SUBTYPE03,AQP6,down,1.4959922386352706e-06,-7.155634465462076
SUBTYPE03,UMOD,down,0.00021629863996254953,-5.672999148094311
SUBTYPE03,CTXN3,down,0.0003890183778809796,-5.3130977411404725
SUBTYPE03,GC,down,0.0003890183778809796,-4.877335837656772
SUBTYPE03,LGALS4,down,0.0005986928806272919,-3.9439021198227935
SUBTYPE03,RHCG,down,0.0006325461523400602,-5.472513213964824
SUBTYPE03,SLCO1A2,down,0.0007643749688948799,-4.576325653765912
SUBTYPE03,MSLN,down,0.0013258493577453046,-4.146428446274161
