subtype_id,feature,n_subtype,n_rest,median_subtype,median_rest,cliffs_delta,ci_low,ci_high,p_value,q_value
SUBTYPE02,original_glcm_JointEntropy,15,88,0.7913821652729931,0.020197439628807885,0.5106060606060606,0.25757575757575757,0.7303030303030303,0.0016546533273868204,0.024286040772935592
SUBTYPE02,original_glcm_MaximumProbability,15,88,-0.8654663923532595,-0.20513068429800935,-0.4696969696969697,-0.7106060606060606,-0.21666666666666667,0.0038077910152329703,0.031339307877657555
SUBTYPE02,original_glcm_SumSquares,15,88,0.38127798207802244,-0.23091105024339248,0.48484848484848486,0.23030303030303031,0.693939393939394,0.0028158633318761373,0.03095026584951153
SUBTYPE02,original_glrlm_LongRunLowGrayLevelEmphasis,15,88,-0.5645273874104749,-0.3485582035829461,-0.4621212121212121,-0.6545454545454545,-0.23939393939393938,0.004414534405218243,0.031339307877657555
SUBTYPE02,original_glszm_GrayLevelVariance,15,88,0.7763656081653529,0.11336767329220551,0.4681818181818182,0.19090909090909092,0.7181818181818181,0.0039227056676146895,0.031339307877657555
SUBTYPE02,original_glszm_SmallAreaHighGrayLevelEmphasis,15,88,0.3998075442499574,-0.41527615145258023,0.4727272727272727,0.26356060606060605,0.6666666666666666,0.003587091028023611,0.031339307877657555
SUBTYPE02,original_glszm_ZonePercentage,15,88,0.29505513618948875,-0.3742392088622192,0.48484848484848486,0.23632575757575758,0.7182196969696967,0.0028158633318761373,0.03095026584951153
SUBTYPE02,original_gldm_DependenceNonUniformityNormalized,15,88,0.2729954200788416,-0.3343656758054069,0.48484848484848486,0.2696590909090909,0.6712499999999998,0.0028158633318761373,0.03095026584951153
SUBTYPE02,original_gldm_DependenceVariance,15,88,-0.5122029940115814,0.02082292985194976,-0.47878787878787876,-0.6636363636363637,-0.2636363636363636,0.003180231758959269,0.031070814799840002
SUBTYPE02,original_gldm_SmallDependenceHighGrayLevelEmphasis,15,88,0.16880085293961167,-0.32364395072121754,0.5318181818181819,0.32272727272727275,0.7151893939393937,0.0010492038257508584,0.022162624100343316
SUBTYPE02,original_ngtdm_Complexity,15,88,0.21122269692388895,-0.22213795491744004,0.44545454545454544,0.19840909090909092,0.6803030303030303,0.006068270462054478,0.03834809805881649
SUBTYPE02,original_ngtdm_Contrast,15,88,0.34490480098886545,-0.31736011899868094,0.42424242424242425,0.17571969696969697,0.6636742424242422,0.008970487403204287,0.04436491052671685
SUBTYPE02,log-sigma-1-0-mm-3D_firstorder_10Percentile,15,88,-0.7919458644124862,0.05871541657533098,-0.553030303030303,-0.7697348484848484,-0.2878787878787879,0.0006546925265394709,0.022162624100343316
SUBTYPE02,log-sigma-1-0-mm-3D_firstorder_90Percentile,15,88,0.7411531346527261,0.03885520594314501,0.5242424242424243,0.25606060606060604,0.7439772727272724,0.00123685543325516,0.022162624100343316
SUBTYPE02,log-sigma-1-0-mm-3D_firstorder_InterquartileRange,15,88,0.8191597253718829,-0.009980963358063102,0.5909090909090909,0.3423863636363636,0.8045833333333331,0.000270929336993375,0.017610406904569373
SUBTYPE02,log-sigma-1-0-mm-3D_glcm_ClusterProminence,15,88,0.8297902637327866,-0.3520222120556728,0.603030303030303,0.36363636363636365,0.8121212121212121,0.00020207014987432868,0.017610406904569373
SUBTYPE02,log-sigma-1-0-mm-3D_glcm_ClusterShade,15,88,-0.31932791249263753,0.3648298186484535,-0.48333333333333334,-0.7545833333333333,-0.17727272727272728,0.0029031952643428613,0.03095026584951153
SUBTYPE02,log-sigma-1-0-mm-3D_glcm_Contrast,15,88,0.39112059136085875,-0.3757621035704452,0.5909090909090909,0.3787878787878788,0.7803409090909088,0.000270929336993375,0.017610406904569373
