subtype_id,gene,reference_population,direction,subtype_mutated_n,subtype_n,subtype_frequency,rest_mutated_n,rest_n,rest_frequency,odds_ratio,ci_low,ci_high,p_value,driver_panel_member,q_global,q_driver
SUBTYPE05,SEL1L2,candidate_rest,depleted,0,27,0.0,1,76,0.013157894736842105,0.0,0.03619021688896401,23.14167660983278,1.0,False,1.0,
SUBTYPE05,SELENOI,candidate_rest,enriched,1,27,0.037037037037037035,0,76,0.0,inf,0.3422357576587059,219.15341782097425,0.262135922330097,False,1.0,
SUBTYPE05,SELENON,candidate_rest,depleted,0,27,0.0,1,76,0.013157894736842105,0.0,0.03619021688896401,23.14167660983278,1.0,False,1.0,
SUBTYPE05,SELL,candidate_rest,enriched,1,27,0.037037037037037035,0,76,0.0,inf,0.3422357576587059,219.15341782097425,0.262135922330097,False,1.0,
SUBTYPE05,SEMA3A,candidate_rest,depleted,0,27,0.0,1,76,0.013157894736842105,0.0,0.03619021688896401,23.14167660983278,1.0,False,1.0,
SUBTYPE05,SEMA3E,candidate_rest,depleted,0,27,0.0,1,76,0.013157894736842105,0.0,0.03619021688896401,23.14167660983278,1.0,False,1.0,
SUBTYPE05,SEMA4A,candidate_rest,depleted,0,27,0.0,1,76,0.013157894736842105,0.0,0.03619021688896401,23.14167660983278,1.0,False,1.0,
SUBTYPE05,SEMA6C,candidate_rest,enriched,1,27,0.037037037037037035,0,76,0.0,inf,0.3422357576587059,219.15341782097425,0.262135922330097,False,1.0,
SUBTYPE05,SEMA6D,candidate_rest,depleted,0,27,0.0,1,76,0.013157894736842105,0.0,0.03619021688896401,23.14167660983278,1.0,False,1.0,
SUBTYPE05,SENP6,candidate_rest,depleted,0,27,0.0,1,76,0.013157894736842105,0.0,0.03619021688896401,23.14167660983278,1.0,False,1.0,
SUBTYPE05,SEPHS1,candidate_rest,depleted,0,27,0.0,1,76,0.013157894736842105,0.0,0.03619021688896401,23.14167660983278,1.0,False,1.0,
SUBTYPE05,SEPTIN10,candidate_rest,depleted,0,27,0.0,1,76,0.013157894736842105,0.0,0.03619021688896401,23.14167660983278,1.0,False,1.0,
SUBTYPE05,SEPTIN11,candidate_rest,depleted,0,27,0.0,1,76,0.013157894736842105,0.0,0.03619021688896401,23.14167660983278,1.0,False,1.0,
SUBTYPE05,SEPTIN3,candidate_rest,depleted,0,27,0.0,1,76,0.013157894736842105,0.0,0.03619021688896401,23.14167660983278,1.0,False,1.0,
SUBTYPE05,SERINC4,candidate_rest,enriched,1,27,0.037037037037037035,0,76,0.0,inf,0.3422357576587059,219.15341782097425,0.262135922330097,False,1.0,
SUBTYPE05,SERPINA10,candidate_rest,depleted,0,27,0.0,1,76,0.013157894736842105,0.0,0.03619021688896401,23.14167660983278,1.0,False,1.0,
SUBTYPE05,SERPINA3,candidate_rest,enriched,1,27,0.037037037037037035,0,76,0.0,inf,0.3422357576587059,219.15341782097425,0.262135922330097,False,1.0,
SUBTYPE05,SERPINB13,candidate_rest,enriched,1,27,0.037037037037037035,0,76,0.0,inf,0.3422357576587059,219.15341782097425,0.262135922330097,False,1.0,
SUBTYPE05,SERPINB5,candidate_rest,enriched,1,27,0.037037037037037035,0,76,0.0,inf,0.3422357576587059,219.15341782097425,0.262135922330097,False,1.0,
SUBTYPE05,SERPINB6,candidate_rest,depleted,0,27,0.0,1,76,0.013157894736842105,0.0,0.03619021688896401,23.14167660983278,1.0,False,1.0,
SUBTYPE05,SERPINB8,candidate_rest,depleted,0,27,0.0,1,76,0.013157894736842105,0.0,0.03619021688896401,23.14167660983278,1.0,False,1.0,
SUBTYPE05,SERPINF2,candidate_rest,depleted,0,27,0.0,1,76,0.013157894736842105,0.0,0.03619021688896401,23.14167660983278,1.0,False,1.0,
SUBTYPE05,SERPING1,candidate_rest,enriched,1,27,0.037037037037037035,0,76,0.0,inf,0.3422357576587059,219.15341782097425,0.262135922330097,False,1.0,
SUBTYPE05,SESN2,candidate_rest,depleted,0,27,0.0,1,76,0.013157894736842105,0.0,0.03619021688896401,23.14167660983278,1.0,False,1.0,
SUBTYPE05,SESTD1,candidate_rest,depleted,0,27,0.0,2,76,0.02631578947368421,0.0,0.025208441668462166,11.645580714972827,1.0,False,1.0,
SUBTYPE05,SETBP1,candidate_rest,depleted,0,27,0.0,1,76,0.013157894736842105,0.0,0.03619021688896401,23.14167660983278,1.0,False,1.0,
SUBTYPE05,SETD2,candidate_rest,depleted,1,27,0.037037037037037035,5,76,0.06578947368421052,0.5461538461538461,0.06090550200753568,4.89748895972868,1.0,True,1.0,1.0
SUBTYPE05,SEZ6,candidate_rest,depleted,0,27,0.0,1,76,0.013157894736842105,0.0,0.03619021688896401,23.14167660983278,1.0,False,1.0,
SUBTYPE05,SEZ6L,candidate_rest,depleted,0,27,0.0,1,76,0.013157894736842105,0.0,0.03619021688896401,23.14167660983278,1.0,False,1.0,
SUBTYPE05,SF3A3,candidate_rest,depleted,0,27,0.0,1,76,0.013157894736842105,0.0,0.03619021688896401,23.14167660983278,1.0,False,1.0,
SUBTYPE05,SF3B1,candidate_rest,enriched,1,27,0.037037037037037035,0,76,0.0,inf,0.3422357576587059,219.15341782097425,0.262135922330097,False,1.0,
SUBTYPE05,SF3B2,candidate_rest,depleted,0,27,0.0,1,76,0.013157894736842105,0.0,0.03619021688896401,23.14167660983278,1.0,False,1.0,
SUBTYPE05,SFMBT1,candidate_rest,depleted,0,27,0.0,1,76,0.013157894736842105,0.0,0.03619021688896401,23.14167660983278,1.0,False,1.0,
SUBTYPE05,SFRP4,candidate_rest,enriched,1,27,0.037037037037037035,0,76,0.0,inf,0.3422357576587059,219.15341782097425,0.262135922330097,False,1.0,
SUBTYPE05,SFSWAP,candidate_rest,enriched,1,27,0.037037037037037035,0,76,0.0,inf,0.3422357576587059,219.15341782097425,0.262135922330097,False,1.0,
SUBTYPE05,SGCZ,candidate_rest,depleted,0,27,0.0,1,76,0.013157894736842105,0.0,0.03619021688896401,23.14167660983278,1.0,False,1.0,
SUBTYPE05,SGPL1,candidate_rest,depleted,0,27,0.0,1,76,0.013157894736842105,0.0,0.03619021688896401,23.14167660983278,1.0,False,1.0,
SUBTYPE05,SGPP1,candidate_rest,enriched,1,27,0.037037037037037035,0,76,0.0,inf,0.3422357576587059,219.15341782097425,0.262135922330097,False,1.0,
SUBTYPE05,SGPP2,candidate_rest,enriched,1,27,0.037037037037037035,0,76,0.0,inf,0.3422357576587059,219.15341782097425,0.262135922330097,False,1.0,
SUBTYPE05,SH2B2,candidate_rest,depleted,0,27,0.0,1,76,0.013157894736842105,0.0,0.03619021688896401,23.14167660983278,1.0,False,1.0,
SUBTYPE05,SH2D3A,candidate_rest,depleted,0,27,0.0,1,76,0.013157894736842105,0.0,0.03619021688896401,23.14167660983278,1.0,False,1.0,
SUBTYPE05,SH2D3C,candidate_rest,depleted,0,27,0.0,1,76,0.013157894736842105,0.0,0.03619021688896401,23.14167660983278,1.0,False,1.0,
SUBTYPE05,SH3BGR,candidate_rest,depleted,0,27,0.0,1,76,0.013157894736842105,0.0,0.03619021688896401,23.14167660983278,1.0,False,1.0,
SUBTYPE05,SH3BP2,candidate_rest,depleted,0,27,0.0,1,76,0.013157894736842105,0.0,0.03619021688896401,23.14167660983278,1.0,False,1.0,
SUBTYPE05,SH3BP4,candidate_rest,depleted,0,27,0.0,2,76,0.02631578947368421,0.0,0.025208441668462166,11.645580714972827,1.0,False,1.0,
