endpoint,reference_population,subtype_id,n,available_n,missing_n,event_n,censored_n,median_survival_days,low_event_count
OS,core,SUBTYPE01,10,10,0,1,9,,True
OS,core,SUBTYPE02,15,15,0,1,14,,True
OS,core,SUBTYPE03,11,11,0,0,11,,True
OS,core,SUBTYPE04,16,16,0,7,9,2299.0,False
OS,core,SUBTYPE05,27,27,0,5,22,,False
