subtype_id,gene,reference_population,wald_stat,log2_fold_change,p_value,padj,target_n,rest_n
SUBTYPE01,TSPAN6,core_rest,0.20467277179008755,0.04181666620213743,0.8378277950090706,0.9916313246004353,10,69
SUBTYPE01,TNMD,core_rest,-2.060610080962549,-1.3257078562366666,0.03934025423505655,0.41420527154059184,10,69
SUBTYPE01,DPM1,core_rest,-0.8244312996241716,-0.12335619408934682,0.4096945364620188,0.8590695493162827,10,69
SUBTYPE01,SCYL3,core_rest,-0.07679022189211039,-0.008304401935150087,0.9387904295697509,0.999166499548533,10,69
SUBTYPE01,C1orf112,core_rest,-0.2617635706405005,-0.05331877250219235,0.7935037264026248,0.984305103071017,10,69
SUBTYPE01,FGR,core_rest,0.24581249458415091,0.06882017860620579,0.8058273844965662,0.9869909694882428,10,69
SUBTYPE01,CFH,core_rest,-0.7056027605359697,-0.3385196149819031,0.48043520706499454,0.8901938681729149,10,69
SUBTYPE01,FUCA2,core_rest,-1.7537195100107725,-0.32326600075340006,0.07947858081804174,0.540217280715102,10,69
SUBTYPE01,GCLC,core_rest,-0.06428141069781278,-0.012928361699866539,0.9487461549526621,0.999166499548533,10,69
SUBTYPE01,NFYA,core_rest,-1.5150190372541075,-0.16938411267749853,0.1297675831252569,0.6254176435213649,10,69
SUBTYPE01,STPG1,core_rest,-0.1492185013671541,-0.024958697466129838,0.8813812214523946,0.9971838063592291,10,69
SUBTYPE01,NIPAL3,core_rest,0.02435082636897363,0.005668752722071227,0.9805727715534933,0.999166499548533,10,69
SUBTYPE01,LAS1L,core_rest,-1.0164029220105761,-0.18441506145685643,0.30943755474596824,0.8008196101777901,10,69
SUBTYPE01,ENPP4,core_rest,-0.16957564020052646,-0.04371730962479749,0.8653438813625236,0.9937522944626669,10,69
SUBTYPE01,SEMA3F,core_rest,-0.36553503981549945,-0.0870003528252309,0.7147120556882752,0.9670023550288919,10,69
SUBTYPE01,CFTR,core_rest,-1.2571536134443269,-0.6517553975224148,0.20869801646727892,0.7239033599476193,10,69
SUBTYPE01,ANKIB1,core_rest,-0.7822060554560261,-0.16638151630363057,0.4340934863345379,0.8708121786407187,10,69
SUBTYPE01,CYP51A1,core_rest,-0.6006648483831666,-0.24161077254716035,0.5480632362199396,0.9160312482548177,10,69
SUBTYPE01,KRIT1,core_rest,-0.23655230222891785,-0.046628045503115924,0.8130041272794872,0.988842561499186,10,69
SUBTYPE01,RAD52,core_rest,0.007771889583185421,0.001984839720959836,0.9937989917192016,0.9999389178101825,10,69
SUBTYPE01,BAD,core_rest,-1.0302924317257234,-0.289414991785434,0.3028727507485247,0.7968867553551379,10,69
SUBTYPE01,LAP3,core_rest,-0.7852291862693767,-0.1961458234775297,0.43231920611001795,0.8703516238493445,10,69
SUBTYPE01,CD99,core_rest,-0.9217218729816333,-0.22823623696207732,0.3566736683513637,0.8285028463241463,10,69
SUBTYPE01,HS3ST1,core_rest,0.25181344972144937,0.08258976761799268,0.8011852608762768,0.98546547947479,10,69
SUBTYPE01,AOC1,core_rest,-2.643374206079954,-1.5490405860867984,0.008208426051535506,0.2140581225895729,10,69
SUBTYPE01,WNT16,core_rest,0.8766167138863031,0.4447448624943333,0.3806948578086651,0.841713861102395,10,69
SUBTYPE01,HECW1,core_rest,-1.950999408403167,-1.0725373732578618,0.05105711615987243,0.4584656195115465,10,69
SUBTYPE01,MAD1L1,core_rest,0.12707469574306438,0.036362738535349354,0.8988812789499541,0.999166499548533,10,69
SUBTYPE01,LASP1,core_rest,0.3950999325814753,0.06728485658530586,0.6927691386225225,0.9614310512814872,10,69
