subtype_id,gene,subtype_mutated_n,subtype_n,subtype_frequency,rest_mutated_n,rest_n,rest_frequency,odds_ratio,ci_low,ci_high,p_value,driver_panel_member,q_global,q_driver
SUBTYPE01,A2M,1,10,0.1,0,93,0.0,inf,1.1227334905869442,776.5006846317198,0.09708737864077671,False,1.0,
SUBTYPE01,AAAS,0,10,0.0,1,93,0.010752688172043012,0.0,0.11231277857980526,76.77736202605712,1.0,False,1.0,
SUBTYPE01,AADAC,0,10,0.0,1,93,0.010752688172043012,0.0,0.11231277857980526,76.77736202605712,1.0,False,1.0,
SUBTYPE01,AADACL3,0,10,0.0,1,93,0.010752688172043012,0.0,0.11231277857980526,76.77736202605712,1.0,False,1.0,
SUBTYPE01,AAGAB,0,10,0.0,1,93,0.010752688172043012,0.0,0.11231277857980526,76.77736202605712,1.0,False,1.0,
SUBTYPE01,AAMDC,1,10,0.1,0,93,0.0,inf,1.1227334905869442,776.5006846317198,0.09708737864077671,False,1.0,
SUBTYPE01,AAR2,0,10,0.0,1,93,0.010752688172043012,0.0,0.11231277857980526,76.77736202605712,1.0,False,1.0,
SUBTYPE01,AARS2,0,10,0.0,1,93,0.010752688172043012,0.0,0.11231277857980526,76.77736202605712,1.0,False,1.0,
SUBTYPE01,AASDH,0,10,0.0,3,93,0.03225806451612903,0.0,0.059410107328382075,25.518911353871065,1.0,False,1.0,
SUBTYPE01,AASDHPPT,0,10,0.0,1,93,0.010752688172043012,0.0,0.11231277857980526,76.77736202605712,1.0,False,1.0,
SUBTYPE01,AASS,0,10,0.0,1,93,0.010752688172043012,0.0,0.11231277857980526,76.77736202605712,1.0,False,1.0,
SUBTYPE01,ABCA1,0,10,0.0,2,93,0.021505376344086023,0.0,0.07829070983055497,38.79835841292474,1.0,False,1.0,
SUBTYPE01,ABCA10,0,10,0.0,1,93,0.010752688172043012,0.0,0.11231277857980526,76.77736202605712,1.0,False,1.0,
SUBTYPE01,ABCA12,0,10,0.0,1,93,0.010752688172043012,0.0,0.11231277857980526,76.77736202605712,1.0,False,1.0,
SUBTYPE01,ABCA13,0,10,0.0,3,93,0.03225806451612903,0.0,0.059410107328382075,25.518911353871065,1.0,False,1.0,
SUBTYPE01,ABCA4,0,10,0.0,2,93,0.021505376344086023,0.0,0.07829070983055497,38.79835841292474,1.0,False,1.0,
SUBTYPE01,ABCA6,0,10,0.0,1,93,0.010752688172043012,0.0,0.11231277857980526,76.77736202605712,1.0,False,1.0,
SUBTYPE01,ABCA7,0,10,0.0,1,93,0.010752688172043012,0.0,0.11231277857980526,76.77736202605712,1.0,False,1.0,
SUBTYPE01,ABCB1,1,10,0.1,1,93,0.010752688172043012,10.222222222222221,0.5882684468194872,177.62949504677115,0.1856082238720731,False,1.0,
SUBTYPE01,ABCB11,0,10,0.0,1,93,0.010752688172043012,0.0,0.11231277857980526,76.77736202605712,1.0,False,1.0,
SUBTYPE01,ABCB4,1,10,0.1,0,93,0.0,inf,1.1227334905869442,776.5006846317198,0.09708737864077671,False,1.0,
SUBTYPE01,ABCC12,0,10,0.0,1,93,0.010752688172043012,0.0,0.11231277857980526,76.77736202605712,1.0,False,1.0,
SUBTYPE01,ABCC3,0,10,0.0,1,93,0.010752688172043012,0.0,0.11231277857980526,76.77736202605712,1.0,False,1.0,
SUBTYPE01,ABCC4,0,10,0.0,3,93,0.03225806451612903,0.0,0.059410107328382075,25.518911353871065,1.0,False,1.0,
SUBTYPE01,ABCC6,0,10,0.0,1,93,0.010752688172043012,0.0,0.11231277857980526,76.77736202605712,1.0,False,1.0,
SUBTYPE01,ABCC9,0,10,0.0,1,93,0.010752688172043012,0.0,0.11231277857980526,76.77736202605712,1.0,False,1.0,
SUBTYPE01,ABCD3,0,10,0.0,1,93,0.010752688172043012,0.0,0.11231277857980526,76.77736202605712,1.0,False,1.0,
SUBTYPE01,ABCD4,0,10,0.0,1,93,0.010752688172043012,0.0,0.11231277857980526,76.77736202605712,1.0,False,1.0,
SUBTYPE01,ABCG1,0,10,0.0,1,93,0.010752688172043012,0.0,0.11231277857980526,76.77736202605712,1.0,False,1.0,
SUBTYPE01,ABCG8,0,10,0.0,1,93,0.010752688172043012,0.0,0.11231277857980526,76.77736202605712,1.0,False,1.0,
SUBTYPE01,ABHD12,0,10,0.0,1,93,0.010752688172043012,0.0,0.11231277857980526,76.77736202605712,1.0,False,1.0,
SUBTYPE01,ABHD18,0,10,0.0,1,93,0.010752688172043012,0.0,0.11231277857980526,76.77736202605712,1.0,False,1.0,
SUBTYPE01,ABI2,1,10,0.1,0,93,0.0,inf,1.1227334905869442,776.5006846317198,0.09708737864077671,False,1.0,
SUBTYPE01,ABL1,0,10,0.0,1,93,0.010752688172043012,0.0,0.11231277857980526,76.77736202605712,1.0,False,1.0,
SUBTYPE01,ABL2,0,10,0.0,1,93,0.010752688172043012,0.0,0.11231277857980526,76.77736202605712,1.0,False,1.0,
SUBTYPE01,ABTB2,0,10,0.0,2,93,0.021505376344086023,0.0,0.07829070983055497,38.79835841292474,1.0,False,1.0,
SUBTYPE01,AC013489.1,0,10,0.0,1,93,0.010752688172043012,0.0,0.11231277857980526,76.77736202605712,1.0,False,1.0,
SUBTYPE01,AC090517.4,0,10,0.0,2,93,0.021505376344086023,0.0,0.07829070983055497,38.79835841292474,1.0,False,1.0,
SUBTYPE01,AC098582.1,0,10,0.0,1,93,0.010752688172043012,0.0,0.11231277857980526,76.77736202605712,1.0,False,1.0,
SUBTYPE01,AC109583.1,0,10,0.0,2,93,0.021505376344086023,0.0,0.07829070983055497,38.79835841292474,1.0,False,1.0,
SUBTYPE01,AC245033.1,0,10,0.0,1,93,0.010752688172043012,0.0,0.11231277857980526,76.77736202605712,1.0,False,1.0,
SUBTYPE01,ACACA,1,10,0.1,0,93,0.0,inf,1.1227334905869442,776.5006846317198,0.09708737864077671,False,1.0,
SUBTYPE01,ACAD10,0,10,0.0,1,93,0.010752688172043012,0.0,0.11231277857980526,76.77736202605712,1.0,False,1.0,
SUBTYPE01,ACADM,0,10,0.0,1,93,0.010752688172043012,0.0,0.11231277857980526,76.77736202605712,1.0,False,1.0,
SUBTYPE01,ACADS,1,10,0.1,1,93,0.010752688172043012,10.222222222222221,0.5882684468194872,177.62949504677115,0.1856082238720731,False,1.0,
SUBTYPE01,ACAN,0,10,0.0,2,93,0.021505376344086023,0.0,0.07829070983055497,38.79835841292474,1.0,False,1.0,
SUBTYPE01,ACAP1,0,10,0.0,1,93,0.010752688172043012,0.0,0.11231277857980526,76.77736202605712,1.0,False,1.0,
SUBTYPE01,ACD,0,10,0.0,1,93,0.010752688172043012,0.0,0.11231277857980526,76.77736202605712,1.0,False,1.0,
SUBTYPE01,ACE,0,10,0.0,2,93,0.021505376344086023,0.0,0.07829070983055497,38.79835841292474,1.0,False,1.0,
SUBTYPE01,ACE2,0,10,0.0,1,93,0.010752688172043012,0.0,0.11231277857980526,76.77736202605712,1.0,False,1.0,
SUBTYPE01,ACIN1,0,10,0.0,2,93,0.021505376344086023,0.0,0.07829070983055497,38.79835841292474,1.0,False,1.0,
SUBTYPE01,ACKR3,1,10,0.1,0,93,0.0,inf,1.1227334905869442,776.5006846317198,0.09708737864077671,False,1.0,
SUBTYPE01,ACLY,0,10,0.0,1,93,0.010752688172043012,0.0,0.11231277857980526,76.77736202605712,1.0,False,1.0,
SUBTYPE01,ACOT8,0,10,0.0,1,93,0.010752688172043012,0.0,0.11231277857980526,76.77736202605712,1.0,False,1.0,
SUBTYPE01,ACP5,0,10,0.0,1,93,0.010752688172043012,0.0,0.11231277857980526,76.77736202605712,1.0,False,1.0,
SUBTYPE01,ACSF2,0,10,0.0,1,93,0.010752688172043012,0.0,0.11231277857980526,76.77736202605712,1.0,False,1.0,
SUBTYPE01,ACSL6,0,10,0.0,1,93,0.010752688172043012,0.0,0.11231277857980526,76.77736202605712,1.0,False,1.0,
SUBTYPE01,ACSM2A,0,10,0.0,1,93,0.010752688172043012,0.0,0.11231277857980526,76.77736202605712,1.0,False,1.0,
SUBTYPE01,ACSM5,0,10,0.0,1,93,0.010752688172043012,0.0,0.11231277857980526,76.77736202605712,1.0,False,1.0,
SUBTYPE01,ACSS1,0,10,0.0,1,93,0.010752688172043012,0.0,0.11231277857980526,76.77736202605712,1.0,False,1.0,
SUBTYPE01,ACSS3,0,10,0.0,1,93,0.010752688172043012,0.0,0.11231277857980526,76.77736202605712,1.0,False,1.0,
SUBTYPE01,ACTG2,0,10,0.0,1,93,0.010752688172043012,0.0,0.11231277857980526,76.77736202605712,1.0,False,1.0,
SUBTYPE01,ACTL7B,0,10,0.0,1,93,0.010752688172043012,0.0,0.11231277857980526,76.77736202605712,1.0,False,1.0,
SUBTYPE01,ACTL9,0,10,0.0,1,93,0.010752688172043012,0.0,0.11231277857980526,76.77736202605712,1.0,False,1.0,
SUBTYPE01,ACTN2,1,10,0.1,0,93,0.0,inf,1.1227334905869442,776.5006846317198,0.09708737864077671,False,1.0,
SUBTYPE01,ACTN4,0,10,0.0,1,93,0.010752688172043012,0.0,0.11231277857980526,76.77736202605712,1.0,False,1.0,
