subtype_id,collection,pathway,reference_population,ES,NES,nominal_p,fdr_q,fwer_p,lead_genes,target_n,rest_n,direction,cliffs_delta,q_value,subtype_median,rest_median,consistent_patient_n,subtype_n,consistency_fraction,direction_concordant,strong_concordant_signal
SUBTYPE01,HALLMARK,HALLMARK_COMPLEMENT,core_rest,-0.4245705407421797,-1.600028172050697,0.001,0.006517386662816893,0.068,F5;C2;TMPRSS6;LTF;PRSS3;MMP13;PRKCD;SCG3;KYNU;KLK1;F7;S100A9;PCSK9;ITIH1;KLKB1;CR1;CR2;TIMP1;ATOX1;RABIF;MMP15;MMP12;SRC;FDX1;KIF2A;RNF4;LGALS3;CTSL;PPP4C;ACTN2;F8;F2;CD59;HSPA5;IL6;PHEX;ME1;DGKG;RCE1;PIM1;USP14;C1QA;HSPA1A;PLAUR;CTSB;CASP3;F3;PRDM4;IRF7;PRSS36;ITGAM;GRB2;SERPINE1;CTSV;LGMN;CTSS;S100A13;PREP;S100A12;CDK5R1;CD55;CASP5;CPM;GNB4;KCNIP3;CFB;CTSC;C1S;CTSD;PLA2G7;CASP9;CP;C9;CEBPB;C1R;C1QC;ERAP2;MAFF;PFN1;DYRK2;GMFB;CA2;PSEN1;PDP1;SIRT6;FCER1G;LAP3;SERPINA1;FN1;CDA;MMP8;PIK3R5;PLG;RBSN;F10;PIK3CA;RHOG;SERPING1;CFH;JAK2;PLEK;SERPINB2;RAF1;GATA3;APOA4;ANXA5,10,69,down,-0.0782608695652174,0.9666713037821678,2314.4764492323147,2320.2861237466313,5,10,0.5,True,False
SUBTYPE01,HALLMARK,HALLMARK_DNA_REPAIR,core_rest,-0.30667467000802434,-1.1378286781395073,0.21384928716904278,0.29897076470272177,1.0,CCNO;HPRT1;SEC61A1;CSTF3;NCBP2;BCAP31;COX17;TK2;NME1;POLD4;AK1;USP11;POLA2;APRT;GPX4;ADA;NUDT9;EDF1;RAE1;SURF1;ADRM1;DDB1;SAC3D1;NME3;POLR2G;RBX1;TAF13;ITPA;SNAPC5;POLR2J;SNAPC4;POLR1C;NPR2;DGUOK;POLR2H;FEN1;GTF3C5;MRPL40;DGCR8;CANT1;AAAS;GTF2H5;TARBP2;RALA;POLR2D;DUT;POLR1H;SDCBP;EIF1B;IMPDH2;NT5C3A;GTF2A2;POLR2F;CDA;GSDME;RAD51;UPF3B;ELL;CETN2;ARL6IP1;NT5C;PCNA;RFC4;ADCY6;VPS37B;MPC2;GTF2H1;POLR2K;TSG101;MPG;NELFB,10,69,up,0.11884057971014493,0.9666713037821678,2236.106654042173,2245.2702422566417,5,10,0.5,False,False
SUBTYPE01,HALLMARK,HALLMARK_E2F_TARGETS,core_rest,-0.2473254969759921,-0.9314588371628285,0.649546827794562,0.7172165075650387,1.0,HMGB3;CKS2;CTPS1;UBE2S;CDKN1A;E2F8;CCNE1;CDC25A;MYBL2;H2AX;GSPT1;CDC25B;RBBP7;JPT1;NME1;DONSON;POLA2;ORC6;SNRPB;KPNA2;HMMR;CDKN3;CDC20;SPC24;RRM2;CDCA3;NAA38;HMGA1;TBRG4;UNG;AURKA;TUBG1;MKI67;BIRC5;TK1;PTTG1;XPO1;MTHFD2;KIF2C;SUV39H1;UBE2T;DDX39A;POP7;PRIM2;NOP56;AURKB;KIF4A;CENPM;DLGAP5;SMC1A;CENPE;CIT;DUT;SLBP;CCNB2;CDCA8;MELK;TOP2A;KIF18B;TACC3;PLK1;PRKDC;MXD3;MLH1;NUP205;TIMELESS;RAN;DEPDC1;TFRC;SRSF2;HUS1;MCM6,10,69,up,0.12753623188405797,0.9666713037821678,766.6894082662657,729.3692458504129,7,10,0.7,False,False
SUBTYPE01,HALLMARK,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,core_rest,-0.3180369300521043,-1.1926471269057184,0.11032388663967611,0.21240375172384973,0.998,COMP;LRRC15;PFN2;COL7A1;COL11A1;SLC6A8;QSOX1;FBN2;ADAM12;COL8A2;SDC4;TNFRSF12A;LAMC2;GREM1;SDC1;TIMP1;PVR;CAPG;GADD45B;GPC1;PLOD2;AREG;SPOCK1;BASP1;SLIT2;SFRP4;CD59;IL6;FSTL1;COL6A2;DST;SAT1;NNMT;FMOD;PLAUR;MMP2;SERPINH1;ITGB3;IGFBP2;GLIPR1;MFAP5;SERPINE1;SGCG;FUCA1;TGFB1;LAMA3;P3H1;CD44;TPM2;LOXL1;SERPINE2;ECM1;HTRA1;COL5A2;CALU;PTX3;TPM4;MSX1;PPIB;WIPF1;NT5E;FAP;DPYSL3;OXTR;PLOD3;ITGA5;TGFBI;PRRX1;PRSS2;LGALS1;PLOD1;PDLIM4;SCG2;CADM1;FSTL3;MXRA5;IGFBP4;COLGALT1,10,69,up,0.16231884057971013,0.9666713037821678,3205.423386912364,2993.5247134064366,8,10,0.8,False,False
SUBTYPE01,HALLMARK,HALLMARK_ESTROGEN_RESPONSE_EARLY,core_rest,-0.43213470408785526,-1.6324082089729923,0.001,0.005106774207029128,0.05,KCNK15;TSKU;SLC19A2;KRT15;TFAP2C;GREB1;TUBB2B;TJP3;TMPRSS3;CCN5;PTGES;PPIF;CLDN7;TIPARP;SFN;KRT19;KRT8;UNC119;RHOBTB3;CALCR;GLA;ANXA9;NBL1;KRT13;CALB2;TMEM164;ALDH3B1;DHRS2;ABHD2;TPBG;OLFM1;SCNN1A;LAD1;B4GALT1;OVOL2;KRT18;REEP1;RRP12;WFS1;AREG;KLK10;FLNB;AMFR;DHCR7;SLC7A5;P2RY2;SYT12;SYBU;XBP1;IL17RB;RBBP8;SIAH2;SULT2B1;CLIC3;ITPK1;AQP3;PDLIM3;MREG;CA12;ABCA3;SLC22A5;SLC26A2;FASN;MLPH;NADSYN1;CD44;ESRP2;SEC14L2;RETREG1;SLC24A3;CISH;SEMA3B;PMAIP1;FHL2;ASB13;MINDY1;CANT1,10,69,down,-0.14492753623188406,0.9666713037821678,1733.4865462568237,1776.1225401838929,6,10,0.6,True,False
SUBTYPE01,HALLMARK,HALLMARK_ESTROGEN_RESPONSE_LATE,core_rest,-0.49236660475232247,-1.863406512121492,0.001,0.001,0.002,GJB3;PKP3;MDK;LTF;PCP4;TFAP2C;TRIM29;ST14;TJP3;TMPRSS3;DNAJC12;CCN5;PTGES;PPIF;SFN;CCNA1;AGR2;PRLR;SORD;TST;KRT19;HPRT1;CALCR;S100A9;GLA;ANXA9;LAMC2;NBL1;CPE;KRT13;SLC2A8;ALDH3B1;SERPINA3;DHRS2;COX6C;ABHD2;TNNC1;TPBG;PTGER3;OLFM1;SCNN1A;OVOL2;ISG20;DCXR;WFS1;AREG;KLK10;FLNB;AMFR;DHCR7;PLXNB1;GFUS;SLC7A5;SCUBE2;GALE;CDC20;XBP1;IL17RB;RBBP8;SIAH2;KIF20A;SULT2B1;CLIC3;ITPK1;PDLIM3;CA12;ABCA3;LARGE1;TSPAN13;LSR;CKB;SLC22A5;SLC26A2;ASCL1;TH;SERPINA5;CD44;SLC24A3;STIL;CISH;SEMA3B;FGFR3;IDH2;FABP5;CD9;ETFB;RAB31;NMU;CDC6;SLC29A1;HOMER2;ELOVL5;DYNLT3;BATF,10,69,down,-0.5043478260869565,0.5262019648415479,1731.3294556708297,1924.3590746071495,10,10,1.0,True,False
SUBTYPE01,HALLMARK,HALLMARK_FATTY_ACID_METABOLISM,core_rest,-0.4487362070647859,-1.6803117152391043,0.001,0.004208879840958073,0.029,VNN1;BMPR1B;REEP6;G0S2;FABP1;HCCS;PDHA1;CBR1;ECI2;HSP90AA1;HSPH1;CYP1A1;GABARAPL1;CEL;FH;ACOX1;ERP29;SDHA;SUCLG1;GPD1;ACSL4;GSTZ1;ACOT8;IDH1;LTC4S;ADIPOR2;CPOX;MDH1;PTS;PCBD1;HSD17B10;DECR1;ME1;HSDL2;UROS;ACSL5;ADH1C;PDHB;ACAA1;PRDX6;GAPDHS;SMS;GLUL;ECHS1;HADH;SLC22A5;ALAD;FASN;TP53INP2;SDHC;KMT5A;DLD;IDH3G;ODC1;MAOA;MDH2;RDH11;CRAT;BLVRA;ALDOA;GCDH;ELOVL5;ACADVL;IL4I1;IDH3B;ECI1;HSD17B4;S100A10;LGALS1;UROD;ENO3;CA2;TDO2;RAP1GDS1;HPGD;EHHADH;ACADS;MGLL;NSDHL,10,69,down,-0.10144927536231885,0.9666713037821678,2996.202663803562,3146.5056925006647,6,10,0.6,True,False
SUBTYPE01,HALLMARK,HALLMARK_G2M_CHECKPOINT,core_rest,-0.31904975530071195,-1.2036365411834062,0.09887869520897044,0.19945564768892923,0.998,HMGB3;UPF1;CKS2;UBE2S;CDC25A;MYBL2;H2AX;GSPT1;CDC25B;TNPO2;JPT1;ATF5;E2F3;POLA2;ORC6;HSPA8;KPNA2;RAD23B;SLC7A5;UBE2C;NUP50;HMMR;CDKN3;CDC20;KNL1;SLC38A1;KIF23;HMGA1;AURKA;ORC5;MKI67;BIRC5;TGFB1;PTTG1;KMT5A;E2F4;XPO1;RAD54L;SS18;CENPF;KIF2C;SUV39H1;TROAP;EFNA5;ODC1;STIL;EGF;DDX39A;SQLE;NUP98;PRIM2;CHMP1A;CUL1;DKC1;AURKB;E2F1;KIF4A;MAPK14;BUB1;CENPA;TRAIP;SMC1A;SMARCC1;TPX2;CDC6;CENPE;TOP1;SNRPD1;DBF4;CCNB2;RBM14;ABL1;TOP2A;TTK;TACC3;POLQ;FBXO5;PLK1;CDC45;KIF15;DTYMK;CCNF;BCL3;SRSF2;HUS1;MCM6,10,69,up,0.005797101449275362,1.0,695.8019922700983,716.4683514637027,3,10,0.3,False,False
SUBTYPE01,HALLMARK,HALLMARK_GLYCOLYSIS,core_rest,-0.42199893962542223,-1.5943629416652545,0.001,0.0065471464192681135,0.074,DPYSL4;HOMER1;GMPPB;PYGB;QSOX1;B4GALT4;MET;SLC25A10;ARTN;COPB2;GALK1;BIK;SDC1;LHX9;B3GAT1;PSMC4;PC;B4GALT7;B3GNT3;TXN;POLR3K;GOT2;CHPF2;KIF2A;CHST6;IL13RA1;IDH1;TPBG;HK2;GNPDA1;G6PD;B4GALT1;GPC1;PLOD2;ISG20;MDH1;CHST2;CLDN9;VLDLR;GFUS;B4GALT2;HSPA5;B3GAT3;ME1;MIOX;CAPN5;GALE;HMMR;UGP2;TALDO1;KIF20A;GAPDHS;GLCE;KDELR3;CASP6;AURKA;RBCK1;MERTK;CHPF;ALDOB;EXT2;SDHC;FAM162A;DLD;AGL;CD44;PKM;GAL3ST1;GFPT1;PGLS;IDUA;P4HA2;GOT1;MDH2;PPIA,10,69,up,0.002898550724637681,1.0,3013.5444402879134,2972.102302648431,6,10,0.6,False,False
SUBTYPE01,HALLMARK,HALLMARK_HEDGEHOG_SIGNALING,core_rest,-0.3482225790208106,-1.0724581729863045,0.3532163742690059,0.4312623041362228,1.0,NKX6-1;L1CAM;ACHE;NRP2;VLDLR;CNTFR;SLIT1;SHH;TLE1;CDK5R1;RTN1;ADGRG1;CRMP1;CDK6,10,69,up,0.13623188405797101,0.9666713037821678,1094.9785764777225,994.7085044060459,6,10,0.6,False,False
