feature,reference_population,group_count,available_n,kruskal_p,epsilon_squared,q_value
log-sigma-1-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,core,5,79,0.0018861961730118027,0.17641515760582221,0.00515774523218566
log-sigma-1-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,core,5,79,0.7332802656727988,0.0,0.7514471191016294
log-sigma-1-0-mm-3D_glrlm_LowGrayLevelRunEmphasis,core,5,79,0.005308469288152065,0.14492350484834632,0.012128939507753707
log-sigma-1-0-mm-3D_glrlm_RunEntropy,core,5,79,0.0760681911128966,0.060288193472529186,0.11164847405279985
log-sigma-1-0-mm-3D_glrlm_RunVariance,core,5,79,0.0005403474014406584,0.21387239332255137,0.0019207661535585905
log-sigma-1-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis,core,5,79,0.022705303223804433,0.09959532461114752,0.04035512877668366
log-sigma-1-0-mm-3D_glszm_GrayLevelNonUniformity,core,5,79,0.0004479275566794005,0.2194483029490939,0.001617516176897835
log-sigma-1-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,core,5,79,0.26905830000630876,0.01598263359734861,0.3165940252476151
log-sigma-1-0-mm-3D_glszm_GrayLevelVariance,core,5,79,1.0275316921471937e-07,0.46192483766850806,6.678955998956759e-06
log-sigma-1-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,core,5,79,0.4513020054369087,0.0,0.4936115684466189
log-sigma-1-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis,core,5,79,0.011687317182674944,0.12050328809822519,0.023120562252683042
log-sigma-1-0-mm-3D_glszm_LowGrayLevelZoneEmphasis,core,5,79,0.007595962839180759,0.13388612108944334,0.01669644005713645
log-sigma-1-0-mm-3D_glszm_SizeZoneNonUniformity,core,5,79,4.023944470301312e-05,0.290298664242493,0.00023410241839249052
log-sigma-1-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,core,5,79,0.4619157640780095,0.0,0.5020712290253628
log-sigma-1-0-mm-3D_glszm_SmallAreaEmphasis,core,5,79,0.3185054993756598,0.009577933802617622,0.35960845935038205
log-sigma-1-0-mm-3D_glszm_SmallAreaHighGrayLevelEmphasis,core,5,79,0.00010033510024691664,0.2635876004744675,0.0004755465688786153
log-sigma-1-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,core,5,79,0.2122188325113292,0.02472801051914997,0.2574921834470794
log-sigma-1-0-mm-3D_glszm_ZoneEntropy,core,5,79,0.3094239359242273,0.010688959601142986,0.3555249768826349
log-sigma-1-0-mm-3D_glszm_ZonePercentage,core,5,79,4.06463539626522e-05,0.2900053822522174,0.00023410241839249052
log-sigma-1-0-mm-3D_glszm_ZoneVariance,core,5,79,0.14607393296942564,0.038021313891567154,0.19044022779681566
log-sigma-1-0-mm-3D_gldm_DependenceEntropy,core,5,79,0.0010305841821122432,0.194595109709825,0.00318990342082361
log-sigma-1-0-mm-3D_gldm_DependenceNonUniformityNormalized,core,5,79,0.024275503098523422,0.09746792678754637,0.042811449262899835
log-sigma-1-0-mm-3D_gldm_DependenceVariance,core,5,79,0.015434780057687591,0.11179271871123171,0.029261770526032724
log-sigma-1-0-mm-3D_gldm_LargeDependenceEmphasis,core,5,79,0.00038826543851947133,0.2236904420962967,0.0014721731210529953
log-sigma-1-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis,core,5,79,0.04438582781224686,0.07804596166937894,0.07086158475288534
log-sigma-1-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis,core,5,79,4.912754984110314e-05,0.28447785782042107,0.00026610756163930865
log-sigma-1-0-mm-3D_gldm_SmallDependenceEmphasis,core,5,79,0.00019483038531325177,0.24407718564364086,0.0008442650030240909
log-sigma-1-0-mm-3D_gldm_SmallDependenceHighGrayLevelEmphasis,core,5,79,2.1023400816676947e-06,0.37566915844210114,2.8134256975258857e-05
log-sigma-1-0-mm-3D_gldm_SmallDependenceLowGrayLevelEmphasis,core,5,79,0.5627327982116169,0.0,0.5954498213634551
log-sigma-1-0-mm-3D_ngtdm_Busyness,core,5,79,0.04408583964705869,0.07826671608317166,0.0706304825331398
log-sigma-1-0-mm-3D_ngtdm_Coarseness,core,5,79,0.17009198308914925,0.03266294919775895,0.2132006950566471
log-sigma-1-0-mm-3D_ngtdm_Complexity,core,5,79,2.7645077426373774e-05,0.30122854982427827,0.00017470153095833427
log-sigma-1-0-mm-3D_ngtdm_Contrast,core,5,79,0.28908473343382435,0.013278741917982057,0.3372655223394618
log-sigma-2-0-mm-3D_firstorder_Kurtosis,core,5,79,0.09080853417668568,0.05433911147914337,0.12952314435859558
log-sigma-2-0-mm-3D_firstorder_Maximum,core,5,79,0.0030759443984725602,0.16159556240647993,0.007565160547594675
log-sigma-2-0-mm-3D_firstorder_Median,core,5,79,0.5625285477785278,0.0,0.5954498213634551
log-sigma-2-0-mm-3D_firstorder_Minimum,core,5,79,0.0028384559926283104,0.16403787274040454,0.007019008025249355
log-sigma-2-0-mm-3D_firstorder_Range,core,5,79,0.0016802761803976557,0.17990324580909978,0.0047486065967759835
log-sigma-2-0-mm-3D_firstorder_Skewness,core,5,79,0.5475486611790764,0.0,0.585178655001301
log-sigma-2-0-mm-3D_glcm_ClusterShade,core,5,79,0.0024765373443852404,0.16817689057008645,0.006330474672445418
log-sigma-2-0-mm-3D_glcm_Contrast,core,5,79,0.0007030789871666959,0.20602890001624102,0.002388737542961493
log-sigma-2-0-mm-3D_glcm_Correlation,core,5,79,0.009443187271577171,0.1271413901674974,0.019441856147364763
log-sigma-2-0-mm-3D_glcm_Imc1,core,5,79,0.5822440112049414,0.0,0.6146659515040565
log-sigma-2-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,core,5,79,0.04310334630225555,0.07899992591843802,0.06950947197889074
log-sigma-2-0-mm-3D_glrlm_LongRunLowGrayLevelEmphasis,core,5,79,0.0009595406845627517,0.19673448477245942,0.00301097249293829
log-sigma-2-0-mm-3D_glrlm_LowGrayLevelRunEmphasis,core,5,79,0.0032341652524261115,0.16006941204725966,0.007827368031137663
log-sigma-2-0-mm-3D_glrlm_RunEntropy,core,5,79,0.29358509252137316,0.012692919832951583,0.3416399414251274
log-sigma-2-0-mm-3D_glrlm_RunVariance,core,5,79,0.029981272743116957,0.09072135570553305,0.05128375600796321
log-sigma-2-0-mm-3D_glrlm_ShortRunHighGrayLevelEmphasis,core,5,79,0.002126973720042362,0.17278438356365583,0.0056594914773057
log-sigma-2-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis,core,5,79,0.009646977168568112,0.12647810317509664,0.019736288674219966
log-sigma-2-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,core,5,79,0.23840393182877603,0.02047454531631689,0.2847081075645488
log-sigma-2-0-mm-3D_glszm_GrayLevelVariance,core,5,79,0.0016746171697172838,0.1800049546093843,0.0047486065967759835
log-sigma-2-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,core,5,79,0.10393536861910165,0.049760413102976644,0.14319101949862412
log-sigma-2-0-mm-3D_glszm_LowGrayLevelZoneEmphasis,core,5,79,0.00448390551009054,0.15009769802886802,0.010409066362710181
log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,core,5,79,0.2971945262626012,0.01222847379888492,0.3440801767162431
log-sigma-2-0-mm-3D_glszm_SmallAreaEmphasis,core,5,79,0.4758171932755172,0.0,0.5142442350127323
log-sigma-2-0-mm-3D_glszm_SmallAreaHighGrayLevelEmphasis,core,5,79,0.000808900826002212,0.20184253586152304,0.002667028085731931
log-sigma-2-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,core,5,79,0.03147702855118321,0.08915856845049838,0.0534404775775685
log-sigma-2-0-mm-3D_glszm_ZoneEntropy,core,5,79,0.42910504184468634,0.0,0.4716009517858268
log-sigma-2-0-mm-3D_gldm_DependenceNonUniformityNormalized,core,5,79,0.0025694272757294276,0.167060374528729,0.006494941169204942
log-sigma-2-0-mm-3D_gldm_DependenceVariance,core,5,79,0.10771346715827475,0.04854268825787788,0.14761936011149102
