subtype_id,gene,wald_stat,log2_fold_change,p_value,padj,target_n,rest_n
SUBTYPE01,TSPAN6,0.24349743490287723,,,,10,93
SUBTYPE01,TNMD,-2.53029998703609,,,,10,93
SUBTYPE01,DPM1,-0.8792337126249625,,,,10,93
SUBTYPE01,SCYL3,0.014340556498288023,,,,10,93
SUBTYPE01,C1orf112,-0.3665339361153785,,,,10,93
SUBTYPE01,FGR,-0.380598099865083,,,,10,93
SUBTYPE01,CFH,-0.6003221235887191,,,,10,93
SUBTYPE01,FUCA2,-1.650589822667434,,,,10,93
SUBTYPE01,GCLC,-0.0800245509305155,,,,10,93
SUBTYPE01,NFYA,-1.4100393703211385,,,,10,93
SUBTYPE01,STPG1,0.028260569423959308,,,,10,93
SUBTYPE01,NIPAL3,0.34470661432553745,,,,10,93
SUBTYPE01,LAS1L,-1.0262277702575475,,,,10,93
SUBTYPE01,ENPP4,-0.07916463652112192,,,,10,93
SUBTYPE01,SEMA3F,-0.43863856710172916,,,,10,93
SUBTYPE01,CFTR,-1.102972911340859,,,,10,93
SUBTYPE01,ANKIB1,-0.4731134315155827,,,,10,93
SUBTYPE01,CYP51A1,-0.36087676771464605,,,,10,93
SUBTYPE01,KRIT1,-0.34393243310372407,,,,10,93
SUBTYPE01,RAD52,-0.23909570755892268,,,,10,93
SUBTYPE01,BAD,-1.0654635236818244,,,,10,93
SUBTYPE01,LAP3,-0.8073698661609758,,,,10,93
SUBTYPE01,CD99,-1.0493672064997264,,,,10,93
SUBTYPE01,HS3ST1,0.3953446690749024,,,,10,93
SUBTYPE01,AOC1,-2.5414407593091988,,,,10,93
SUBTYPE01,WNT16,-1.2358122331700254,,,,10,93
SUBTYPE01,HECW1,-1.450962022369315,,,,10,93
SUBTYPE01,MAD1L1,-0.015658831791059716,,,,10,93
SUBTYPE01,LASP1,0.6255077987883975,,,,10,93
SUBTYPE01,SNX11,-1.919057199155546,,,,10,93
SUBTYPE01,TMEM176A,-0.18797603752911782,,,,10,93
SUBTYPE01,M6PR,-0.4695880939766817,,,,10,93
SUBTYPE01,KLHL13,-1.079412864685884,,,,10,93
SUBTYPE01,CYP26B1,1.4837427187179348,,,,10,93
SUBTYPE01,ICA1,-1.959583538121518,,,,10,93
SUBTYPE01,DBNDD1,-0.684051655369304,,,,10,93
SUBTYPE01,ALS2,-0.521158821426703,,,,10,93
SUBTYPE01,CASP10,-0.4440158768037506,,,,10,93
SUBTYPE01,CFLAR,0.39537684023981123,,,,10,93
SUBTYPE01,TFPI,1.5295712754676474,,,,10,93
SUBTYPE01,NDUFAF7,-2.271277322710746,,,,10,93
SUBTYPE01,RBM5,-1.0388351563022924,,,,10,93
SUBTYPE01,MTMR7,1.5979123414623162,,,,10,93
SUBTYPE01,SLC7A2,-0.9608203862034569,,,,10,93
SUBTYPE01,ARF5,-0.6174152829273035,,,,10,93
SUBTYPE01,SARM1,1.7399066297703252,,,,10,93
SUBTYPE01,POLDIP2,-1.0852744590701806,,,,10,93
SUBTYPE01,PLXND1,0.13241319256970807,,,,10,93
SUBTYPE01,AK2,0.9691379268371397,,,,10,93
SUBTYPE01,CD38,-1.4310493755419282,,,,10,93
SUBTYPE01,FKBP4,-0.4729686094088488,,,,10,93
SUBTYPE01,KDM1A,-0.5522628496207634,,,,10,93
SUBTYPE01,RBM6,-0.9503698603669595,,,,10,93
SUBTYPE01,CAMKK1,0.19897163008029145,,,,10,93
SUBTYPE01,RECQL,-0.26966665335534046,,,,10,93
SUBTYPE01,VPS50,-0.37304961345500903,,,,10,93
SUBTYPE01,HSPB6,-0.6729899819595122,,,,10,93
SUBTYPE01,ARHGAP33,-0.4857021267503202,,,,10,93
SUBTYPE01,NDUFAB1,-1.9324848317752257,,,,10,93
SUBTYPE01,PDK4,-0.9133599676709421,,,,10,93
SUBTYPE01,SLC22A16,-1.6946704794541003,,,,10,93
SUBTYPE01,ZMYND10,0.8224489671107428,,,,10,93
SUBTYPE01,ABCB5,-0.7650267456107074,,,,10,93
SUBTYPE01,ARX,-4.516973365519376,,,,10,93
SUBTYPE01,SLC25A13,-0.6875185672158506,,,,10,93
SUBTYPE01,ST7,0.025337851632457296,,,,10,93
SUBTYPE01,CDC27,-0.2895883300263076,,,,10,93
SUBTYPE01,SLC4A1,-5.385082768835545,,,,10,93
SUBTYPE01,CALCR,-2.5735415397520787,,,,10,93
SUBTYPE01,HCCS,-2.532232092562418,,,,10,93
SUBTYPE01,DVL2,1.0065316167422662,,,,10,93
SUBTYPE01,PRSS22,-0.9995634698556283,,,,10,93
SUBTYPE01,UPF1,-2.9583783269720656,,,,10,93
SUBTYPE01,SKAP2,0.02733470471504903,,,,10,93
SUBTYPE01,SLC25A5,-2.188244947826087,,,,10,93
SUBTYPE01,MCUB,-1.6995336336337503,,,,10,93
SUBTYPE01,HOXA11,-2.0029428582724753,,,,10,93
SUBTYPE01,POLR2J,-1.396984610638459,,,,10,93
SUBTYPE01,DHX33,-0.6586984119221213,,,,10,93
SUBTYPE01,MEOX1,-2.346000889769734,,,,10,93
SUBTYPE01,THSD7A,-1.4628669472740528,,,,10,93
SUBTYPE01,LIG3,-0.752135953228568,,,,10,93
SUBTYPE01,RPAP3,-0.5265743348555862,,,,10,93
SUBTYPE01,ACSM3,0.8721713375252674,,,,10,93
SUBTYPE01,REXO5,0.5676483792301177,,,,10,93
