pathway,SUBTYPE01,SUBTYPE02,SUBTYPE03,SUBTYPE04,SUBTYPE05
HALLMARK_ADIPOGENESIS,-1.5558517233798246,-0.8311296159931207,-0.9911427089293777,0.8768229596567104,2.0173417843009847
HALLMARK_ALLOGRAFT_REJECTION,-1.2112331504079048,-2.2476800952156495,-1.2675378069916268,2.7142514530103528,-2.0832696623061477
HALLMARK_ANDROGEN_RESPONSE,-1.0890651721620035,1.0373879476043106,0.7884692676616348,-1.498811946166049,1.721581272692286
HALLMARK_ANGIOGENESIS,0.8800340556628593,-1.0707560846477382,-0.6704942353382557,-1.4519978632321737,-0.847974680670294
HALLMARK_APICAL_JUNCTION,-1.3687614676975453,-1.258053143795769,0.9457395831281772,1.1368643698466652,0.8197118742931395
HALLMARK_APICAL_SURFACE,-1.4533673940469414,-1.3265040860911694,-1.09181609619864,-1.1075519421012898,1.4553675850966246
HALLMARK_APOPTOSIS,-1.363465131969031,-1.3359594377435842,-0.963935654505964,1.3306151230571535,1.120964338548279
HALLMARK_BILE_ACID_METABOLISM,-1.3840865845333694,-1.0038363848904674,-0.8533269143489057,-1.4197739281510353,1.5818820340969924
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-1.2223319086297815,-1.1857094169188198,-1.0105302762840729,-1.267734309995599,1.61738154439276
HALLMARK_COAGULATION,-1.3942946766375295,-1.7005477001656744,-1.0494049246764423,1.2334408785979918,1.0157189912010793
HALLMARK_COMPLEMENT,-1.6950942412697299,-1.7904007066275318,-0.956636663925958,1.8148603040282163,0.9533943038179765
HALLMARK_DNA_REPAIR,-1.1371285259227664,-1.3792712054387102,-1.440523637749756,1.5844799893739892,1.2576686967122848
HALLMARK_E2F_TARGETS,-1.1344518483959904,-1.706780864367624,-0.8984116541708494,1.2888701905735385,0.6157870486276629
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,-1.3933989817550683,-1.8433290669775737,1.3136247921602207,1.0210783230381757,0.9443947968675441
HALLMARK_ESTROGEN_RESPONSE_EARLY,-1.6532549251676978,-1.0945422370510836,-0.6105827655888592,-1.210438352704592,1.4248508709898096
HALLMARK_ESTROGEN_RESPONSE_LATE,-1.904465760330133,-1.6303166813364895,-1.024083350031007,0.9525606192611736,1.8646176762505486
HALLMARK_FATTY_ACID_METABOLISM,-1.6553647920097514,-0.6980081852416496,-1.1545818938600236,-1.3969461839047,2.187366955119387
HALLMARK_G2M_CHECKPOINT,-1.323872648129548,-1.5842305658755889,-0.7809496716977463,1.2451695041475006,0.6643598461544447
HALLMARK_GLYCOLYSIS,-1.5531499568194866,-1.4845805919332822,-0.9314413043604319,1.3511232861115496,1.540494634714739
HALLMARK_HEDGEHOG_SIGNALING,-0.9664109751132399,0.9344001107212543,1.570118716212611,-1.0683467061132945,-0.7829887212308949
HALLMARK_HEME_METABOLISM,-1.487785926945032,-0.6270556256348712,1.1657556884113618,-1.4573142738749978,1.2538421017924568
HALLMARK_IL6_JAK_STAT3_SIGNALING,-1.6662141511741024,-2.126564787005699,-0.8990531820099339,2.0086402407913297,-1.7150145714379958
HALLMARK_INFLAMMATORY_RESPONSE,-1.6248330960860111,-1.7451989320378922,-0.8588502899851446,1.8620655829462864,-1.1924987018717659
HALLMARK_INTERFERON_ALPHA_RESPONSE,-0.9167965132647745,-2.1814649137763813,-1.2261844909534954,2.587935656303837,-1.3654382777414806
HALLMARK_INTERFERON_GAMMA_RESPONSE,-1.1119146003208265,-2.1273092529223443,-1.0151178463081743,2.5985676293198106,-1.5868691233004415
HALLMARK_KRAS_SIGNALING_DN,-1.328930812669503,-1.5087830080750113,-1.3436589682627376,1.024418846753779,-1.1044529531716034
HALLMARK_KRAS_SIGNALING_UP,-1.3695776655583345,-1.6685427661194256,-0.8409420752927813,1.0214577477556648,1.4220104728061587
HALLMARK_MITOTIC_SPINDLE,-0.8221325716007912,1.0960397831243083,1.8518174608520372,0.7963239509487153,-0.8002484334466556
HALLMARK_MTORC1_SIGNALING,-1.5990986136902317,-1.481434491998234,-0.925815617182315,0.8388358184543656,2.036515125010722
HALLMARK_MYC_TARGETS_V1,-1.0279938379118436,-1.2895084409317132,-0.7987820614952039,0.964884751685891,1.6219034433132458
HALLMARK_MYC_TARGETS_V2,-1.5321435336112113,-1.2735264323999655,-1.2057772775688351,1.678680613984827,1.212649361465164
HALLMARK_OXIDATIVE_PHOSPHORYLATION,-2.138986083320806,-1.3306060357943472,-1.7800564439011237,1.368390695791515,2.7892471108492964
HALLMARK_P53_PATHWAY,-1.4572801276563787,-1.1420374908512414,-1.1020733566667549,1.065617791766589,1.1331645303830329
HALLMARK_PANCREAS_BETA_CELLS,-0.9548016355633276,-1.1605723740432226,-1.2971476661196444,-1.2192585997781242,1.493833318100408
HALLMARK_PEROXISOME,-1.3879469256372094,-1.259450972994842,-0.9039815085497473,-0.993032551389373,1.9153133259016129
HALLMARK_PI3K_AKT_MTOR_SIGNALING,-1.268505527264648,-1.1712018633399532,-0.8348717202814616,1.4521452970836852,1.2456403509241114
HALLMARK_PROTEIN_SECRETION,-1.3971308476826028,-0.8355440076618225,1.7858416211665054,-1.2963027973295023,2.2028864587413737
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,-1.6354973141970601,-1.3472707755880249,-1.3590136136823712,1.66817326427738,1.546193944553375
HALLMARK_TGF_BETA_SIGNALING,1.1395360640956596,1.9672317771670422,0.9965660223958414,-1.4621494402486235,-0.8072128902129849
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,-1.5884103771219822,-1.1073565029725594,-0.7785683420844275,0.9440097670756776,1.5792796516536058
HALLMARK_UV_RESPONSE_DN,0.9692164078468016,1.7092713889015303,1.7625415330445635,-2.0296931049984424,1.023977880929629
HALLMARK_UV_RESPONSE_UP,-1.748782698441777,-1.114568674986352,-1.2718071262012645,1.2401830144314505,1.3409619062008615
HALLMARK_XENOBIOTIC_METABOLISM,-1.716245432972393,-1.3379025846004087,-1.0363676816327914,-0.9753605099793307,1.6957196206258582
KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV,-1.7762041107392634,-1.5083465368734001,-1.9569768576073603,1.9776925752438725,1.47704806796776
KEGG_MEDICUS_ENV_FACTOR_IRON_TO_ANTEROGRADE_AXONAL_TRANSPORT,-1.7073778597556235,-1.1403597646427788,-1.695357086816187,0.8308913559757491,-0.9322470249023748
KEGG_MEDICUS_ENV_FACTOR_TCDD_TO_AHR_SIGNALING_PATHWAY,-0.9470834392037462,-1.137319963094267,-0.9785433524447797,1.6658292457196178,-0.8196641156186397
KEGG_MEDICUS_ENV_FACTOR_ZN_TO_ANTEROGRADE_AXONAL_TRANSPORT,-1.6854529931621929,-0.9995242186459444,-1.6034235464043267,0.8409217487754664,-0.9469417359436781
KEGG_MEDICUS_PATHOGEN_ESCHERICHIA_EAE_TIR_TO_ACTIN_SIGNALING_PATHWAY,-1.4724295266369432,-1.4753273442592603,-1.0238283741228877,1.827830113958371,0.8399667527209512
KEGG_MEDICUS_PATHOGEN_ESCHERICHIA_ESPG_TO_MICROTUBULE_RHOA_SIGNALING_PATHWAY,-1.8393588971600776,-1.3022508476374375,-1.5892724243314265,1.0991945190777126,-1.0092780420067529
KEGG_MEDICUS_PATHOGEN_SALMONELLA_SIFA_TO_MICROTUBULE_PLUS_END_DIRECTED_TRANSPORT,-1.7451417946095045,-0.9864104217547464,-1.5070812228005797,1.0812103341409753,0.8317551189373987
KEGG_MEDICUS_REFERENCE_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,-1.8392156492562175,-1.88518803331601,-1.883630962534039,1.7900360390428658,1.3122125487267244
KEGG_MEDICUS_REFERENCE_ANTEROGRADE_AXONAL_TRANSPORT,-1.7551724533700312,-0.9477910411905223,-1.5675807643573259,0.9937731196802501,0.8515675589548612
KEGG_MEDICUS_REFERENCE_ARL8_REGULATED_MICROTUBULE_PLUS_END_DIRECTED_TRANSPORT,-1.6973619808575262,-1.1835599810013064,-1.6248737986542399,1.489556833770765,0.9145375971828874
KEGG_MEDICUS_REFERENCE_AUTOPHAGOSOME_AND_LYSOSOME_FUSION_TETHERING_FACTOR,-1.3096666769603449,-0.696631671774441,0.7913985661688965,0.9578830826932625,1.7967633531094027
KEGG_MEDICUS_REFERENCE_CGAS_STING_SIGNALING_PATHWAY,1.0144319847889263,-1.2679848361995862,-0.4678123589574114,1.7831131890612224,-1.4219102309612077
KEGG_MEDICUS_REFERENCE_COPI_VESICLE_FORMATION,-1.4809666823923187,-1.4999687123949361,1.3236784978559435,1.157105727933797,1.9393594227301876
