subtype_id,gene,mutated_n,total_n,frequency
SUBTYPE01,ARID1A,0,10,0.0
SUBTYPE01,BAP1,0,10,0.0
SUBTYPE01,CDKN2A,0,10,0.0
SUBTYPE01,ELOC,0,10,0.0
SUBTYPE01,KDM5C,0,10,0.0
SUBTYPE01,KMT2C,0,10,0.0
SUBTYPE01,MTOR,0,10,0.0
SUBTYPE01,PBRM1,10,10,1.0
SUBTYPE01,PIK3CA,0,10,0.0
SUBTYPE01,PTEN,0,10,0.0
SUBTYPE01,SETD2,0,10,0.0
SUBTYPE01,TP53,0,10,0.0
SUBTYPE01,TSC1,0,10,0.0
SUBTYPE01,TSC2,1,10,0.1
SUBTYPE01,VHL,10,10,1.0
SUBTYPE02,ARID1A,0,15,0.0
SUBTYPE02,BAP1,0,15,0.0
SUBTYPE02,CDKN2A,0,15,0.0
SUBTYPE02,ELOC,0,15,0.0
SUBTYPE02,KDM5C,1,15,0.06666666666666667
SUBTYPE02,KMT2C,0,15,0.0
SUBTYPE02,MTOR,1,15,0.06666666666666667
SUBTYPE02,PBRM1,6,15,0.4
SUBTYPE02,PIK3CA,0,15,0.0
SUBTYPE02,PTEN,1,15,0.06666666666666667
SUBTYPE02,SETD2,1,15,0.06666666666666667
SUBTYPE02,TP53,0,15,0.0
SUBTYPE02,TSC1,0,15,0.0
SUBTYPE02,TSC2,0,15,0.0
SUBTYPE02,VHL,9,15,0.6
SUBTYPE03,ARID1A,1,11,0.09090909090909091
SUBTYPE03,BAP1,0,11,0.0
SUBTYPE03,CDKN2A,0,11,0.0
SUBTYPE03,ELOC,0,11,0.0
SUBTYPE03,KDM5C,0,11,0.0
SUBTYPE03,KMT2C,0,11,0.0
SUBTYPE03,MTOR,0,11,0.0
SUBTYPE03,PBRM1,0,11,0.0
SUBTYPE03,PIK3CA,1,11,0.09090909090909091
SUBTYPE03,PTEN,0,11,0.0
SUBTYPE03,SETD2,0,11,0.0
SUBTYPE03,TP53,0,11,0.0
SUBTYPE03,TSC1,0,11,0.0
SUBTYPE03,TSC2,0,11,0.0
SUBTYPE03,VHL,11,11,1.0
SUBTYPE04,ARID1A,1,16,0.0625
SUBTYPE04,BAP1,9,16,0.5625
SUBTYPE04,CDKN2A,0,16,0.0
SUBTYPE04,ELOC,0,16,0.0
SUBTYPE04,KDM5C,0,16,0.0
SUBTYPE04,KMT2C,0,16,0.0
SUBTYPE04,MTOR,2,16,0.125
SUBTYPE04,PBRM1,3,16,0.1875
SUBTYPE04,PIK3CA,0,16,0.0
SUBTYPE04,PTEN,0,16,0.0
SUBTYPE04,SETD2,2,16,0.125
SUBTYPE04,TP53,0,16,0.0
SUBTYPE04,TSC1,0,16,0.0
SUBTYPE04,TSC2,0,16,0.0
SUBTYPE04,VHL,9,16,0.5625
SUBTYPE05,ARID1A,0,27,0.0
SUBTYPE05,BAP1,2,27,0.07407407407407407
SUBTYPE05,CDKN2A,0,27,0.0
SUBTYPE05,ELOC,1,27,0.037037037037037035
SUBTYPE05,KDM5C,4,27,0.14814814814814814
SUBTYPE05,KMT2C,0,27,0.0
SUBTYPE05,MTOR,2,27,0.07407407407407407
SUBTYPE05,PBRM1,5,27,0.18518518518518517
SUBTYPE05,PIK3CA,1,27,0.037037037037037035
SUBTYPE05,PTEN,2,27,0.07407407407407407
SUBTYPE05,SETD2,1,27,0.037037037037037035
SUBTYPE05,TP53,3,27,0.1111111111111111
SUBTYPE05,TSC1,0,27,0.0
SUBTYPE05,TSC2,0,27,0.0
SUBTYPE05,VHL,2,27,0.07407407407407407
