subtype_id,feature,reference_population,target_n,rest_n,n_subtype,n_rest,median_subtype,median_rest,cliffs_delta,ci_low,ci_high,p_value,q_value
SUBTYPE01,HALLMARK_ADIPOGENESIS,candidate_rest,10,93,10,93,3515.038362616968,3545.3858894149744,-0.06666666666666667,-0.3634408602150538,0.26241935483870943,0.7340607985823907,0.967692495045878
SUBTYPE01,HALLMARK_ALLOGRAFT_REJECTION,candidate_rest,10,93,10,93,1638.8218235724903,1808.6718129478286,-0.07526881720430108,-0.3591935483870968,0.24951612903225776,0.7007684431321966,0.967692495045878
SUBTYPE01,HALLMARK_ANDROGEN_RESPONSE,candidate_rest,10,93,10,93,2975.3179144189157,3072.7249381912507,-0.030107526881720432,-0.3677956989247312,0.3032258064516129,0.8804713298108323,0.9955563453444913
SUBTYPE01,HALLMARK_ANGIOGENESIS,candidate_rest,10,93,10,93,3841.9610805884145,3432.689248532378,0.28817204301075267,-0.04102150537634408,0.5806989247311826,0.13701230034162462,0.9449686158493205
SUBTYPE01,HALLMARK_APICAL_JUNCTION,candidate_rest,10,93,10,93,2174.593964330713,2240.4115544581837,-0.11397849462365592,-0.3827956989247312,0.16559139784946236,0.5586963135959102,0.967692495045878
SUBTYPE01,HALLMARK_APICAL_SURFACE,candidate_rest,10,93,10,93,747.2541748506751,636.533029359689,0.08172043010752689,-0.23870967741935484,0.3613440860215051,0.676166984613546,0.967692495045878
SUBTYPE01,HALLMARK_APOPTOSIS,candidate_rest,10,93,10,93,3289.2992916452877,3332.2150868901017,-0.002150537634408602,-0.32263440860215054,0.3376881720430105,0.9955563453444913,0.9955563453444913
SUBTYPE01,HALLMARK_BILE_ACID_METABOLISM,candidate_rest,10,93,10,93,1331.4608124478746,1323.2230654519053,0.008602150537634409,-0.3204301075268817,0.34623655913978496,0.968902134162944,0.9955563453444913
SUBTYPE01,HALLMARK_CHOLESTEROL_HOMEOSTASIS,candidate_rest,10,93,10,93,2425.990634512749,2408.0418291070064,0.010752688172043012,-0.3096774193548387,0.32263440860215026,0.9600236415352014,0.9955563453444913
SUBTYPE01,HALLMARK_COAGULATION,candidate_rest,10,93,10,93,2818.097171190938,2850.2195875207044,-0.0967741935483871,-0.3591935483870968,0.1720967741935481,0.6201273726746527,0.967692495045878
