variant,fixed_core_mean_jaccard,fixed_core_min_jaccard,fixed_core_ari,fixed_core_nmi,fixed_core_mean_silhouette,fused_correlation_with_canonical,feature_count,view,normalization,empty_mutation_distance
canonical,0.8894605394605395,0.8461538461538461,0.8711215834938245,0.857507133120224,0.0006693439336207641,1.0,,,,
rna_top_1000,0.884469696969697,0.8,0.8766348908052074,0.8593488031837474,0.0006708176651310853,0.9944117166445289,1000,rna,cohort_zscore,
rna_top_2000,0.8894605394605395,0.8461538461538461,0.8711215834938245,0.857507133120224,0.000669343933620768,0.9999999999999998,2000,rna,cohort_zscore,
rna_top_3000,0.6123260073260073,0.07692307692307693,0.6955324418824039,0.7692243366239666,0.0006657905298623835,0.9979882597963484,3000,rna,cohort_zscore,
rna_top_5000,0.6123260073260073,0.07692307692307693,0.6955324418824039,0.7692243366239666,0.000659280282729544,0.9920346774273798,5000,rna,cohort_zscore,
wxs_prevalence_only,0.50625,0.0,0.4831032617642217,0.6250895754087512,0.0006291528814455863,0.9565649453657261,13,wxs,,0.0
wxs_zero_distance_1,0.5548260073260073,0.07692307692307693,0.664879466128327,0.730106414769613,0.0006019455400713222,0.9821004334412569,22,wxs,,1.0
cnv_arm_only,0.8175545043192102,0.7058823529411765,0.7208288473910054,0.7529116732883504,0.0006402063802636773,0.9886547644507597,44,cnv,,
cnv_arm_locus,0.8894605394605395,0.8461538461538461,0.8711215834938245,0.857507133120224,0.0006712111604276179,0.9991122193516409,51,cnv,,
