canonical_core,variant_core,canonical_size,variant_size,intersection,canonical_retention,variant_purity,jaccard
CORE01,CORE02,21,13,11,0.5238095238095238,0.8461538461538461,0.4782608695652174
CORE02,CORE03,14,10,6,0.42857142857142855,0.6,0.3333333333333333
CORE03,CORE01,12,17,10,0.8333333333333334,0.5882352941176471,0.5263157894736842
CORE04,CORE04,9,8,6,0.6666666666666666,0.75,0.5454545454545454
