canonical_core,canonical_size,matched_variant_core,matched_variant_size,retained_n,retention,jaccard,variant_core_count_with_members,any_variant_stable_n,any_variant_stable_fraction,no_variant_stable_n,no_variant_stable_fraction,variant_membership_distribution
CORE01,21,CORE02,13,11,0.5238095238095238,0.4782608695652174,4,18,0.8571428571428571,3,0.14285714285714285,"{""CORE02"": 11, ""CORE08"": 4, ""CORE09"": 1, ""CORE10"": 2}"
CORE02,14,CORE03,10,6,0.42857142857142855,0.3333333333333333,3,12,0.8571428571428571,2,0.14285714285714285,"{""CORE01"": 3, ""CORE03"": 6, ""CORE06"": 3}"
CORE03,12,CORE01,17,10,0.8333333333333334,0.5263157894736842,1,10,0.8333333333333334,2,0.16666666666666666,"{""CORE01"": 10}"
CORE04,9,CORE04,8,6,0.6666666666666666,0.5454545454545454,3,9,1.0,0,0.0,"{""CORE04"": 6, ""CORE05"": 1, ""CORE07"": 2}"
