patch_index,target_x,target_y,predicted_class,tumor_probability,selected_tumor,prob_adipose_tissue,prob_blank_space,prob_clear_cell_renal_cell_carcinoma,prob_cyst_content,prob_fibrocollagenous_tissue,prob_hemorrhage,prob_inflammation,prob_marker,prob_necrosis,prob_renal_parenchyma
0,25347,0,Fibrocollagenous Tissue,0.08130388706922531,False,0.003225889755412936,1.2556230003073638e-24,0.08130388706922531,6.020948035935156e-14,0.6369287967681885,1.6590893210377544e-05,1.9570329641283024e-06,9.91341342349017e-10,3.75338458979968e-05,0.27848535776138306
1,25603,0,Fibrocollagenous Tissue,0.053948774933815,False,0.00015615308075211942,9.851192062703767e-26,0.053948774933815,2.3573572361192986e-14,0.6988162398338318,3.973237835452892e-05,5.201023256518056e-08,1.4664297554034533e-10,3.865245616907487e-06,0.2470352053642273
2,25859,0,Fibrocollagenous Tissue,0.07865869998931885,False,0.00022602990793529898,6.992146040402763e-25,0.07865869998931885,2.287669836550932e-13,0.8619411587715149,0.00043048299266956747,3.156416994443134e-08,1.7052187439858812e-09,7.970126716827508e-06,0.05873565003275871
3,26115,0,Fibrocollagenous Tissue,0.041529010981321335,False,0.0003309475723654032,1.082525125419367e-24,0.041529010981321335,5.078400265416672e-13,0.9327294826507568,0.0006853868835605681,9.917684451465902e-09,1.0230118974163815e-09,4.22106240876019e-05,0.024682894349098206
4,26371,0,Fibrocollagenous Tissue,0.014436069875955582,False,6.4530545387242455e-06,7.627784519850435e-25,0.014436069875955582,7.296597137260163e-13,0.9686264395713806,6.474985275417566e-05,1.8820522917906146e-09,1.49376594427153e-10,4.250874098943314e-06,0.0168620478361845
5,26627,0,Fibrocollagenous Tissue,0.014672154560685158,False,9.498184226686135e-05,5.9238715886286e-25,0.014672154560685158,2.351967362188012e-13,0.9533114433288574,6.094199306971859e-06,1.2702933815944562e-08,8.407948781652408e-10,1.0743256098066922e-06,0.03191426023840904
6,26883,0,Fibrocollagenous Tissue,0.004728004802018404,False,0.006026437971740961,3.067587627201759e-26,0.004728004802018404,5.67571366966689e-15,0.9824047684669495,5.853852144355187e-06,1.207628774757552e-09,4.894533129490286e-12,1.7526873534734477e-06,0.006833129096776247
7,27139,0,Fibrocollagenous Tissue,0.0014912569895386696,False,0.0001884556550066918,1.084039405556697e-26,0.0014912569895386696,1.2477428470183917e-15,0.9949429631233215,3.3036521926987916e-05,4.378674922644876e-10,6.257252203357988e-13,1.2447654853531276e-06,0.0033431299962103367
8,27395,0,Fibrocollagenous Tissue,0.003277149749919772,False,6.650974682997912e-05,1.7567423913766615e-27,0.003277149749919772,2.6492665373140513e-16,0.9770308136940002,0.0001791572431102395,1.5774986872330032e-09,1.209353689239634e-12,7.637334419996478e-06,0.019438641145825386
9,27651,0,Fibrocollagenous Tissue,0.015294351615011692,False,0.0001853578578447923,4.520636365661017e-27,0.015294351615011692,2.975372369122385e-16,0.8449929356575012,0.00019303138833492994,5.659384516576438e-09,4.567159150870026e-12,0.00011926631850656122,0.13921503722667694
10,27907,0,Fibrocollagenous Tissue,0.3662993013858795,False,0.0035359507892280817,3.313497449923317e-26,0.3662993013858795,1.2004916646272262e-13,0.41628217697143555,0.0003975625731982291,7.3230935413448606e-06,1.0857466925529025e-08,0.0005199863226152956,0.21295766532421112
11,28164,0,Clear Cell Renal Cell Carcinoma,0.5327963829040527,False,0.39373070001602173,4.088324604381364e-28,0.5327963829040527,4.5177278123987794e-14,0.027384018525481224,0.00012997679004911333,0.00021917086269240826,1.2542995087017061e-08,0.00010807584476424381,0.04563165083527565
12,28420,0,Adipose Tissue,0.05520952120423317,False,0.8664071559906006,2.02413523077448e-27,0.05520952120423317,7.8534096272561e-14,0.055374618619680405,2.430576569167897e-05,1.2727471585094463e-05,8.78447148355832e-10,2.5484787329332903e-05,0.022946089506149292
13,28676,0,Adipose Tissue,0.0833132416009903,False,0.4702494144439697,2.169205772872212e-25,0.0833132416009903,9.586298768682333e-13,0.23143230378627777,0.0002957821998279542,5.971953578409739e-05,1.994529519322441e-08,5.718733063986292e-06,0.21464373171329498
14,30468,0,Clear Cell Renal Cell Carcinoma,0.757014811038971,False,0.0008818190544843674,2.7074067171049264e-24,0.757014811038971,8.051403987963113e-09,0.20150639116764069,0.00035982500412501395,0.00020821508951485157,7.566119286650519e-09,3.922139512724243e-06,0.040025077760219574
15,30724,0,Clear Cell Renal Cell Carcinoma,0.7859252095222473,False,7.20401803846471e-05,2.6119555652037517e-22,0.7859252095222473,3.5794692210266987e-10,0.10977690666913986,0.08506686985492706,0.0005205287598073483,2.1776292769004613e-08,5.807793058920652e-06,0.018632596358656883
