modality,state_id,state_a,state_b,core_a,core_b,n_a,n_b,mean_similarity
wsi,between_states,STATE_C,STATE_D,CORE03,CORE06,12,7,0.025698780902466262
wsi,between_states,STATE_C,STATE_A,CORE03,CORE07,12,5,0.040554717008905575
wsi,STATE_C,STATE_C,STATE_C,CORE03,CORE08,12,5,0.027696306771299677
wsi,between_states,STATE_C,STATE_A,CORE03,CORE09,12,5,0.035604074306000086
wsi,between_states,STATE_C,STATE_B,CORE03,CORE10,12,5,0.03610415334323739
wsi,between_states,STATE_B,STATE_D,CORE04,CORE05,11,8,0.031227122026244256
wsi,between_states,STATE_B,STATE_D,CORE04,CORE06,11,7,0.020367383572066213
wsi,between_states,STATE_B,STATE_A,CORE04,CORE07,11,5,0.01985549694469257
wsi,between_states,STATE_B,STATE_C,CORE04,CORE08,11,5,0.029894554334962246
wsi,between_states,STATE_B,STATE_A,CORE04,CORE09,11,5,0.026416369534485232
wsi,STATE_B,STATE_B,STATE_B,CORE04,CORE10,11,5,0.024165914537793307
wsi,STATE_D,STATE_D,STATE_D,CORE05,CORE06,8,7,0.030200235553463625
wsi,between_states,STATE_D,STATE_A,CORE05,CORE07,8,5,0.020659970903474566
wsi,between_states,STATE_D,STATE_C,CORE05,CORE08,8,5,0.025460063206449567
wsi,between_states,STATE_D,STATE_A,CORE05,CORE09,8,5,0.029495837400145154
wsi,between_states,STATE_D,STATE_B,CORE05,CORE10,8,5,0.03578295608196438
wsi,between_states,STATE_D,STATE_A,CORE06,CORE07,7,5,0.023678182658488242
wsi,between_states,STATE_D,STATE_C,CORE06,CORE08,7,5,0.030690957744563787
wsi,between_states,STATE_D,STATE_A,CORE06,CORE09,7,5,0.02797207892133875
wsi,between_states,STATE_D,STATE_B,CORE06,CORE10,7,5,0.030332921554136177
wsi,between_states,STATE_A,STATE_C,CORE07,CORE08,5,5,0.03819770615821183
wsi,STATE_A,STATE_A,STATE_A,CORE07,CORE09,5,5,0.06061407560809962
wsi,between_states,STATE_A,STATE_B,CORE07,CORE10,5,5,0.05323057119657025
wsi,between_states,STATE_C,STATE_A,CORE08,CORE09,5,5,0.034081156701537274
wsi,between_states,STATE_C,STATE_B,CORE08,CORE10,5,5,0.029639031351808436
wsi,between_states,STATE_A,STATE_B,CORE09,CORE10,5,5,0.06643263203319508
rna,between_states,STATE_A,STATE_B,CORE01,CORE02,16,12,0.020232064170098416
rna,between_states,STATE_A,STATE_C,CORE01,CORE03,16,12,0.04180372340528066
rna,between_states,STATE_A,STATE_B,CORE01,CORE04,16,11,0.01865863764735058
rna,between_states,STATE_A,STATE_D,CORE01,CORE05,16,8,0.032346487397358806
rna,between_states,STATE_A,STATE_D,CORE01,CORE06,16,7,0.04961911993434306
rna,STATE_A,STATE_A,STATE_A,CORE01,CORE07,16,5,0.04722859543279354
rna,between_states,STATE_A,STATE_C,CORE01,CORE08,16,5,0.03648753739846931
rna,STATE_A,STATE_A,STATE_A,CORE01,CORE09,16,5,0.051835420873390825
rna,between_states,STATE_A,STATE_B,CORE01,CORE10,16,5,0.031154205995355
rna,between_states,STATE_B,STATE_C,CORE02,CORE03,12,12,0.03388077067680459
rna,STATE_B,STATE_B,STATE_B,CORE02,CORE04,12,11,0.03146805784408499
rna,between_states,STATE_B,STATE_D,CORE02,CORE05,12,8,0.0385885005191888
rna,between_states,STATE_B,STATE_D,CORE02,CORE06,12,7,0.03224354266457593
rna,between_states,STATE_B,STATE_A,CORE02,CORE07,12,5,0.030208911777748836
rna,between_states,STATE_B,STATE_C,CORE02,CORE08,12,5,0.041717107866552985
rna,between_states,STATE_B,STATE_A,CORE02,CORE09,12,5,0.023557485722509874
rna,STATE_B,STATE_B,STATE_B,CORE02,CORE10,12,5,0.039553319711332656
rna,between_states,STATE_C,STATE_B,CORE03,CORE04,12,11,0.03089307102263016
rna,between_states,STATE_C,STATE_D,CORE03,CORE05,12,8,0.040568081138892736
rna,between_states,STATE_C,STATE_D,CORE03,CORE06,12,7,0.04562463606752398
rna,between_states,STATE_C,STATE_A,CORE03,CORE07,12,5,0.040210579096669606
rna,STATE_C,STATE_C,STATE_C,CORE03,CORE08,12,5,0.06741606411650707
rna,between_states,STATE_C,STATE_A,CORE03,CORE09,12,5,0.036129490803178836
rna,between_states,STATE_C,STATE_B,CORE03,CORE10,12,5,0.03531351292092836
rna,between_states,STATE_B,STATE_D,CORE04,CORE05,11,8,0.04358243322271518
rna,between_states,STATE_B,STATE_D,CORE04,CORE06,11,7,0.021037379368433088
rna,between_states,STATE_B,STATE_A,CORE04,CORE07,11,5,0.021849296773765476
rna,between_states,STATE_B,STATE_C,CORE04,CORE08,11,5,0.024203468881806425
rna,between_states,STATE_B,STATE_A,CORE04,CORE09,11,5,0.011404459926242588
rna,STATE_B,STATE_B,STATE_B,CORE04,CORE10,11,5,0.03915101518403099
rna,STATE_D,STATE_D,STATE_D,CORE05,CORE06,8,7,0.04180200568508684
rna,between_states,STATE_D,STATE_A,CORE05,CORE07,8,5,0.03134006819037021
rna,between_states,STATE_D,STATE_C,CORE05,CORE08,8,5,0.03597676555402407
rna,between_states,STATE_D,STATE_A,CORE05,CORE09,8,5,0.02844425538014589
rna,between_states,STATE_D,STATE_B,CORE05,CORE10,8,5,0.04144556493831003
rna,between_states,STATE_D,STATE_A,CORE06,CORE07,7,5,0.04130940254969313
rna,between_states,STATE_D,STATE_C,CORE06,CORE08,7,5,0.04975931442296017
rna,between_states,STATE_D,STATE_A,CORE06,CORE09,7,5,0.051697329584216904
rna,between_states,STATE_D,STATE_B,CORE06,CORE10,7,5,0.03370909828893864
rna,between_states,STATE_A,STATE_C,CORE07,CORE08,5,5,0.030897540091901314
rna,STATE_A,STATE_A,STATE_A,CORE07,CORE09,5,5,0.0725963692285023
rna,between_states,STATE_A,STATE_B,CORE07,CORE10,5,5,0.04318181207235382
rna,between_states,STATE_C,STATE_A,CORE08,CORE09,5,5,0.03242572489161227
rna,between_states,STATE_C,STATE_B,CORE08,CORE10,5,5,0.033827538124640705
rna,between_states,STATE_A,STATE_B,CORE09,CORE10,5,5,0.048332765053771404
wxs,between_states,STATE_A,STATE_B,CORE01,CORE02,16,12,0.015553792057961141
wxs,between_states,STATE_A,STATE_C,CORE01,CORE03,16,12,0.0023274377781922267
wxs,between_states,STATE_A,STATE_B,CORE01,CORE04,16,11,0.03414813265681197
wxs,between_states,STATE_A,STATE_D,CORE01,CORE05,16,8,0.01575648218999827
wxs,between_states,STATE_A,STATE_D,CORE01,CORE06,16,7,0.00908776663384753
wxs,STATE_A,STATE_A,STATE_A,CORE01,CORE07,16,5,0.04739875649862426
wxs,between_states,STATE_A,STATE_C,CORE01,CORE08,16,5,0.015845387416677438
wxs,STATE_A,STATE_A,STATE_A,CORE01,CORE09,16,5,0.03139675360635906
wxs,between_states,STATE_A,STATE_B,CORE01,CORE10,16,5,0.024658710514647242
wxs,between_states,STATE_B,STATE_C,CORE02,CORE03,12,12,0.008204511277124436
wxs,STATE_B,STATE_B,STATE_B,CORE02,CORE04,12,11,0.04632884357793545
wxs,between_states,STATE_B,STATE_D,CORE02,CORE05,12,8,0.016983220630874662
wxs,between_states,STATE_B,STATE_D,CORE02,CORE06,12,7,0.013509125868013217
wxs,between_states,STATE_B,STATE_A,CORE02,CORE07,12,5,0.030007854993336684
wxs,between_states,STATE_B,STATE_C,CORE02,CORE08,12,5,0.0369611690716118
wxs,between_states,STATE_B,STATE_A,CORE02,CORE09,12,5,0.036664207012063514
wxs,STATE_B,STATE_B,STATE_B,CORE02,CORE10,12,5,0.02567421730881311
wxs,between_states,STATE_C,STATE_B,CORE03,CORE04,12,11,0.010140436085026266
wxs,between_states,STATE_C,STATE_D,CORE03,CORE05,12,8,0.002306866904093483
wxs,between_states,STATE_C,STATE_D,CORE03,CORE06,12,7,0.0014894688849409153
wxs,between_states,STATE_C,STATE_A,CORE03,CORE07,12,5,0.00812409305704712
wxs,STATE_C,STATE_C,STATE_C,CORE03,CORE08,12,5,0.019720979530774622
wxs,between_states,STATE_C,STATE_A,CORE03,CORE09,12,5,0.00576872190316735
wxs,between_states,STATE_C,STATE_B,CORE03,CORE10,12,5,0.009508862629155273
wxs,between_states,STATE_B,STATE_D,CORE04,CORE05,11,8,0.01867595321054232
wxs,between_states,STATE_B,STATE_D,CORE04,CORE06,11,7,0.015485315071047757
wxs,between_states,STATE_B,STATE_A,CORE04,CORE07,11,5,0.03700829355322419
wxs,between_states,STATE_B,STATE_C,CORE04,CORE08,11,5,0.05526129943141979
wxs,between_states,STATE_B,STATE_A,CORE04,CORE09,11,5,0.03411283957769189
wxs,STATE_B,STATE_B,STATE_B,CORE04,CORE10,11,5,0.039080424529963555
wxs,STATE_D,STATE_D,STATE_D,CORE05,CORE06,8,7,0.5512725407469319
wxs,between_states,STATE_D,STATE_A,CORE05,CORE07,8,5,0.010670124171983226
wxs,between_states,STATE_D,STATE_C,CORE05,CORE08,8,5,0.0161539678212484
wxs,between_states,STATE_D,STATE_A,CORE05,CORE09,8,5,0.01650823905345821
wxs,between_states,STATE_D,STATE_B,CORE05,CORE10,8,5,0.019940682147869787
wxs,between_states,STATE_D,STATE_A,CORE06,CORE07,7,5,0.006299349582578987
wxs,between_states,STATE_D,STATE_C,CORE06,CORE08,7,5,0.011211470786117244
wxs,between_states,STATE_D,STATE_A,CORE06,CORE09,7,5,0.011906158965081211
wxs,between_states,STATE_D,STATE_B,CORE06,CORE10,7,5,0.009716714923924652
wxs,between_states,STATE_A,STATE_C,CORE07,CORE08,5,5,0.044680794152337285
wxs,STATE_A,STATE_A,STATE_A,CORE07,CORE09,5,5,0.046631078258063875
wxs,between_states,STATE_A,STATE_B,CORE07,CORE10,5,5,0.04797757220359597
wxs,between_states,STATE_C,STATE_A,CORE08,CORE09,5,5,0.03448421224671362
wxs,between_states,STATE_C,STATE_B,CORE08,CORE10,5,5,0.05453494294524574
wxs,between_states,STATE_A,STATE_B,CORE09,CORE10,5,5,0.06320020982832725
