modality,omnibus_feature_count,omnibus_fdr_significant_count,posthoc_row_count
rna_hallmark,50,12,180
ct_radiomics,308,0,0
cnv_continuous,54,26,390
WXS,22,8,120
CNV event secondary,102,1,15
clinical,6,2,30
WSI affinity,,,15
