feature,group_count,available_n,missing_n,mutated_n,total_n,comparison_status,chi_square,p_value,q_value,permutations
chr1p::loss,6,69,0,6,69,estimable,5.68511405,0.335,0.58913793,9999
chr1p::gain,6,69,0,0,69,estimable,0.0,1.0,1.0,9999
chr1q::loss,6,69,0,3,69,estimable,12.32142857,0.0321,0.2193,9999
chr1q::gain,6,69,0,5,69,estimable,6.74803571,0.1773,0.3808,9999
chr2p::loss,6,69,0,2,69,estimable,8.09168443,0.0792,0.22230769,9999
chr2p::gain,6,69,0,4,69,estimable,7.03142857,0.1643,0.36431739,9999
chr2q::loss,6,69,0,2,69,estimable,8.09168443,0.0845,0.22230769,9999
chr2q::gain,6,69,0,3,69,estimable,9.95505051,0.0453,0.22230769,9999
chr3p::loss,6,69,0,53,69,estimable,14.95091169,0.0078,0.2108,9999
chr3p::gain,6,69,0,2,69,estimable,8.09168443,0.0757,0.22230769,9999
chr3q::loss,6,69,0,10,69,estimable,6.36462185,0.2704,0.50146909,9999
chr3q::gain,6,69,0,3,69,estimable,6.40548341,0.2047,0.40172308,9999
chr4p::loss,6,69,0,4,69,estimable,13.5421978,0.0243,0.2193,9999
chr4p::gain,6,69,0,2,69,estimable,8.09168443,0.0801,0.22230769,9999
chr4q::loss,6,69,0,3,69,estimable,8.19935065,0.1329,0.30808636,9999
chr4q::gain,6,69,0,2,69,estimable,8.09168443,0.0776,0.22230769,9999
chr5p::loss,6,69,0,0,69,estimable,0.0,1.0,1.0,9999
chr5p::gain,6,69,0,18,69,estimable,6.02477802,0.3252,0.58193684,9999
chr5q::loss,6,69,0,1,69,estimable,3.98634454,0.7448,1.0,9999
chr5q::gain,6,69,0,28,69,estimable,9.21353615,0.0941,0.239955,9999
chr6p::loss,6,69,0,8,69,estimable,8.79063232,0.097,0.24131707,9999
chr6p::gain,6,69,0,0,69,estimable,0.0,1.0,1.0,9999
chr6q::loss,6,69,0,11,69,estimable,8.85082848,0.1041,0.25281429,9999
chr6q::gain,6,69,0,0,69,estimable,0.0,1.0,1.0,9999
chr7p::loss,6,69,0,0,69,estimable,0.0,1.0,1.0,9999
chr7p::gain,6,69,0,12,69,estimable,9.82512777,0.0748,0.22230769,9999
chr7q::loss,6,69,0,0,69,estimable,0.0,1.0,1.0,9999
chr7q::gain,6,69,0,13,69,estimable,11.06597562,0.0477,0.22230769,9999
chr8p::loss,6,69,0,17,69,estimable,23.7788376,0.0002,0.0204,9999
chr8p::gain,6,69,0,2,69,estimable,3.01599147,0.8066,1.0,9999
chr8q::loss,6,69,0,8,69,estimable,13.4063559,0.0186,0.2108,9999
chr8q::gain,6,69,0,5,69,estimable,8.42477679,0.1173,0.27824651,9999
chr9p::loss,6,69,0,14,69,estimable,13.71508349,0.0153,0.2108,9999
chr9p::gain,6,69,0,1,69,estimable,3.98634454,0.7521,1.0,9999
chr9q::loss,6,69,0,14,69,estimable,13.71508349,0.0158,0.2108,9999
chr9q::gain,6,69,0,2,69,estimable,8.09168443,0.0799,0.22230769,9999
chr10p::loss,6,69,0,5,69,estimable,6.72441964,0.2048,0.40172308,9999
chr10p::gain,6,69,0,0,69,estimable,0.0,1.0,1.0,9999
chr10q::loss,6,69,0,7,69,estimable,3.92847268,0.5582,0.88963125,9999
chr10q::gain,6,69,0,0,69,estimable,0.0,1.0,1.0,9999
chr11p::loss,6,69,0,0,69,estimable,0.0,1.0,1.0,9999
chr11p::gain,6,69,0,2,69,estimable,8.09168443,0.0804,0.22230769,9999
chr11q::loss,6,69,0,0,69,estimable,0.0,1.0,1.0,9999
chr11q::gain,6,69,0,2,69,estimable,8.09168443,0.0769,0.22230769,9999
chr12p::loss,6,69,0,0,69,estimable,0.0,1.0,1.0,9999
chr12p::gain,6,69,0,9,69,estimable,10.93595238,0.0497,0.22230769,9999
chr12q::loss,6,69,0,0,69,estimable,0.0,1.0,1.0,9999
chr12q::gain,6,69,0,9,69,estimable,7.0462465,0.1964,0.400656,9999
chr13p::loss,6,69,0,0,69,estimable,0.0,1.0,1.0,9999
chr13p::gain,6,69,0,0,69,estimable,0.0,1.0,1.0,9999
chr13q::loss,6,69,0,5,69,estimable,6.11179097,0.2943,0.53604643,9999
chr13q::gain,6,69,0,0,69,estimable,0.0,1.0,1.0,9999
chr14p::loss,6,69,0,0,69,estimable,0.0,1.0,1.0,9999
chr14p::gain,6,69,0,0,69,estimable,0.0,1.0,1.0,9999
chr14q::loss,6,69,0,30,69,estimable,13.48748546,0.015,0.2108,9999
chr14q::gain,6,69,0,2,69,estimable,8.09168443,0.0809,0.22230769,9999
chr15p::loss,6,69,0,0,69,estimable,0.0,1.0,1.0,9999
chr15p::gain,6,69,0,0,69,estimable,0.0,1.0,1.0,9999
chr15q::loss,6,69,0,1,69,estimable,5.98676471,0.3516,0.60095,9999
chr15q::gain,6,69,0,2,69,estimable,8.09168443,0.085,0.22230769,9999
chr16p::loss,6,69,0,1,69,estimable,3.98634454,0.7576,1.0,9999
chr16p::gain,6,69,0,5,69,estimable,3.06392857,0.75,1.0,9999
chr16q::loss,6,69,0,1,69,estimable,3.98634454,0.756,1.0,9999
chr16q::gain,6,69,0,6,69,estimable,4.36443689,0.5271,0.8534,9999
chr17p::loss,6,69,0,3,69,estimable,12.32142857,0.0343,0.2193,9999
chr17p::gain,6,69,0,0,69,estimable,0.0,1.0,1.0,9999
chr17q::loss,6,69,0,2,69,estimable,8.09168443,0.0789,0.22230769,9999
chr17q::gain,6,69,0,1,69,estimable,5.98676471,0.3535,0.60095,9999
chr18p::loss,6,69,0,8,69,estimable,7.39689696,0.1853,0.38572653,9999
chr18p::gain,6,69,0,1,69,estimable,3.98634454,0.7601,1.0,9999
chr18q::loss,6,69,0,8,69,estimable,7.39689696,0.1792,0.3808,9999
chr18q::gain,6,69,0,3,69,estimable,12.32142857,0.0344,0.2193,9999
chr19p::loss,6,69,0,0,69,estimable,0.0,1.0,1.0,9999
chr19p::gain,6,69,0,1,69,estimable,3.98634454,0.7472,1.0,9999
chr19q::loss,6,69,0,0,69,estimable,0.0,1.0,1.0,9999
chr19q::gain,6,69,0,2,69,estimable,8.09168443,0.0774,0.22230769,9999
chr20p::loss,6,69,0,2,69,estimable,2.56813621,1.0,1.0,9999
chr20p::gain,6,69,0,8,69,estimable,7.78404567,0.1484,0.33637333,9999
chr20q::loss,6,69,0,0,69,estimable,0.0,1.0,1.0,9999
chr20q::gain,6,69,0,10,69,estimable,6.83929782,0.2279,0.4386,9999
chr21p::loss,6,69,0,0,69,estimable,0.0,1.0,1.0,9999
chr21p::gain,6,69,0,0,69,estimable,0.0,1.0,1.0,9999
