feature,group_a,group_b,n_a,n_b,median_a,median_b,mean_a,mean_b,cliffs_delta,cliffs_delta_ci_low,cliffs_delta_ci_high,p_value,p_adjusted_holm
chr1q,CORE01,CORE02,17,14,0.01180066,0.01005,0.01574636,-0.06219587,0.09663866,-0.36134454,0.52951681,0.6623432,1.0
chr1q,CORE01,CORE03,17,14,0.01180066,0.05401652,0.01574636,0.07860501,-0.59663866,-0.92436975,-0.21848739,0.00513498,0.0770247
chr1q,CORE01,CORE04,17,10,0.01180066,0.06844487,0.01574636,0.07391273,-0.38823529,-0.85882353,0.15294118,0.10271879,1.0
chr1q,CORE01,CORE05,17,9,0.01180066,0.05091902,0.01574636,0.10014317,-0.50326797,-0.96078431,0.04575163,0.0405523,0.5271799
chr1q,CORE01,CORE06,17,5,0.01180066,-0.0037,0.01574636,0.0441999,0.17647059,-0.6,1.0,0.59459254,1.0
chr1q,CORE02,CORE03,14,14,0.01005,0.05401652,-0.06219587,0.07860501,-0.57142857,-0.87755102,-0.20408163,0.01076932,0.15077048
chr1q,CORE02,CORE04,14,10,0.01005,0.06844487,-0.06219587,0.07391273,-0.47142857,-0.85714286,-0.01392857,0.05703987,0.62743857
chr1q,CORE02,CORE05,14,9,0.01005,0.05091902,-0.06219587,0.10014317,-0.52380952,-0.88888889,-0.07936508,0.0406279,0.5271799
chr1q,CORE02,CORE06,14,5,0.01005,-0.0037,-0.06219587,0.0441999,-0.11428571,-0.71428571,0.57142857,0.75386997,1.0
chr1q,CORE03,CORE04,14,10,0.05401652,0.06844487,0.07860501,0.07391273,0.02857143,-0.42857143,0.48571429,0.93001099,1.0
chr1q,CORE03,CORE05,14,9,0.05401652,0.05091902,0.07860501,0.10014317,-0.06349206,-0.57142857,0.49206349,0.82549791,1.0
chr1q,CORE03,CORE06,14,5,0.05401652,-0.0037,0.07860501,0.0441999,0.37142857,-0.37142857,1.0,0.25662195,1.0
chr1q,CORE04,CORE05,10,9,0.06844487,0.05091902,0.07391273,0.10014317,-0.11111111,-0.6,0.46666667,0.71330317,1.0
chr1q,CORE04,CORE06,10,5,0.06844487,-0.0037,0.07391273,0.0441999,0.28,-0.44,0.88,0.43956044,1.0
chr1q,CORE05,CORE06,9,5,0.05091902,-0.0037,0.10014317,0.0441999,0.37777778,-0.33333333,1.0,0.2977023,1.0
chr2p,CORE01,CORE02,17,14,0.0124,0.03281666,0.01842727,-0.0123207,-0.19327731,-0.6302521,0.24369748,0.37174485,1.0
chr2p,CORE01,CORE03,17,14,0.0124,0.04028821,0.01842727,0.05306607,-0.50420168,-0.83193277,-0.12605042,0.01818618,0.23642034
chr2p,CORE01,CORE04,17,10,0.0124,0.1019,0.01842727,0.10549726,-0.70588235,-0.98823529,-0.28235294,0.00281293,0.04219395
chr2p,CORE01,CORE05,17,9,0.0124,0.027,0.01842727,0.11117845,-0.32679739,-0.76503268,0.17647059,0.18660224,1.0
chr2p,CORE01,CORE06,17,5,0.0124,-0.0031,0.01842727,0.01267759,0.2,-0.52941176,0.88235294,0.54264449,1.0
chr2p,CORE02,CORE03,14,14,0.03281666,0.04028821,-0.0123207,0.05306607,-0.23469388,-0.62270408,0.20408163,0.30115286,1.0
chr2p,CORE02,CORE04,14,10,0.03281666,0.1019,-0.0123207,0.10549726,-0.65714286,-1.0,-0.22857143,0.00770372,0.10785208
chr2p,CORE02,CORE05,14,9,0.03281666,0.027,-0.0123207,0.11117845,-0.14285714,-0.63492063,0.3968254,0.59224748,1.0
chr2p,CORE02,CORE06,14,5,0.03281666,-0.0031,-0.0123207,0.01267759,0.2,-0.42857143,0.80071429,0.54714273,1.0
chr2p,CORE03,CORE04,14,10,0.04028821,0.1019,0.05306607,0.10549726,-0.45714286,-0.88571429,0.05714286,0.06511742,0.71629162
chr2p,CORE03,CORE05,14,9,0.04028821,0.027,0.05306607,0.11117845,0.07936508,-0.46031746,0.63492063,0.776814,1.0
chr2p,CORE03,CORE06,14,5,0.04028821,-0.0031,0.05306607,0.01267759,0.48571429,-0.17214286,1.0,0.12985896,1.0
chr2p,CORE04,CORE05,10,9,0.1019,0.027,0.10549726,0.11117845,0.33333333,-0.24444444,0.91166667,0.23644472,1.0
chr2p,CORE04,CORE06,10,5,0.1019,-0.0031,0.10549726,0.01267759,0.72,0.24,1.0,0.02797203,0.33566436
chr2p,CORE05,CORE06,9,5,0.027,-0.0031,0.11117845,0.01267759,0.46666667,-0.24444444,1.0,0.18981019,1.0
chr2q,CORE01,CORE02,17,14,0.0124,0.00015711,0.01885844,-0.06281138,0.33613445,-0.1092437,0.73130252,0.11682572,1.0
chr2q,CORE01,CORE03,17,14,0.0124,0.03383303,0.01885844,0.03799675,-0.21008403,-0.62184874,0.22689076,0.33074907,1.0
chr2q,CORE01,CORE04,17,10,0.0124,0.07343179,0.01885844,0.09466543,-0.62352941,-0.95294118,-0.2,0.00837887,0.11730418
chr2q,CORE01,CORE05,17,9,0.0124,0.027,0.01885844,0.08300166,-0.18954248,-0.7124183,0.35947712,0.45043843,1.0
chr2q,CORE01,CORE06,17,5,0.0124,-0.0031,0.01885844,0.00377967,0.45882353,-0.22352941,0.95294118,0.13648846,1.0
