modality,group_a,group_b,n_a,n_b,comparison_status,not_estimable_reason,available_n,set_count,permanova_r2,pseudo_f,permanova_p_value,permutations,permanova_q_value
ct,CORE01,CORE02,17,14,estimable,,31,2,0.040464,1.222942,0.0102,9999,0.00575
ct,CORE01,CORE03,17,14,estimable,,31,2,0.035349,1.062679,0.149,9999,0.00575
ct,CORE01,CORE04,17,10,estimable,,27,2,0.041969,1.095182,0.0662,9999,0.00575
ct,CORE01,CORE05,17,9,estimable,,26,2,0.045522,1.144645,0.0187,9999,0.00575
ct,CORE01,CORE06,17,5,estimable,,22,2,0.052479,1.107715,0.0572,9999,0.00575
ct,CORE02,CORE03,14,14,estimable,,28,2,0.046916,1.279862,0.0023,9999,0.00575
ct,CORE02,CORE04,14,10,estimable,,24,2,0.051553,1.195808,0.0315,9999,0.0675
ct,CORE02,CORE05,14,9,estimable,,23,2,0.052872,1.172294,0.058,9999,0.10875
ct,CORE02,CORE06,14,5,estimable,,19,2,0.064836,1.178638,0.0769,9999,0.12816667
ct,CORE03,CORE04,14,10,estimable,,24,2,0.041904,0.96221,0.7284,9999,0.13131818
ct,CORE03,CORE05,14,9,estimable,,23,2,0.048772,1.076717,0.0963,9999,0.13131818
ct,CORE03,CORE06,14,5,estimable,,19,2,0.055547,0.999843,0.4441,9999,0.1955
ct,CORE04,CORE05,10,9,estimable,,19,2,0.051701,0.926838,0.9357,9999,0.1955
ct,CORE04,CORE06,10,5,estimable,,15,2,0.072423,1.015005,0.344,9999,0.1955
ct,CORE05,CORE06,9,5,estimable,,14,2,0.079987,1.043288,0.1955,9999,0.1955
wsi,CORE01,CORE02,17,14,estimable,,31,2,0.06011,1.85466,0.0026,9999,0.00405
wsi,CORE01,CORE03,17,14,estimable,,31,2,0.059601,1.837974,0.0033,9999,0.00405
wsi,CORE01,CORE04,17,10,estimable,,27,2,0.071918,1.937263,0.0019,9999,0.00405
wsi,CORE01,CORE05,17,9,estimable,,26,2,0.076525,1.988781,0.0016,9999,0.00405
wsi,CORE01,CORE06,17,5,estimable,,22,2,0.063304,1.351634,0.0733,9999,0.00405
wsi,CORE02,CORE03,14,14,estimable,,28,2,0.039702,1.074921,0.2467,9999,0.00405
wsi,CORE02,CORE04,14,10,estimable,,24,2,0.051176,1.186599,0.1015,9999,0.00405
wsi,CORE02,CORE05,14,9,estimable,,23,2,0.055216,1.227291,0.0446,9999,0.00405
wsi,CORE02,CORE06,14,5,estimable,,19,2,0.051695,0.926716,0.7082,9999,0.00405
wsi,CORE03,CORE04,14,10,estimable,,24,2,0.060541,1.417731,0.0027,9999,0.00405
wsi,CORE03,CORE05,14,9,estimable,,23,2,0.058772,1.311276,0.0158,9999,0.02154545
wsi,CORE03,CORE06,14,5,estimable,,19,2,0.045832,0.816563,0.9699,9999,0.1125
wsi,CORE04,CORE05,10,9,estimable,,19,2,0.069005,1.260025,0.0975,9999,0.1125
wsi,CORE04,CORE06,10,5,estimable,,15,2,0.06452,0.896605,0.6787,9999,0.7261
wsi,CORE05,CORE06,9,5,estimable,,14,2,0.067931,0.874581,0.7261,9999,0.7261
rna,CORE01,CORE02,17,14,estimable,,31,2,0.073164,2.289256,0.0001,9999,0.0003
rna,CORE01,CORE03,17,14,estimable,,31,2,0.091134,2.907898,0.0001,9999,0.0003
rna,CORE01,CORE04,17,10,estimable,,27,2,0.066029,1.767417,0.0002,9999,0.0003
rna,CORE01,CORE05,17,9,estimable,,26,2,0.074903,1.943225,0.0001,9999,0.0003
rna,CORE01,CORE06,17,5,estimable,,22,2,0.059719,1.270241,0.0293,9999,0.0003
rna,CORE02,CORE03,14,14,estimable,,28,2,0.061817,1.713149,0.0004,9999,0.0003
rna,CORE02,CORE04,14,10,estimable,,24,2,0.070675,1.673093,0.0003,9999,0.0003
rna,CORE02,CORE05,14,9,estimable,,23,2,0.061391,1.373536,0.0212,9999,0.0003
rna,CORE02,CORE06,14,5,estimable,,19,2,0.074694,1.372303,0.0169,9999,0.0003
rna,CORE03,CORE04,14,10,estimable,,24,2,0.072279,1.714026,0.0002,9999,0.0003
rna,CORE03,CORE05,14,9,estimable,,23,2,0.07342,1.663997,0.0007,9999,0.000375
rna,CORE03,CORE06,14,5,estimable,,19,2,0.084856,1.576307,0.0003,9999,0.000375
rna,CORE04,CORE05,10,9,estimable,,19,2,0.078664,1.451462,0.008,9999,0.00923077
rna,CORE04,CORE06,10,5,estimable,,15,2,0.08714,1.240959,0.024,9999,0.02571429
rna,CORE05,CORE06,9,5,estimable,,14,2,0.088169,1.160334,0.0902,9999,0.0902
wxs,CORE01,CORE02,17,14,estimable,,31,2,0.104564,3.386475,0.0001,9999,0.00011538
wxs,CORE01,CORE03,17,14,estimable,,31,2,0.100194,3.229155,0.0001,9999,0.00011538
wxs,CORE01,CORE04,17,10,estimable,,27,2,0.050264,1.323099,0.1327,9999,0.00011538
wxs,CORE01,CORE05,17,9,estimable,,26,2,0.067175,1.728292,0.0107,9999,0.00011538
wxs,CORE01,CORE06,17,5,estimable,,22,2,0.033916,0.70213,0.8339,9999,0.00011538
wxs,CORE02,CORE03,14,14,estimable,,28,2,0.128789,3.843532,0.0001,9999,0.00011538
wxs,CORE02,CORE04,14,10,estimable,,24,2,0.131675,3.336126,0.0001,9999,0.00011538
wxs,CORE02,CORE05,14,9,estimable,,23,2,0.113799,2.69666,0.0002,9999,0.00011538
wxs,CORE02,CORE06,14,5,estimable,,19,2,0.114254,2.192865,0.0026,9999,0.00011538
wxs,CORE03,CORE04,14,10,estimable,,24,2,0.121619,3.046086,0.0001,9999,0.00011538
wxs,CORE03,CORE05,14,9,estimable,,23,2,0.101247,2.365714,0.0004,9999,0.00011538
wxs,CORE03,CORE06,14,5,estimable,,19,2,0.108864,2.076768,0.0072,9999,0.00011538
wxs,CORE04,CORE05,10,9,estimable,,19,2,0.099051,1.868998,0.0001,9999,0.00011538
wxs,CORE04,CORE06,10,5,estimable,,15,2,0.083298,1.181272,0.2408,9999,0.0235
wxs,CORE05,CORE06,9,5,estimable,,14,2,0.100063,1.334273,0.0235,9999,0.0235
cnv,CORE01,CORE02,17,14,estimable,,31,2,0.062532,1.934387,0.0001,9999,0.00075
cnv,CORE01,CORE03,17,14,estimable,,31,2,0.059842,1.845893,0.0003,9999,0.00075
cnv,CORE01,CORE04,17,10,estimable,,27,2,0.07347,1.982399,0.0002,9999,0.00075
cnv,CORE01,CORE05,17,9,estimable,,26,2,0.073711,1.90985,0.0019,9999,0.00075
cnv,CORE01,CORE06,17,5,estimable,,22,2,0.081516,1.775006,0.0068,9999,0.00075
cnv,CORE02,CORE03,14,14,estimable,,28,2,0.04574,1.246241,0.0083,9999,0.00075
cnv,CORE02,CORE04,14,10,estimable,,24,2,0.050376,1.167071,0.0148,9999,0.00075
cnv,CORE02,CORE05,14,9,estimable,,23,2,0.060743,1.358107,0.0004,9999,0.00075
cnv,CORE02,CORE06,14,5,estimable,,19,2,0.072559,1.330012,0.0062,9999,0.00105
cnv,CORE03,CORE04,14,10,estimable,,24,2,0.056903,1.327396,0.0007,9999,0.00105
cnv,CORE03,CORE05,14,9,estimable,,23,2,0.059651,1.332137,0.0008,9999,0.00109091
cnv,CORE03,CORE06,14,5,estimable,,19,2,0.069421,1.268192,0.0252,9999,0.00219231
cnv,CORE04,CORE05,10,9,estimable,,19,2,0.072102,1.320984,0.0019,9999,0.00219231
cnv,CORE04,CORE06,10,5,estimable,,15,2,0.09143,1.308197,0.0072,9999,0.00771429
cnv,CORE05,CORE06,9,5,estimable,,14,2,0.094488,1.252168,0.0506,9999,0.0506
fused,CORE01,CORE02,17,14,estimable,,31,2,0.034302,1.030104,0.0001,9999,0.00011538
fused,CORE01,CORE03,17,14,estimable,,31,2,0.03429,1.029727,0.0001,9999,0.00011538
fused,CORE01,CORE04,17,10,estimable,,27,2,0.039178,1.019392,0.0001,9999,0.00011538
fused,CORE01,CORE05,17,9,estimable,,26,2,0.040824,1.02147,0.0001,9999,0.00011538
fused,CORE01,CORE06,17,5,estimable,,22,2,0.047927,1.006802,0.0037,9999,0.00011538
fused,CORE02,CORE03,14,14,estimable,,28,2,0.03785,1.022802,0.0001,9999,0.00011538
fused,CORE02,CORE04,14,10,estimable,,24,2,0.044352,1.021017,0.0001,9999,0.00011538
fused,CORE02,CORE05,14,9,estimable,,23,2,0.046254,1.018437,0.0001,9999,0.00011538
fused,CORE02,CORE06,14,5,estimable,,19,2,0.056182,1.011948,0.0001,9999,0.00011538
fused,CORE03,CORE04,14,10,estimable,,24,2,0.044257,1.018732,0.0001,9999,0.00011538
fused,CORE03,CORE05,14,9,estimable,,23,2,0.046157,1.0162,0.0001,9999,0.00011538
fused,CORE03,CORE06,14,5,estimable,,19,2,0.056052,1.009457,0.0003,9999,0.00011538
fused,CORE04,CORE05,10,9,estimable,,19,2,0.056208,1.012439,0.0001,9999,0.00011538
fused,CORE04,CORE06,10,5,estimable,,15,2,0.071837,1.006154,0.0055,9999,0.00589286
fused,CORE05,CORE06,9,5,estimable,,14,2,0.077287,1.005122,0.0157,9999,0.0157
