modality,comparison_status,not_estimable_reason,available_n,set_count,permanova_r2,pseudo_f,permanova_p_value,permutations,permanova_q_value
ct,estimable,,69,6,0.080903,1.109102,0.0011,9999,0.0001
wsi,estimable,,69,6,0.099324,1.389495,0.0001,9999,0.0001
rna,estimable,,69,6,0.121925,1.749573,0.0001,9999,0.0001
wxs,estimable,,69,6,0.158729,2.377335,0.0001,9999,0.0001
cnv,estimable,,69,6,0.107851,1.523208,0.0001,9999,0.0001
fused,estimable,,69,6,0.074768,1.018211,0.0001,9999,0.0001
