modality,comparison_status,not_estimable_reason,permdisp_f,permdisp_p_value,permutations,negative_eigenvalue_count,negative_eigenvalue_sum,negative_eigenvalue_fraction,limitations,q_value
ct,estimable,,13.57957,0.9485,9999,0,0.0,0.0,[],1.0
wsi,estimable,,2.398721,0.9958,9999,0,0.0,0.0,[],1.0
rna,estimable,,1.853594,1.0,9999,0,0.0,0.0,[],1.0
wxs,estimable,,2.335741,0.8437,9999,0,0.0,0.0,[],1.0
cnv,estimable,,4.888887,0.9741,9999,0,0.0,0.0,[],1.0
fused,estimable,,15364.951724,1.0,9999,0,0.0,0.0,[],1.0
