group_id,feature,n_group,n_rest,median_group,median_rest,cliffs_delta,cliffs_delta_ci_low,cliffs_delta_ci_high,p_value,analysis_role
CORE01,chr22q,17,52,0.0179,0.03528041,-0.25,,,0.12555959,descriptive_secondary
CORE01,locus::VHL,17,52,-0.4106,-0.31755,-0.41855204,,,0.01019094,descriptive_secondary
CORE01,locus::SETD2,17,52,-0.3967,-0.32833383,-0.40045249,,,0.0139761,descriptive_secondary
CORE01,locus::PBRM1,17,52,-0.3967,-0.32715,-0.39819005,,,0.01452738,descriptive_secondary
CORE01,locus::BAP1,17,52,-0.3967,-0.32715,-0.39819005,,,0.01452738,descriptive_secondary
CORE01,locus::JAK2,17,52,0.0127,-0.0134,0.29638009,,,0.06916652,descriptive_secondary
CORE01,locus::CDKN2A,17,52,0.0121,-0.01755,0.31900452,,,0.05039785,descriptive_secondary
CORE01,locus::PTEN,17,52,0.0019,-0.00795,0.12782805,,,0.4354788,descriptive_secondary
CORE01,fga,17,52,0.07639483,0.17047748,-0.5158371,,,0.00153446,descriptive_secondary
CORE01,gain_burden,17,52,0.03204254,0.05411104,-0.23755656,,,0.14559077,descriptive_secondary
CORE01,loss_burden,17,52,0.03775997,0.09679913,-0.50904977,,,0.00177016,descriptive_secondary
CORE02,chr1p,14,55,-0.00305,0.0093,-0.24545455,,,0.16074172,descriptive_secondary
CORE02,chr1q,14,55,0.01005,0.0303,-0.35714286,,,0.04093501,descriptive_secondary
CORE02,chr2p,14,55,0.03281666,0.02921081,-0.12467532,,,0.47847486,descriptive_secondary
CORE02,chr2q,14,55,0.00015711,0.0257,-0.43896104,,,0.01192944,descriptive_secondary
CORE02,chr3p,14,55,-0.15483261,-0.35021174,0.62857143,,,0.00031407,descriptive_secondary
CORE02,chr3q,14,55,0.0353,0.0156,0.16623377,,,0.34339434,descriptive_secondary
CORE02,chr4p,14,55,0.02585,0.0122,0.15584416,,,0.37465047,descriptive_secondary
CORE02,chr4q,14,55,0.02803816,0.0113,0.16623377,,,0.34339434,descriptive_secondary
CORE02,chr5p,14,55,0.04796353,0.05231116,-0.00519481,,,0.98214371,descriptive_secondary
CORE02,chr5q,14,55,0.05033742,0.18974304,-0.48831169,,,0.00514716,descriptive_secondary
CORE02,chr6p,14,55,0.00513614,0.0093,-0.14805195,,,0.39920125,descriptive_secondary
CORE02,chr6q,14,55,0.01085886,-0.0016,0.05974026,,,0.73708112,descriptive_secondary
CORE02,chr7p,14,55,0.12954776,0.0319,0.35064935,,,0.04476386,descriptive_secondary
CORE02,chr7q,14,55,0.16466687,0.0315441,0.43116883,,,0.01353338,descriptive_secondary
CORE02,chr8p,14,55,-0.0046146,-0.0099,0.01298701,,,0.94646639,descriptive_secondary
CORE02,chr8q,14,55,0.0075,0.01395807,-0.0961039,,,0.58601876,descriptive_secondary
CORE02,chr9p,14,55,0.02410615,-0.0057822,0.36753247,,,0.03538961,descriptive_secondary
CORE02,chr9q,14,55,0.03966317,-0.01100398,0.50779221,,,0.0036188,descriptive_secondary
CORE02,chr10p,14,55,0.00494966,0.01174157,-0.14545455,,,0.40760692,descriptive_secondary
CORE02,chr10q,14,55,-0.00191444,-0.00037966,-0.03636364,,,0.84036024,descriptive_secondary
CORE02,chr11p,14,55,0.04775608,0.0221,0.41558442,,,0.01731677,descriptive_secondary
CORE02,chr11q,14,55,0.04015,0.0211,0.28311688,,,0.10546082,descriptive_secondary
CORE02,chr12p,14,55,0.0768199,0.0315,0.39480519,,,0.02378883,descriptive_secondary
CORE02,chr12q,14,55,0.07549594,0.0329,0.33246753,,,0.05711626,descriptive_secondary
CORE02,chr13p,14,55,0.0,0.0,0.0,,,1.0,descriptive_secondary
CORE02,chr13q,14,55,0.00238806,0.01469768,-0.19480519,,,0.2663058,descriptive_secondary
CORE02,chr14p,14,55,0.0,0.0,0.0,,,1.0,descriptive_secondary
CORE02,chr14q,14,55,-0.00159089,-0.16066109,0.33766234,,,0.05332718,descriptive_secondary
CORE02,chr15p,14,55,0.0,0.0,0.0,,,1.0,descriptive_secondary
CORE02,chr15q,14,55,0.035,0.02392572,0.12727273,,,0.46927101,descriptive_secondary
CORE02,chr16p,14,55,0.0405,0.0302,0.01038961,,,0.95835077,descriptive_secondary
CORE02,chr16q,14,55,0.03875921,0.0302,0.05714286,,,0.74836177,descriptive_secondary
CORE02,chr17p,14,55,0.00886725,0.02371828,-0.26233766,,,0.1337227,descriptive_secondary
CORE02,chr17q,14,55,0.0191,0.02613022,-0.16623377,,,0.34338993,descriptive_secondary
CORE02,chr18p,14,55,0.01725,0.0201,0.02597403,,,0.88727626,descriptive_secondary
CORE02,chr18q,14,55,0.01799121,0.0207,0.04415584,,,0.80552913,descriptive_secondary
CORE02,chr19p,14,55,0.02098036,0.0196,-0.02207792,,,0.90498332,descriptive_secondary
CORE02,chr19q,14,55,0.0315,0.02230999,0.14155844,,,0.4203938,descriptive_secondary
CORE02,chr20p,14,55,0.06168492,0.0312,0.34545455,,,0.04803679,descriptive_secondary
CORE02,chr20q,14,55,0.06758899,0.0352,0.25194805,,,0.14990021,descriptive_secondary
CORE02,chr21p,14,55,0.0,0.0,0.0,,,1.0,descriptive_secondary
CORE02,chr21q,14,55,0.02075,0.021,-0.09090909,,,0.60670872,descriptive_secondary
CORE02,chr22p,14,55,0.0,0.0,0.0,,,1.0,descriptive_secondary
CORE02,chr22q,14,55,0.03404897,0.0259,-0.02077922,,,0.91089547,descriptive_secondary
CORE02,locus::VHL,14,55,-0.1489,-0.3905,0.65194805,,,0.00018571,descriptive_secondary
CORE02,locus::SETD2,14,55,-0.21515,-0.3913,0.63896104,,,0.00024919,descriptive_secondary
CORE02,locus::PBRM1,14,55,-0.21515,-0.3913,0.63636364,,,0.00026411,descriptive_secondary
CORE02,locus::BAP1,14,55,-0.21515,-0.3913,0.63636364,,,0.00026411,descriptive_secondary
CORE02,locus::JAK2,14,55,0.03905,-0.0024,0.44025974,,,0.01167942,descriptive_secondary
CORE02,locus::CDKN2A,14,55,0.0241,-0.0163,0.35454545,,,0.04243114,descriptive_secondary
CORE02,locus::PTEN,14,55,-0.00195,-0.0002,-0.03896104,,,0.82870901,descriptive_secondary
CORE02,fga,14,55,0.14646365,0.13703489,0.08571429,,,0.62772557,descriptive_secondary
CORE02,gain_burden,14,55,0.04443834,0.04972458,-0.03636364,,,0.84035448,descriptive_secondary
CORE02,loss_burden,14,55,0.12831548,0.07122443,0.22077922,,,0.20737385,descriptive_secondary
CORE03,chr1p,14,55,0.01657987,0.0071,0.17402597,,,0.32107476,descriptive_secondary
CORE03,chr1q,14,55,0.05401652,0.01711825,0.35844156,,,0.04020386,descriptive_secondary
CORE03,chr2p,14,55,0.04028821,0.02860152,0.18961039,,,0.27934672,descriptive_secondary
CORE03,chr2q,14,55,0.03383303,0.0129,0.12467532,,,0.47847486,descriptive_secondary
CORE03,chr3p,14,55,-0.27527974,-0.3458,0.23636364,,,0.17690527,descriptive_secondary
CORE03,chr3q,14,55,0.0244055,0.0159,0.08831169,,,0.61717961,descriptive_secondary
CORE03,chr4p,14,55,0.02469106,0.0113,0.16103896,,,0.35880845,descriptive_secondary
CORE03,chr4q,14,55,0.01526915,0.0113,0.07792208,,,0.65981559,descriptive_secondary
CORE03,chr5p,14,55,0.04605099,0.0492,-0.05194805,,,0.77108316,descriptive_secondary
CORE03,chr5q,14,55,0.15181723,0.17385583,0.08051948,,,0.64904541,descriptive_secondary
CORE03,chr6p,14,55,0.02478159,0.0091,0.17012987,,,0.33210684,descriptive_secondary
CORE03,chr6q,14,55,-0.04934248,0.0087,-0.36103896,,,0.03877653,descriptive_secondary
CORE03,chr7p,14,55,0.04138718,0.0412,0.04675325,,,0.79400268,descriptive_secondary
CORE03,chr7q,14,55,0.03617687,0.0412,-0.02597403,,,0.88727831,descriptive_secondary
CORE03,chr8p,14,55,0.00915,-0.0099,0.25844156,,,0.13962559,descriptive_secondary
CORE03,chr8q,14,55,0.03868997,0.0123,0.43896104,,,0.011931,descriptive_secondary
CORE03,chr9p,14,55,-0.05982057,0.0002,-0.11168831,,,0.52598566,descriptive_secondary
CORE03,chr9q,14,55,-0.0091926,0.000524,-0.15064935,,,0.39091345,descriptive_secondary
CORE03,chr10p,14,55,0.03032481,0.00450771,0.22337662,,,0.20204725,descriptive_secondary
CORE03,chr10q,14,55,0.0247,-0.0065634,0.34285714,,,0.04975039,descriptive_secondary
CORE03,chr11p,14,55,0.03134369,0.0273,-0.03116883,,,0.86375798,descriptive_secondary
CORE03,chr11q,14,55,0.02624292,0.0216,-0.09350649,,,0.59632114,descriptive_secondary
CORE03,chr12p,14,55,0.0352,0.04044839,-0.08051948,,,0.64904541,descriptive_secondary
CORE03,chr12q,14,55,0.03496892,0.04250087,-0.11948052,,,0.49719941,descriptive_secondary
CORE03,chr13p,14,55,0.0,0.0,0.0,,,1.0,descriptive_secondary
CORE03,chr13q,14,55,0.01355,0.0135,-0.03116883,,,0.86375922,descriptive_secondary
CORE03,chr14p,14,55,0.0,0.0,0.0,,,1.0,descriptive_secondary
CORE03,chr14q,14,55,-0.29325702,-0.0347719,-0.52987013,,,0.00239412,descriptive_secondary
CORE03,chr15p,14,55,0.0,0.0,0.0,,,1.0,descriptive_secondary
CORE03,chr15q,14,55,0.03724159,0.01336062,0.22857143,,,0.1916946,descriptive_secondary
CORE03,chr16p,14,55,0.0309,0.0359,-0.04415584,,,0.80553087,descriptive_secondary
CORE03,chr16q,14,55,0.0342852,0.03027771,0.01298701,,,0.94646688,descriptive_secondary
CORE03,chr17p,14,55,0.02835,0.0184,0.17272727,,,0.32472224,descriptive_secondary
CORE03,chr17q,14,55,0.031492,0.0223329,0.19350649,,,0.26952383,descriptive_secondary
CORE03,chr18p,14,55,-0.04703095,0.0276,-0.41948052,,,0.01629165,descriptive_secondary
CORE03,chr18q,14,55,-0.0284849,0.0276,-0.39090909,,,0.02521051,descriptive_secondary
