feature,group_a,group_b,n_a,n_b,missing_n_a,missing_n_b,frequency_a,frequency_b,frequency_difference,odds_ratio,ci_low,ci_high,fisher_p,p_adjusted_holm
mutation::DST,CORE05,CORE06,9,5,0,0,0.0,0.0,0.0,0.57894737,0.01000394,33.50480542,1.0,1.0
mutation::MTOR,CORE01,CORE02,17,14,0,0,0.0,0.0,0.0,0.82857143,0.01546206,44.40097205,1.0,1.0
mutation::MTOR,CORE01,CORE03,17,14,0,0,0.0,0.0,0.0,0.82857143,0.01546206,44.40097205,1.0,1.0
mutation::MTOR,CORE01,CORE04,17,10,0,0,0.0,0.3,-0.3,0.06122449,0.00280193,1.33780672,0.04102564,0.6153846
mutation::MTOR,CORE01,CORE05,17,9,0,0,0.0,0.0,0.0,0.54285714,0.00995484,29.60307089,1.0,1.0
mutation::MTOR,CORE01,CORE06,17,5,0,0,0.0,0.0,0.0,0.31428571,0.00555618,17.77760863,1.0,1.0
mutation::MTOR,CORE02,CORE03,14,14,0,0,0.0,0.0,0.0,1.0,0.01855505,53.89368994,1.0,1.0
mutation::MTOR,CORE02,CORE04,14,10,0,0,0.0,0.3,-0.3,0.07389163,0.00335686,1.62651204,0.05928854,0.83003956
mutation::MTOR,CORE02,CORE05,14,9,0,0,0.0,0.0,0.0,0.65517241,0.01194648,35.93117382,1.0,1.0
mutation::MTOR,CORE02,CORE06,14,5,0,0,0.0,0.0,0.0,0.37931034,0.00666812,21.57673143,1.0,1.0
mutation::MTOR,CORE03,CORE04,14,10,0,0,0.0,0.3,-0.3,0.07389163,0.00335686,1.62651204,0.05928854,0.83003956
mutation::MTOR,CORE03,CORE05,14,9,0,0,0.0,0.0,0.0,0.65517241,0.01194648,35.93117382,1.0,1.0
mutation::MTOR,CORE03,CORE06,14,5,0,0,0.0,0.0,0.0,0.37931034,0.00666812,21.57673143,1.0,1.0
mutation::MTOR,CORE04,CORE05,10,9,0,0,0.3,0.0,0.3,8.86666667,0.39385805,199.60941964,0.21052632,1.0
mutation::MTOR,CORE04,CORE06,10,5,0,0,0.3,0.0,0.3,5.13333333,0.21758276,121.10844965,0.50549451,1.0
mutation::MTOR,CORE05,CORE06,9,5,0,0,0.0,0.0,0.0,0.57894737,0.01000394,33.50480542,1.0,1.0
mutation::PBRM1,CORE01,CORE02,17,14,0,0,0.6470588235294118,0.0,0.6470588235294118,51.30769231,2.60921149,1008.91755887,0.00015046,0.00195598
mutation::PBRM1,CORE01,CORE03,17,14,0,0,0.6470588235294118,0.0,0.6470588235294118,51.30769231,2.60921149,1008.91755887,0.00015046,0.00195598
mutation::PBRM1,CORE01,CORE04,17,10,0,0,0.6470588235294118,1.0,-0.3529411764705882,0.08424908,0.00421265,1.68490361,0.05699132,0.34194792
mutation::PBRM1,CORE01,CORE05,17,9,0,0,0.6470588235294118,0.4444444444444444,0.20261437908496738,2.16239316,0.44811471,10.4347037,0.41853547,1.0
mutation::PBRM1,CORE01,CORE06,17,5,0,0,0.6470588235294118,0.8,-0.15294117647058825,0.58974359,0.07343962,4.73582895,1.0,1.0
mutation::PBRM1,CORE02,CORE03,14,14,0,0,0.0,0.0,0.0,1.0,0.01855505,53.89368994,1.0,1.0
mutation::PBRM1,CORE02,CORE04,14,10,0,0,0.0,1.0,-1.0,0.00164204,3.009e-05,0.08962081,5.1e-07,7.65e-06
mutation::PBRM1,CORE02,CORE05,14,9,0,0,0.0,0.4444444444444444,-0.4444444444444444,0.04214559,0.00193262,0.91909155,0.01422925,0.113834
mutation::PBRM1,CORE02,CORE06,14,5,0,0,0.0,0.8,-0.8,0.01149425,0.00039493,0.33453325,0.00128999,0.01418989
mutation::PBRM1,CORE03,CORE04,14,10,0,0,0.0,1.0,-1.0,0.00164204,3.009e-05,0.08962081,5.1e-07,7.65e-06
mutation::PBRM1,CORE03,CORE05,14,9,0,0,0.0,0.4444444444444444,-0.4444444444444444,0.04214559,0.00193262,0.91909155,0.01422925,0.113834
mutation::PBRM1,CORE03,CORE06,14,5,0,0,0.0,0.8,-0.8,0.01149425,0.00039493,0.33453325,0.00128999,0.01418989
mutation::PBRM1,CORE04,CORE05,10,9,0,0,1.0,0.4444444444444444,0.5555555555555556,25.66666667,1.15790027,568.9417277,0.01083591,0.09752319
mutation::PBRM1,CORE04,CORE06,10,5,0,0,1.0,0.8,0.19999999999999996,7.0,0.23694754,206.79683059,0.33333333,1.0
