feature,group_count,available_n,group_sizes,comparison_status,not_estimable_reason,kruskal_h,p_value,q_value,epsilon_squared
original_shape_Elongation,6,69,17;14;14;10;9;5,estimable,,1.6333411,0.8971883,0.92729529,0.0
original_shape_Flatness,6,69,17;14;14;10;9;5,estimable,,2.23057571,0.81640741,0.88539959,0.0
original_shape_LeastAxisLength,6,69,17;14;14;10;9;5,estimable,,14.54175479,0.01251075,0.11669178,0.15145643
original_shape_MajorAxisLength,6,69,17;14;14;10;9;5,estimable,,7.39363896,0.19297182,0.35594717,0.03799427
original_shape_Maximum2DDiameterColumn,6,69,17;14;14;10;9;5,estimable,,9.15339539,0.10309995,0.27612856,0.06592691
original_shape_Maximum2DDiameterRow,6,69,17;14;14;10;9;5,estimable,,11.54329187,0.04161094,0.17556397,0.10386178
original_shape_Maximum2DDiameterSlice,6,69,17;14;14;10;9;5,estimable,,7.75955855,0.16999415,0.33777046,0.04380252
original_shape_MeshVolume,6,69,17;14;14;10;9;5,estimable,,9.62553787,0.08656798,0.24918633,0.07342124
original_shape_MinorAxisLength,6,69,17;14;14;10;9;5,estimable,,13.33315773,0.02044893,0.13461955,0.13227234
original_shape_Sphericity,6,69,17;14;14;10;9;5,estimable,,4.94124328,0.42309299,0.60207146,0.0
original_shape_SurfaceVolumeRatio,6,69,17;14;14;10;9;5,estimable,,12.92205856,0.02412021,0.14017028,0.12574696
original_firstorder_10Percentile,6,69,17;14;14;10;9;5,estimable,,4.10799357,0.53397472,0.70283852,0.0
original_firstorder_90Percentile,6,69,17;14;14;10;9;5,estimable,,13.17563733,0.02178729,0.13694868,0.12977202
original_firstorder_Energy,6,69,17;14;14;10;9;5,estimable,,11.00152594,0.05134974,0.1976965,0.09526232
original_firstorder_InterquartileRange,6,69,17;14;14;10;9;5,estimable,,11.71421682,0.03892059,0.17556397,0.10657487
original_firstorder_Kurtosis,6,69,17;14;14;10;9;5,estimable,,1.63909088,0.89648214,0.92729529,0.0
original_firstorder_Maximum,6,69,17;14;14;10;9;5,estimable,,6.75777233,0.23928732,0.40494777,0.02790115
original_firstorder_Mean,6,69,17;14;14;10;9;5,estimable,,9.89466256,0.07827555,0.24632187,0.07769306
original_firstorder_Minimum,6,69,17;14;14;10;9;5,estimable,,8.10227442,0.15068843,0.33389954,0.04924245
original_firstorder_Range,6,69,17;14;14;10;9;5,estimable,,9.70986795,0.083886,0.24886476,0.07475981
original_firstorder_Skewness,6,69,17;14;14;10;9;5,estimable,,4.36069315,0.49873566,0.67078857,0.0
original_firstorder_Uniformity,6,69,17;14;14;10;9;5,estimable,,14.19340675,0.01442644,0.12342621,0.14592709
original_firstorder_Variance,6,69,17;14;14;10;9;5,estimable,,13.27818988,0.02090672,0.13461955,0.13139984
original_glcm_Correlation,6,69,17;14;14;10;9;5,estimable,,13.44243761,0.01956727,0.13392709,0.13400695
original_glcm_Idmn,6,69,17;14;14;10;9;5,estimable,,7.84912968,0.16474874,0.33777046,0.04522428
original_glcm_Idn,6,69,17;14;14;10;9;5,estimable,,7.02788872,0.21857444,0.38515486,0.03218871
