gene,driver_panel_member,set_mutated_n,set_n,rest_mutated_n,rest_n,odds_ratio,zero_cell_correction_applied,effect_status,p_value,q_global,q_driver,odds_ratio_ci95_lower,odds_ratio_ci95_upper
RETREG1,False,2,33,0,70,11.19047619047619,True,estimated,0.1005139920045688,1.0,,0.5219031862617367,239.9425040237496
SALL4,False,2,33,0,70,11.19047619047619,True,estimated,0.1005139920045688,1.0,,0.5219031862617367,239.9425040237496
SHOC1,False,2,33,0,70,11.19047619047619,True,estimated,0.1005139920045688,1.0,,0.5219031862617367,239.9425040237496
SYTL2,False,2,33,0,70,11.19047619047619,True,estimated,0.1005139920045688,1.0,,0.5219031862617367,239.9425040237496
TECTA,False,2,33,0,70,11.19047619047619,True,estimated,0.1005139920045688,1.0,,0.5219031862617367,239.9425040237496
TEKT3,False,2,33,0,70,11.19047619047619,True,estimated,0.1005139920045688,1.0,,0.5219031862617367,239.9425040237496
VPS54,False,2,33,0,70,11.19047619047619,True,estimated,0.1005139920045688,1.0,,0.5219031862617367,239.9425040237496
ZBTB38,False,2,33,0,70,11.19047619047619,True,estimated,0.1005139920045688,1.0,,0.5219031862617367,239.9425040237496
ZBTB41,False,2,33,0,70,11.19047619047619,True,estimated,0.1005139920045688,1.0,,0.5219031862617367,239.9425040237496
ZEB2,False,2,33,0,70,11.19047619047619,True,estimated,0.1005139920045688,1.0,,0.5219031862617367,239.9425040237496
ZFX,False,2,33,0,70,11.19047619047619,True,estimated,0.1005139920045688,1.0,,0.5219031862617367,239.9425040237496
ZNF155,False,2,33,0,70,11.19047619047619,True,estimated,0.1005139920045688,1.0,,0.5219031862617367,239.9425040237496
ZNF208,False,2,33,0,70,11.19047619047619,True,estimated,0.1005139920045688,1.0,,0.5219031862617367,239.9425040237496
ZNF473,False,2,33,0,70,11.19047619047619,True,estimated,0.1005139920045688,1.0,,0.5219031862617367,239.9425040237496
KDM5C,True,0,33,6,70,0.14810562571756603,True,estimated,0.17320736234511108,1.0,0.8660368117255554,0.00809546483074731,2.709575895614986
PCLO,False,0,33,5,70,0.17774762550881953,True,estimated,0.17368670048044213,1.0,,0.00953979442614475,3.3118342977534687
ADAMTS12,False,2,33,1,70,4.451612903225806,False,estimated,0.2398403175554563,1.0,,0.3889303931775228,50.95219552852305
ANO3,False,2,33,1,70,4.451612903225806,False,estimated,0.2398403175554563,1.0,,0.3889303931775228,50.95219552852305
ARFGEF2,False,2,33,1,70,4.451612903225806,False,estimated,0.2398403175554563,1.0,,0.3889303931775228,50.95219552852305
ATF7IP,False,2,33,1,70,4.451612903225806,False,estimated,0.2398403175554563,1.0,,0.3889303931775228,50.95219552852305
ATRX,False,2,33,1,70,4.451612903225806,False,estimated,0.2398403175554563,1.0,,0.3889303931775228,50.95219552852305
BRPF3,False,2,33,1,70,4.451612903225806,False,estimated,0.2398403175554563,1.0,,0.3889303931775228,50.95219552852305
CYP46A1,False,2,33,1,70,4.451612903225806,False,estimated,0.2398403175554563,1.0,,0.3889303931775228,50.95219552852305
FSCB,False,2,33,1,70,4.451612903225806,False,estimated,0.2398403175554563,1.0,,0.3889303931775228,50.95219552852305
GRID1,False,2,33,1,70,4.451612903225806,False,estimated,0.2398403175554563,1.0,,0.3889303931775228,50.95219552852305
KDR,False,2,33,1,70,4.451612903225806,False,estimated,0.2398403175554563,1.0,,0.3889303931775228,50.95219552852305
KHK,False,2,33,1,70,4.451612903225806,False,estimated,0.2398403175554563,1.0,,0.3889303931775228,50.95219552852305
