view,initial_k,ari_vs_all,nmi_vs_all
ALL,2,1.0,1.0
ALL,3,1.0,1.0
ALL,4,1.0,1.0
ALL,5,1.0,1.0
ALL,6,1.0,1.0
ALL,7,1.0,1.0
ALL,8,1.0,1.0
minus_RNA,2,0.25536258,0.17782178
minus_RNA,3,0.27536531,0.31019261
minus_RNA,4,0.34008945,0.45270875
minus_RNA,5,0.27742081,0.3803059
minus_RNA,6,0.27626302,0.37060634
minus_RNA,7,0.34427248,0.47025844
minus_RNA,8,0.39011813,0.51417546
minus_WSI,2,0.554654,0.48608923
minus_WSI,3,0.22189748,0.24876679
minus_WSI,4,0.30190098,0.34220116
minus_WSI,5,0.29879724,0.38206754
minus_WSI,6,0.37100984,0.49481831
minus_WSI,7,0.2690733,0.45058091
minus_WSI,8,0.34066322,0.50123208
minus_CT,2,0.39054291,0.288255
minus_CT,3,0.3106408,0.32973907
minus_CT,4,0.22684134,0.2475725
minus_CT,5,0.19408727,0.30410364
minus_CT,6,0.2684741,0.40661012
minus_CT,7,0.33408169,0.50848552
minus_CT,8,0.29397595,0.43162609
minus_GENOMIC,2,0.88554897,0.80583757
minus_GENOMIC,3,0.59633839,0.60302274
minus_GENOMIC,4,0.75317594,0.74882344
minus_GENOMIC,5,0.61226299,0.63582111
minus_GENOMIC,6,0.59576035,0.68095014
minus_GENOMIC,7,0.66170355,0.74731613
minus_GENOMIC,8,0.65076078,0.75678468
RNA_only,2,0.44363408,0.41013885
RNA_only,3,0.2460564,0.24934194
RNA_only,4,0.20545013,0.27153086
RNA_only,5,0.22203972,0.29209104
RNA_only,6,0.18052061,0.29853488
RNA_only,7,0.2096304,0.38647114
RNA_only,8,0.18083207,0.36289363
WSI_only,2,0.03241919,0.02777741
WSI_only,3,0.08733845,0.11108263
WSI_only,4,0.05457637,0.15324926
WSI_only,5,0.0566777,0.1776267
WSI_only,6,0.06193262,0.20837922
WSI_only,7,0.06808976,0.22675393
WSI_only,8,0.09660756,0.28445484
CT_only,2,-0.00756958,0.01294841
CT_only,3,0.10572127,0.11287339
CT_only,4,0.11171302,0.21940738
CT_only,5,0.09513434,0.22306449
CT_only,6,0.13605757,0.24857422
CT_only,7,0.04147032,0.16117999
CT_only,8,0.12601151,0.26683051
GENOMIC_only,2,-0.0097947,0.00020929
GENOMIC_only,3,0.01352416,0.03279165
GENOMIC_only,4,0.02390797,0.04625235
GENOMIC_only,5,0.0232032,0.10409206
GENOMIC_only,6,0.04598595,0.13727115
GENOMIC_only,7,0.03397784,0.17804125
GENOMIC_only,8,0.02351347,0.16827617
