view,initial_k,cluster_count,cluster_sizes,labels
minus_RNA,8,8,"[23, 7, 15, 13, 10, 8, 16, 11]","[0, 1, 0, 2, 3, 1, 0, 4, 5, 2, 2, 6, 1, 6, 0, 0, 4, 6, 0, 0, 5, 0, 6, 6, 6, 6, 6, 3, 1, 0, 0, 1, 0, 6, 6, 0, 4, 5, 5, 3, 1, 4, 3, 6, 3, 3, 3, 2, 0, 3, 3, 3, 6, 0, 4, 0, 2, 0, 0, 2, 2, 2, 0, 0, 3, 4, 7, 2, 5, 2, 3, 2, 4, 4, 1, 2, 4, 2, 5, 4, 0, 2, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 6, 5, 6, 5, 7, 3, 6, 2, 0, 0, 6]"
minus_WSI,2,2,"[55, 48]","[0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
minus_WSI,3,3,"[26, 43, 34]","[0, 0, 0, 1, 0, 0, 1, 2, 1, 2, 1, 2, 1, 0, 0, 1, 1, 2, 1, 1, 2, 1, 0, 1, 2, 2, 1, 2, 2, 0, 2, 1, 0, 2, 2, 2, 1, 0, 0, 2, 0, 0, 1, 2, 2, 0, 1, 1, 1, 1, 2, 1, 2, 0, 2, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 0, 0, 1, 2, 2, 0, 0, 1, 1, 0, 2, 0, 2, 0, 1, 2, 2, 1, 2, 2, 2, 2, 2, 1, 2]"
minus_WSI,4,4,"[25, 28, 30, 20]","[0, 0, 0, 1, 0, 0, 2, 2, 1, 2, 1, 3, 1, 0, 2, 1, 2, 3, 1, 1, 2, 1, 0, 1, 3, 2, 2, 2, 3, 0, 3, 2, 1, 2, 3, 3, 1, 0, 0, 2, 0, 0, 2, 3, 2, 0, 2, 1, 1, 2, 2, 0, 3, 0, 2, 2, 2, 0, 1, 1, 1, 1, 0, 0, 2, 3, 1, 1, 1, 2, 2, 2, 2, 1, 3, 1, 2, 2, 0, 0, 1, 3, 3, 0, 0, 1, 1, 0, 3, 0, 3, 0, 1, 2, 3, 1, 3, 2, 3, 3, 2, 1, 3]"
minus_WSI,5,5,"[23, 24, 26, 20, 10]","[0, 0, 0, 1, 0, 0, 2, 2, 1, 3, 1, 4, 1, 0, 3, 1, 2, 4, 1, 1, 2, 1, 0, 1, 4, 3, 2, 2, 4, 0, 3, 2, 3, 2, 4, 3, 1, 0, 0, 2, 0, 0, 2, 4, 2, 0, 2, 1, 1, 2, 2, 0, 4, 0, 2, 2, 2, 0, 1, 1, 1, 1, 0, 0, 3, 3, 3, 1, 1, 2, 2, 2, 2, 3, 3, 1, 2, 2, 0, 0, 1, 3, 3, 3, 0, 1, 1, 0, 3, 3, 3, 0, 1, 2, 4, 1, 3, 2, 4, 3, 2, 3, 4]"
minus_WSI,6,6,"[22, 18, 22, 14, 17, 10]","[0, 0, 0, 1, 0, 0, 2, 3, 2, 4, 1, 5, 1, 0, 4, 1, 2, 5, 1, 1, 3, 1, 4, 2, 5, 4, 2, 3, 5, 0, 4, 2, 4, 3, 5, 4, 1, 0, 0, 3, 0, 0, 2, 5, 3, 0, 2, 1, 1, 2, 3, 0, 5, 0, 3, 3, 2, 0, 1, 2, 2, 2, 0, 0, 3, 3, 4, 1, 1, 2, 2, 2, 2, 1, 4, 1, 2, 2, 0, 0, 2, 4, 4, 4, 0, 1, 2, 0, 4, 4, 4, 0, 1, 3, 5, 2, 4, 3, 5, 4, 3, 1, 5]"
minus_WSI,7,7,"[33, 14, 23, 7, 8, 10, 8]","[0, 0, 0, 1, 0, 0, 2, 3, 1, 4, 2, 5, 1, 0, 4, 1, 2, 5, 1, 1, 3, 0, 0, 2, 5, 4, 2, 3, 5, 0, 0, 2, 6, 3, 5, 6, 1, 0, 0, 4, 0, 0, 2, 5, 4, 0, 4, 2, 0, 2, 0, 0, 5, 0, 3, 3, 2, 0, 1, 2, 2, 2, 0, 0, 3, 0, 6, 2, 1, 2, 2, 2, 2, 1, 0, 1, 2, 2, 0, 0, 2, 0, 6, 0, 0, 1, 2, 0, 0, 6, 6, 0, 1, 4, 5, 2, 6, 0, 5, 6, 4, 1, 5]"
minus_WSI,8,8,"[15, 13, 19, 23, 6, 9, 9, 9]","[0, 1, 1, 2, 0, 0, 3, 4, 2, 5, 3, 6, 2, 0, 5, 2, 3, 6, 2, 2, 4, 2, 0, 3, 6, 5, 3, 4, 5, 1, 0, 3, 7, 4, 6, 7, 2, 0, 1, 5, 1, 1, 3, 6, 5, 1, 5, 3, 2, 3, 0, 1, 6, 0, 4, 4, 3, 2, 2, 3, 3, 3, 2, 1, 2, 0, 7, 3, 2, 3, 3, 3, 3, 2, 0, 2, 3, 3, 1, 1, 3, 0, 7, 0, 7, 2, 3, 1, 0, 7, 7, 1, 2, 5, 6, 3, 7, 0, 6, 7, 5, 2, 6]"
minus_CT,2,2,"[65, 38]","[0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
minus_CT,3,3,"[33, 45, 25]","[0, 1, 1, 1, 1, 1, 0, 1, 2, 2, 2, 1, 1, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 2, 1, 0, 2, 1, 1, 1, 0, 2, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 2, 0, 1, 1, 1, 2, 0, 2, 1, 1, 1, 0, 1, 1, 2, 0, 0, 2, 2, 2, 1, 1, 1, 1, 0, 2, 0, 2, 2, 2, 1, 0, 1, 2, 2, 2, 1, 1, 0, 1, 1, 1, 1, 0, 2, 1, 0, 1, 0, 0, 2, 2, 1, 2, 0, 0, 0, 0, 0, 1, 1]"
minus_CT,4,4,"[29, 20, 24, 30]","[0, 1, 2, 3, 1, 2, 0, 2, 3, 3, 3, 1, 3, 2, 0, 0, 3, 3, 0, 0, 2, 0, 0, 3, 2, 3, 3, 1, 2, 2, 0, 3, 0, 0, 3, 0, 3, 2, 2, 1, 2, 0, 3, 2, 1, 1, 1, 3, 0, 3, 1, 1, 1, 0, 2, 2, 3, 0, 0, 3, 3, 3, 2, 2, 1, 2, 0, 3, 3, 3, 3, 3, 2, 0, 1, 3, 3, 3, 2, 2, 0, 1, 1, 1, 1, 0, 3, 1, 0, 1, 0, 0, 3, 2, 2, 2, 0, 0, 0, 0, 0, 1, 2]"
minus_CT,5,5,"[39, 22, 4, 30, 8]","[0, 0, 0, 0, 0, 0, 1, 2, 3, 3, 3, 0, 0, 0, 1, 1, 3, 3, 1, 1, 2, 1, 3, 3, 0, 3, 3, 3, 4, 0, 1, 3, 1, 1, 3, 1, 3, 4, 4, 0, 0, 0, 3, 4, 0, 0, 0, 3, 1, 3, 0, 0, 0, 0, 2, 2, 3, 0, 0, 3, 3, 3, 0, 0, 0, 0, 1, 3, 3, 3, 3, 3, 0, 0, 0, 3, 3, 3, 4, 0, 1, 0, 0, 0, 0, 1, 3, 0, 1, 0, 1, 1, 3, 4, 4, 4, 1, 1, 1, 1, 1, 0, 0]"
minus_CT,6,6,"[39, 22, 5, 20, 9, 8]","[0, 0, 0, 0, 0, 0, 1, 2, 3, 3, 3, 0, 0, 0, 1, 1, 3, 4, 1, 1, 2, 1, 4, 4, 0, 4, 4, 3, 0, 0, 1, 4, 1, 1, 4, 1, 4, 5, 5, 0, 0, 0, 3, 5, 0, 0, 0, 3, 1, 3, 0, 0, 0, 0, 2, 2, 3, 0, 0, 3, 3, 3, 0, 0, 0, 0, 1, 3, 5, 3, 3, 3, 2, 0, 0, 3, 3, 3, 5, 0, 1, 0, 0, 0, 0, 1, 3, 0, 1, 0, 1, 1, 4, 5, 5, 5, 1, 1, 1, 1, 1, 0, 0]"
minus_CT,7,7,"[23, 18, 13, 5, 20, 16, 8]","[0, 0, 0, 0, 1, 0, 2, 3, 4, 4, 4, 1, 0, 0, 2, 5, 4, 5, 5, 5, 3, 5, 5, 5, 0, 5, 5, 4, 0, 0, 2, 5, 5, 1, 5, 1, 5, 6, 6, 1, 0, 0, 4, 6, 1, 1, 1, 4, 2, 4, 1, 1, 1, 0, 3, 3, 4, 0, 0, 4, 4, 4, 0, 0, 1, 0, 2, 4, 6, 4, 4, 4, 3, 0, 0, 4, 4, 4, 6, 0, 5, 1, 1, 1, 0, 2, 4, 2, 2, 1, 2, 2, 5, 6, 6, 6, 2, 2, 2, 1, 5, 1, 0]"
minus_CT,8,8,"[23, 15, 9, 13, 6, 19, 10, 8]","[0, 1, 2, 1, 3, 1, 0, 4, 5, 5, 5, 3, 1, 2, 0, 0, 5, 6, 0, 0, 4, 0, 6, 6, 2, 6, 6, 4, 6, 2, 0, 6, 0, 4, 6, 0, 6, 7, 7, 3, 1, 1, 5, 7, 3, 3, 3, 5, 0, 5, 3, 3, 3, 1, 4, 4, 5, 1, 1, 5, 5, 5, 2, 0, 3, 1, 0, 5, 7, 5, 5, 5, 2, 1, 1, 5, 5, 5, 7, 2, 0, 2, 3, 3, 2, 0, 5, 0, 0, 3, 0, 0, 6, 7, 7, 7, 0, 0, 0, 1, 0, 1, 1]"
minus_GENOMIC,2,2,"[63, 40]","[0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
minus_GENOMIC,3,3,"[47, 32, 24]","[0, 0, 1, 2, 0, 0, 1, 0, 2, 2, 2, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 2, 0, 0, 2, 0, 0, 1, 0, 2, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 1, 2, 0, 0, 0, 1, 0, 0, 2, 1, 1, 2, 2, 2, 1, 0, 0, 0, 1, 2, 1, 2, 2, 2, 0, 2, 0, 2, 2, 2, 0, 0, 1, 2, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 2, 1, 0, 0, 2, 1, 1, 0]"
minus_GENOMIC,4,4,"[26, 28, 30, 19]","[0, 0, 0, 1, 0, 0, 1, 2, 2, 2, 2, 3, 0, 1, 0, 1, 1, 3, 1, 1, 2, 1, 1, 3, 3, 3, 2, 2, 3, 0, 3, 3, 1, 3, 3, 1, 1, 3, 0, 2, 0, 1, 2, 3, 2, 0, 2, 2, 1, 2, 0, 0, 3, 1, 2, 2, 2, 1, 1, 2, 2, 2, 1, 0, 2, 2, 1, 2, 1, 2, 2, 2, 2, 2, 0, 2, 2, 2, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 3, 3, 3, 1, 0, 3, 3, 1, 1, 3]"
minus_GENOMIC,5,5,"[18, 16, 29, 21, 19]","[0, 0, 0, 1, 0, 0, 0, 2, 2, 2, 2, 3, 0, 3, 1, 1, 0, 3, 1, 1, 2, 1, 3, 3, 3, 3, 2, 2, 3, 1, 4, 3, 4, 4, 3, 4, 3, 3, 0, 2, 0, 0, 2, 3, 2, 0, 2, 2, 1, 2, 0, 0, 3, 1, 2, 2, 2, 1, 1, 2, 2, 2, 1, 0, 4, 2, 4, 2, 3, 2, 2, 2, 2, 2, 0, 2, 2, 2, 0, 0, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 1, 3, 3, 3, 4, 4, 3, 4, 3, 1, 3]"
minus_GENOMIC,6,6,"[17, 19, 28, 22, 15, 2]","[0, 0, 0, 1, 0, 0, 2, 2, 3, 2, 2, 3, 0, 3, 1, 1, 2, 3, 1, 1, 2, 1, 3, 3, 3, 3, 3, 2, 3, 1, 4, 3, 1, 4, 3, 4, 3, 3, 0, 2, 0, 0, 2, 3, 2, 0, 2, 2, 1, 2, 0, 0, 3, 1, 2, 2, 2, 1, 1, 2, 2, 2, 1, 0, 2, 5, 4, 2, 3, 2, 2, 2, 5, 2, 0, 2, 2, 2, 0, 0, 1, 4, 4, 4, 0, 1, 4, 4, 4, 4, 4, 1, 1, 3, 3, 3, 4, 4, 3, 4, 1, 1, 3]"
minus_GENOMIC,7,7,"[13, 12, 16, 17, 14, 18, 13]","[0, 0, 1, 2, 0, 0, 3, 3, 4, 4, 4, 0, 0, 5, 2, 2, 3, 5, 2, 2, 3, 2, 5, 5, 5, 5, 5, 3, 5, 1, 0, 5, 2, 6, 5, 6, 5, 1, 1, 3, 1, 1, 3, 5, 3, 1, 3, 4, 2, 3, 0, 0, 0, 2, 3, 3, 4, 2, 2, 4, 4, 4, 2, 1, 3, 3, 6, 4, 5, 4, 3, 4, 3, 4, 0, 4, 3, 4, 1, 1, 2, 0, 6, 6, 0, 6, 6, 1, 6, 6, 6, 1, 2, 5, 5, 5, 6, 6, 5, 6, 2, 2, 5]"
minus_GENOMIC,8,8,"[19, 15, 7, 14, 14, 18, 14, 2]","[0, 0, 0, 1, 0, 0, 2, 3, 4, 4, 4, 5, 0, 5, 2, 1, 2, 5, 1, 1, 3, 1, 5, 5, 5, 5, 5, 3, 5, 0, 6, 5, 1, 6, 5, 6, 5, 0, 0, 3, 0, 2, 3, 5, 3, 0, 3, 4, 1, 2, 3, 6, 5, 1, 3, 3, 4, 1, 1, 4, 4, 4, 1, 0, 3, 3, 6, 4, 7, 4, 3, 4, 3, 4, 0, 4, 2, 4, 0, 0, 1, 0, 6, 6, 6, 0, 2, 0, 6, 6, 6, 0, 1, 5, 5, 7, 6, 6, 5, 6, 1, 1, 5]"
RNA_only,2,2,"[51, 52]","[0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
RNA_only,3,3,"[32, 23, 48]","[0, 0, 0, 1, 0, 0, 2, 2, 2, 1, 2, 1, 2, 0, 0, 2, 2, 2, 2, 2, 2, 2, 1, 2, 0, 2, 2, 2, 2, 0, 0, 2, 1, 2, 0, 1, 2, 0, 0, 2, 0, 1, 2, 2, 2, 0, 2, 2, 2, 2, 0, 0, 0, 1, 2, 2, 2, 0, 1, 2, 2, 2, 0, 0, 1, 1, 1, 2, 1, 2, 2, 2, 2, 1, 1, 2, 2, 2, 0, 0, 2, 0, 1, 1, 0, 2, 2, 0, 1, 0, 1, 0, 2, 2, 0, 2, 1, 0, 1, 1, 0, 1, 0]"
RNA_only,4,4,"[24, 33, 40, 6]","[0, 0, 0, 1, 1, 0, 2, 3, 2, 1, 2, 1, 2, 0, 0, 2, 2, 2, 2, 2, 3, 2, 1, 2, 0, 1, 2, 3, 2, 0, 1, 2, 1, 3, 0, 1, 2, 0, 0, 1, 0, 1, 2, 1, 2, 0, 2, 2, 1, 2, 0, 0, 1, 1, 3, 3, 2, 1, 1, 2, 2, 2, 0, 0, 1, 1, 1, 2, 1, 2, 2, 2, 2, 1, 1, 2, 2, 2, 0, 0, 2, 1, 1, 1, 0, 2, 2, 0, 1, 1, 1, 0, 2, 2, 2, 2, 1, 0, 1, 1, 2, 1, 0]"
RNA_only,5,5,"[26, 11, 41, 6, 19]","[0, 0, 0, 1, 1, 0, 2, 3, 2, 4, 2, 1, 2, 0, 0, 2, 2, 2, 2, 2, 3, 2, 4, 2, 0, 4, 2, 3, 2, 0, 4, 2, 4, 3, 0, 4, 2, 0, 0, 2, 0, 4, 2, 4, 2, 0, 2, 2, 4, 2, 0, 0, 0, 1, 3, 3, 2, 1, 1, 2, 2, 2, 0, 0, 1, 1, 4, 2, 4, 2, 2, 2, 2, 1, 1, 2, 2, 2, 0, 0, 2, 4, 4, 0, 0, 2, 2, 0, 4, 4, 4, 0, 2, 2, 2, 2, 4, 0, 4, 4, 2, 1, 0]"
RNA_only,6,6,"[22, 14, 33, 6, 16, 12]","[0, 1, 0, 1, 1, 0, 2, 3, 2, 4, 2, 1, 2, 0, 4, 2, 2, 2, 2, 2, 3, 5, 4, 2, 0, 2, 2, 3, 5, 0, 4, 2, 4, 3, 5, 4, 2, 0, 0, 5, 1, 4, 2, 5, 5, 0, 2, 2, 5, 2, 0, 0, 0, 1, 3, 3, 2, 1, 1, 2, 2, 2, 0, 0, 1, 1, 4, 2, 4, 2, 2, 5, 5, 1, 1, 2, 2, 5, 0, 0, 2, 4, 4, 4, 0, 2, 2, 0, 0, 0, 4, 0, 2, 2, 5, 2, 4, 0, 4, 4, 5, 1, 1]"
RNA_only,7,7,"[17, 12, 12, 6, 22, 22, 12]","[0, 1, 0, 1, 1, 0, 2, 3, 4, 5, 4, 1, 4, 5, 5, 4, 2, 4, 4, 4, 3, 6, 5, 4, 0, 5, 2, 3, 6, 5, 5, 4, 5, 3, 6, 5, 4, 0, 0, 6, 1, 5, 2, 6, 6, 0, 2, 4, 6, 2, 0, 0, 5, 1, 3, 3, 2, 1, 1, 4, 4, 4, 0, 0, 4, 1, 5, 4, 5, 2, 2, 6, 6, 4, 1, 4, 2, 6, 0, 0, 2, 5, 5, 5, 0, 4, 2, 0, 5, 5, 5, 0, 4, 4, 6, 4, 5, 0, 5, 5, 6, 1, 1]"
