view,spearman_vs_all,mean_knn_jaccard_vs_all,median_knn_jaccard_vs_all,knn
ALL,1.0,1.0,1.0,10
minus_RNA,0.79273894,0.49072777,0.42857143,10
minus_WSI,0.81538341,0.39299858,0.42857143,10
minus_CT,0.83016388,0.5414858,0.53846154,10
minus_GENOMIC,0.97006111,0.83540408,0.81818182,10
CT_only,0.34473402,0.19949059,0.17647059,10
WSI_only,0.43997992,0.34952759,0.33333333,10
RNA_only,0.50256601,0.2605144,0.25,10
GENOMIC_only,0.24085366,0.1163424,0.11111111,10
