core,ct,wsi,rna,wxs,cnv
CORE01,0.5,0.4347826086956521,0.4782608695652174,0.5925925925925926,0.52
CORE02,0.875,0.6470588235294118,0.3333333333333333,0.4782608695652174,0.4705882352941176
CORE03,0.5294117647058824,0.5625,0.5263157894736842,0.0,0.7142857142857143
CORE04,0.5714285714285714,0.5714285714285714,0.5454545454545454,0.0,0.5
