core,modality,matched_retention,any_stable_retention,lost_fraction,jaccard
CORE01,ct,0.5238095238095238,0.6666666666666666,0.3333333333333333,0.5
CORE02,ct,1.0,1.0,0.0,0.875
CORE03,ct,0.75,0.9166666666666666,0.0833333333333333,0.5294117647058824
CORE04,ct,0.8888888888888888,0.8888888888888888,0.1111111111111111,0.5714285714285714
CORE01,wsi,0.4761904761904761,0.7142857142857143,0.2857142857142857,0.4347826086956521
CORE02,wsi,0.7857142857142857,0.8571428571428571,0.1428571428571428,0.6470588235294118
CORE03,wsi,0.75,1.0,0.0,0.5625
CORE04,wsi,0.8888888888888888,0.8888888888888888,0.1111111111111111,0.5714285714285714
CORE01,rna,0.5238095238095238,0.8571428571428571,0.1428571428571428,0.4782608695652174
CORE02,rna,0.4285714285714285,0.8571428571428571,0.1428571428571428,0.3333333333333333
CORE03,rna,0.8333333333333334,0.8333333333333334,0.1666666666666666,0.5263157894736842
CORE04,rna,0.6666666666666666,1.0,0.0,0.5454545454545454
CORE01,wxs,0.7619047619047619,0.7619047619047619,0.238095238095238,0.5925925925925926
CORE02,wxs,0.7857142857142857,0.7857142857142857,0.2142857142857142,0.4782608695652174
CORE03,wxs,0.0,0.25,0.75,0.0
CORE04,wxs,0.0,0.1111111111111111,0.8888888888888888,0.0
CORE01,cnv,0.6190476190476191,0.9047619047619048,0.0952380952380952,0.52
CORE02,cnv,0.5714285714285714,0.7142857142857143,0.2857142857142857,0.4705882352941176
CORE03,cnv,0.8333333333333334,1.0,0.0,0.7142857142857143
CORE04,cnv,0.7777777777777778,1.0,0.0,0.5
