partition,reference,state,state_n,dominant_reference_subtype,purity,normalized_entropy,m1_n,m2_n,m3_n,m4_n
5V-7state,mRNA,CORE01,13,m1,0.6923076923,0.5700578393,9,3,1,0
5V-7state,mRNA,CORE02,10,m1,0.5,0.8427376486,5,1,3,1
5V-7state,mRNA,CORE03,11,m3,0.3636363636,0.9338169455,1,3,4,3
5V-7state,mRNA,CORE04,9,m1,0.4444444444,0.7652465284,4,0,2,3
5V-7state,mRNA,CORE05,9,m2,0.3333333333,0.945530556,2,3,3,1
5V-7state,mRNA,CORE06,6,m3,0.5,0.8962406252,1,1,3,1
5V-7state,mRNA,CORE07,5,m1,0.6,0.4854752972,3,2,0,0
